Messstelle:                ;Muhr
HZB-Nummer:                ;203745
HD-Nummer:                 ;
DBMS-Nummer:               ;5001069
Gewässer:                  ;Mur
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Salzburg AG für Energie, Verkehr und Telekommunikation
orogr.Einzugsgebiet [km²]: ;75,7
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;01137,50
   01.01.1992              ;01119,67
   10.04.2008              ;01119,83
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.11.1950              ;460735,00 - 218670,00
   01.01.1992              ;461780,00 - 218210,00
   10.04.2010              ;461742,00 - 218224,70
Exportzeitreihe:           ;(5001069,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[22.01.1961 12:00,01.01.2022 00:00]
Werte:
19.08.1973 12:00:00; 0,390
15.09.1973 12:00:00; 0,640
12.10.1973 12:00:00; 0,640
27.11.1973 12:00:00; 0,640
02.12.1973 12:00:00; 0,340
13.01.1974 12:00:00; 0,360
26.02.1974 12:00:00; 0,480
20.03.1974 12:00:00; 0,590
23.04.1974 12:00:00; 0,750
03.05.1974 12:00:00;  1,54
15.06.1974 12:00:00;  1,70
11.07.1974 12:00:00;  2,02
25.08.1974 12:00:00;  1,38
20.09.1974 12:00:00;  1,28
14.10.1974 12:00:00;  1,18
08.11.1974 12:00:00; 0,560
04.12.1974 12:00:00; 0,750
06.01.1975 12:00:00; 0,700
28.02.1975 12:00:00; 0,700
31.03.1975 12:00:00; 0,700
01.04.1975 12:00:00; 0,640
02.05.1975 12:00:00;  2,28
09.06.1975 12:00:00;  2,66
30.07.1975 12:00:00;  4,50
22.08.1975 12:00:00; 0,970
03.09.1975 12:00:00; 0,780
31.10.1975 12:00:00; 0,640
09.11.1975 12:00:00; 0,640
09.12.1975 12:00:00; 0,530
30.01.1976 15:30:00; 0,563
06.02.1976 15:00:35; 0,573
12.03.1976 21:30:00; 0,664
17.04.1976 04:30:00; 0,495
04.05.1976 15:30:00; 0,553
05.06.1976 00:00:00;  2,30
18.07.1976 11:00:00;  1,54
22.08.1976 19:00:00;  1,01
29.09.1976 06:00:00;  1,10
24.10.1976 12:00:00; 0,769
06.11.1976 22:00:00; 0,715
06.12.1976 06:30:00; 0,760
14.01.1977 20:00:00; 0,573
23.02.1977 07:30:00; 0,553
01.03.1977 13:30:00; 0,658
16.04.1977 21:30:00; 0,670
15.05.1977 20:00:00;  2,72
28.06.1977 10:00:00;  1,38
30.07.1977 17:00:00;  1,15
31.08.1977 06:30:00; 0,712
23.09.1977 00:30:00; 0,691
20.10.1977 19:00:00; 0,705
04.11.1977 05:00:00; 0,577
28.12.1977 22:00:00; 0,549
24.01.1978 12:00:00; 0,537
15.02.1978 17:00:00; 0,522
16.03.1978 17:30:00; 0,583
08.04.1978 07:00:00; 0,571
18.05.1978 07:00:00; 0,937
30.06.1978 08:00:00;  1,65
09.07.1978 22:30:00;  1,58
21.08.1978 05:00:00;  1,06
02.09.1978 19:00:00; 0,910
28.10.1978 07:00:00;  1,17
29.11.1978 10:30:00; 0,387
12.12.1978 08:00:00; 0,787
27.01.1979 19:30:00; 0,652
17.02.1979 12:00:00; 0,664
24.03.1979 10:00:00; 0,563
07.04.1979 16:30:00; 0,646
03.05.1979 01:30:00; 0,724
20.06.1979 00:30:00;  4,89
28.07.1979 11:00:00;  1,75
31.08.1979 05:00:00;  1,11
01.09.1979 00:00:00;  1,25
28.10.1979 21:30:00;  1,02
15.11.1979 04:00:00; 0,944
27.12.1979 22:30:00; 0,907
27.01.1980 14:00:00; 0,889
18.02.1980 15:30:00; 0,791
12.03.1980 18:00:00; 0,916
09.04.1980 15:00:00; 0,649
01.05.1980 05:30:00; 0,838
05.06.1980 04:30:00;  2,86
06.07.1980 04:30:00;  5,74
28.08.1980 07:00:00; 0,846
22.09.1980 22:30:00; 0,697
13.10.1980 14:30:00; 0,769
17.11.1980 08:30:00; 0,517
27.12.1980 21:30:00; 0,444
16.01.1981 12:30:00; 0,650
27.02.1981 15:00:00; 0,537
05.03.1981 17:30:00; 0,684
16.04.1981 13:30:00;  1,35
03.05.1981 04:00:00; 0,956
20.06.1981 12:00:00;  1,19
27.07.1981 10:30:00;  1,59
27.08.1981 17:30:00; 0,537
08.09.1981 16:00:00;  1,15
15.10.1981 06:30:00; 0,684
19.11.1981 07:30:00; 0,662
25.12.1981 08:00:00; 0,280
30.01.1982 17:30:00; 0,488
25.02.1982 14:00:00; 0,505
24.03.1982 13:00:00; 0,329
16.04.1982 14:00:00; 0,488
03.05.1982 16:00:00; 0,516
20.06.1982 13:30:00;  3,15
18.07.1982 05:30:00;  1,48
13.08.1982 06:30:00;  1,45
28.09.1982 20:00:00;  1,03
19.10.1982 10:00:00; 0,582
10.11.1982 22:00:00; 0,499
09.12.1982 08:30:00; 0,354
21.01.1983 19:00:00; 0,403
04.02.1983 13:00:00; 0,357
