Messstelle:                ;Böheimkirchen
HZB-Nummer:                ;209486
HD-Nummer:                 ;no300
DBMS-Nummer:               ;3001164
Gewässer:                  ;Perschling
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;55,3
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1982              ;00230,50
   01.01.2016              ;00230,53
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   31.12.1981              ;707430,70 - 339772,40
   01.01.2015              ;707426,00 - 339799,00
Exportzeitreihe:           ;(3001164,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1982 01:00,01.01.2022 00:00]
Werte:
07.10.1994 16:30:00; 0,051
05.11.1994 18:00:00; 0,060
07.12.1994 01:00:00; 0,078
09.01.1995 08:30:00; 0,078
09.02.1995 03:15:00; 0,124
15.03.1995 18:00:00; 0,233
30.04.1995 23:59:55; 0,259
30.05.1995 17:00:00; 0,078
01.06.1995 08:45:00; 0,078
25.07.1995 19:30:00; 0,043
09.08.1995 08:30:00; 0,051
14.09.1995 19:00:00; 0,060
02.10.1995 04:15:00; 0,078
01.11.1995 20:00:00; 0,094
13.12.1995 12:15:00; 0,140
31.01.1996 06:30:00; 0,109
06.02.1996 23:30:00; 0,094
05.03.1996 06:30:00; 0,124
03.04.1996 10:30:00; 0,561
08.05.1996 08:15:00; 0,330
19.06.1996 03:15:00; 0,233
31.07.1996 23:59:55; 0,134
03.08.1996 13:00:00; 0,124
01.09.1996 00:00:00; 0,124
19.10.1996 22:30:00; 0,413
30.11.1996 23:59:55; 0,370
26.12.1996 08:30:00; 0,187
31.01.1997 23:59:55; 0,147
03.02.1997 07:47:50; 0,118
11.03.1997 11:38:25; 0,326
30.04.1997 15:33:30; 0,487
18.05.1997 23:36:55; 0,272
30.06.1997 23:59:55; 0,146
04.07.1997 10:06:20; 0,140
31.08.1997 23:59:55; 0,164
18.09.1997 05:39:50; 0,108
06.10.1997 10:37:05; 0,112
04.11.1997 14:16:30; 0,116
31.12.1997 23:59:55; 0,305
31.01.1998 23:59:55; 0,182
07.02.1998 12:18:45; 0,175
14.03.1998 22:25:25; 0,268
30.04.1998 23:54:10; 0,233
30.05.1998 12:15:50; 0,160
30.06.1998 18:36:40; 0,126
24.07.1998 19:37:25; 0,069
22.08.1998 07:10:00; 0,054
03.09.1998 10:35:15; 0,060
14.10.1998 15:04:35; 0,073
09.11.1998 21:30:35; 0,114
10.12.1998 15:28:00; 0,112
30.01.1999 08:04:05; 0,096
01.02.1999 09:50:50; 0,103
28.03.1999 15:39:25; 0,314
19.04.1999 19:14:25; 0,206
07.05.1999 23:55:55; 0,224
11.06.1999 23:32:15; 0,175
08.07.1999 02:07:15; 0,153
27.08.1999 09:34:30; 0,155
30.09.1999 23:59:55; 0,180
29.10.1999 12:20:10; 0,140
03.11.1999 10:20:25; 0,140
23.12.1999 07:12:55; 0,176
17.01.2000 10:27:00; 0,261
19.02.2000 11:23:15; 0,391
28.03.2000 05:39:45; 0,428
29.04.2000 17:13:20; 0,201
27.05.2000 18:37:20; 0,116
22.06.2000 19:22:25; 0,055
31.07.2000 23:59:55; 0,057
03.08.2000 21:17:45; 0,055
04.09.2000 16:43:40; 0,050
03.10.2000 11:18:10; 0,060
22.11.2000 00:30:40; 0,067
01.12.2000 00:00:00; 0,074
01.01.2001 00:00:00; 0,106
03.02.2001 16:47:35; 0,128
01.03.2001 18:23:15; 0,150
07.04.2001 00:58:20; 0,181
31.05.2001 23:59:55; 0,116
30.06.2001 23:59:55; 0,081
17.07.2001 15:37:30; 0,056
31.08.2001 01:52:20; 0,052
01.09.2001 00:00:00; 0,060
31.10.2001 23:59:55; 0,114
07.11.2001 01:32:50; 0,102
24.12.2001 07:40:45; 0,176
20.01.2002 16:12:10; 0,257
11.02.2002 05:25:05; 0,238
19.03.2002 16:34:05; 0,216
22.04.2002 05:12:05; 0,238
31.05.2002 23:59:55; 0,111
06.06.2002 22:14:00; 0,105
15.07.2002 05:13:20; 0,087
04.08.2002 10:37:10; 0,071
19.09.2002 04:41:00; 0,208
02.10.2002 23:28:50; 0,212
17.11.2002 08:01:40; 0,368
04.12.2002 07:29:05; 0,365
13.01.2003 18:22:25; 0,413
24.02.2003 07:45:25; 0,370
01.03.2003 00:00:00; 0,427
28.04.2003 20:06:15; 0,277
31.05.2003 23:59:55; 0,131
30.06.2003 23:59:55; 0,068
29.07.2003 08:15:00; 0,052
31.08.2003 10:06:20; 0,035
10.09.2003 01:34:55; 0,041
04.10.2003 12:11:30; 0,059
26.11.2003 18:30:50; 0,066
01.12.2003 00:00:00; 0,071
31.01.2004 04:51:10; 0,060
01.02.2004 00:00:00; 0,112
06.03.2004 06:44:50; 0,120
24.04.2004 04:49:45; 0,263
28.05.2004 07:39:25; 0,186
19.06.2004 12:35:15; 0,172
26.07.2004 06:49:35; 0,096
21.08.2004 11:28:40; 0,098
23.09.2004 03:52:20; 0,073
18.10.2004 08:07:50; 0,111
06.11.2004 08:33:35; 0,161
21.12.2004 07:13:50; 0,127
17.01.2005 08:08:25; 0,167
05.02.2005 21:37:50; 0,194
11.03.2005 03:26:15; 0,175
18.04.2005 06:48:35; 0,275
18.05.2005 07:19:45; 0,188
26.06.2005 15:03:55; 0,143
01.07.2005 09:16:00; 0,199
14.08.2005 18:57:10; 0,151
27.09.2005 00:00:40; 0,216
31.10.2005 23:59:55; 0,157
30.11.2005 23:59:55; 0,143
05.12.2005 11:15:10; 0,136
08.01.2006 20:50:40; 0,170
07.02.2006 00:12:35; 0,153
08.03.2006 02:43:10; 0,421
25.04.2006 20:48:30; 0,369
26.05.2006 20:35:20; 0,385
27.06.2006 18:13:25; 0,413
28.07.2006 04:54:55; 0,203
01.08.2006 10:03:10; 0,203
27.09.2006 19:50:05; 0,219
04.10.2006 09:33:20; 0,199
22.11.2006 08:37:05; 0,158
13.12.2006 12:36:40; 0,136
26.01.2007 02:38:40; 0,132
06.02.2007 10:50:00; 0,085
16.03.2007 13:00:00; 0,123
30.04.2007 09:25:00; 0,065
29.05.2007 08:35:00; 0,056
20.06.2007 10:20:00; 0,033
12.07.2007 07:40:00; 0,049
01.08.2007 01:32:50; 0,055
01.09.2007 21:11:10; 0,070
03.10.2007 12:14:15; 0,129
11.11.2007 09:26:20; 0,491
30.12.2007 05:57:00; 0,436
04.01.2008 09:23:20; 0,349
17.02.2008 06:10:05; 0,175
13.03.2008 16:14:20; 0,218
21.04.2008 16:43:20; 0,229
31.05.2008 23:59:55; 0,170
03.06.2008 01:18:20; 0,158
12.07.2008 17:18:10; 0,095
31.08.2008 23:59:55; 0,209
15.09.2008 05:36:20; 0,147
31.10.2008 23:59:55; 0,256
07.11.2008 20:29:50; 0,169
05.12.2008 15:18:20; 0,240
14.01.2009 12:46:25; 0,199
01.02.2009 00:00:00; 0,286
22.03.2009 10:31:10; 0,937
29.04.2009 21:17:15; 0,326
28.05.2009 19:58:30; 0,148
19.06.2009 17:49:15; 0,154
31.07.2009 23:59:55; 0,433
22.08.2009 12:09:50; 0,195
30.09.2009 23:59:55; 0,161
08.10.2009 18:25:05; 0,132
27.11.2009 23:02:35; 0,153
20.12.2009 06:22:00; 0,107
