Messstelle:                ;Roßleithen (Klammstein)
HZB-Nummer:                ;206821
HD-Nummer:                 ;8460
DBMS-Nummer:               ;4001223
Gewässer:                  ;Hinterer Rettenbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;15,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1991              ;00590,00
   10.11.1992              ;00593,60
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1990              ;523065,00 - 290890,00
   01.01.2018              ;523078,07 - 290908,33
Exportzeitreihe:           ;(4001223,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1991 00:15,01.01.2022 00:00]
Werte:
04.10.2003 15:30:00; 0,115
30.11.2003 23:59:55; 0,151
09.12.2003 10:00:00; 0,111
10.01.2004 16:15:00; 0,103
01.02.2004 00:00:00; 0,158
10.03.2004 16:00:00; 0,185
15.04.2004 09:00:00; 0,309
11.05.2004 13:30:00; 0,510
15.06.2004 14:45:00; 0,564
23.07.2004 15:30:00; 0,364
10.08.2004 09:30:00; 0,223
12.09.2004 14:30:00; 0,222
31.10.2004 23:59:55; 0,171
06.11.2004 02:30:00; 0,119
22.12.2004 15:15:00; 0,135
02.01.2005 07:00:00; 0,134
03.02.2005 15:30:00; 0,146
15.03.2005 01:30:35; 0,128
12.04.2005 15:30:00; 0,550
12.05.2005 12:45:00; 0,707
29.06.2005 12:30:00; 0,659
31.07.2005 23:59:55; 0,404
31.08.2005 23:59:55; 0,361
16.09.2005 19:45:00; 0,184
31.10.2005 23:59:55; 0,055
17.11.2005 01:46:30; 0,024
01.12.2005 00:00:00; 0,109
25.01.2006 10:30:00; 0,152
13.02.2006 10:15:00; 0,164
08.03.2006 15:00:00; 0,164
07.04.2006 13:30:00; 0,958
25.05.2006 13:30:00;  1,39
02.06.2006 13:45:00;  1,37
27.07.2006 13:00:00; 0,340
01.08.2006 00:00:00; 0,340
18.09.2006 18:00:00; 0,098
28.10.2006 15:00:00; 0,063
30.11.2006 23:59:55; 0,289
31.12.2006 05:15:00; 0,060
01.01.2007 00:00:00; 0,065
01.02.2007 00:00:00; 0,169
25.03.2007 13:30:00; 0,254
05.04.2007 14:45:00; 0,455
03.05.2007 12:30:00; 0,383
