Messstelle:                ;Klausenleopoldsdorf
HZB-Nummer:                ;209478
HD-Nummer:                 ;no400
DBMS-Nummer:               ;3001163
Gewässer:                  ;Schwechat
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;56,3
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1982              ;00369,53
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1982              ;726477,00 - 327740,00
Exportzeitreihe:           ;(3001163,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1982 01:00,01.01.2022 00:00]
Werte:
22.06.1996 19:30:00;   230
12.07.1996 15:00:00;   151
27.08.1996 17:00:00;   175
24.09.1996 09:45:00;   227
22.10.1996 09:00:00;   261
14.11.1996 17:15:00;   160
01.12.1996 00:00:00;   133
01.01.1997 05:13:40;   154
13.02.1997 22:15:40;   159
17.03.1997 11:40:40;   211
15.04.1997 16:15:05;   163
22.05.1997 18:35:20;   183
23.06.1997 11:00:35;   154
08.07.1997 04:50:20;   388
19.08.1997 07:58:15;   148
20.09.1997 06:18:10;   139
02.10.1997 16:00:35;   131
14.11.1997 13:39:00;   184
18.12.1997 16:51:50;   180
04.01.1998 15:34:50;   136
13.02.1998 13:21:30;   181
18.03.1998 02:33:40;   242
13.04.1998 05:04:25;   135
22.05.1998 03:12:35;   153
13.06.1998 17:30:40;   188
08.07.1998 00:31:05;   149
23.08.1998 09:37:20;   122
05.09.1998 23:06:50;   158
29.10.1998 09:43:00;   152
10.11.1998 10:21:45;   193
14.12.1998 17:24:15;   219
09.01.1999 00:53:20;   137
20.02.1999 14:11:35;   208
02.03.1999 17:39:45;   201
13.04.1999 14:21:05;   147
21.05.1999 05:22:30;   279
22.06.1999 12:32:35;   176
10.07.1999 14:43:20;   274
29.08.1999 17:01:50;   137
02.09.1999 16:58:30;   236
06.10.1999 02:07:15;   128
10.11.1999 06:26:00;   159
26.12.1999 01:34:15;   143
31.01.2000 07:05:35;   208
01.02.2000 00:00:00;   186
30.03.2000 02:24:00;   167
02.04.2000 00:50:40;   157
18.05.2000 20:14:10;   147
07.06.2000 04:26:20;   132
11.07.2000 18:42:50;   124
06.08.2000 08:07:00;   174
16.09.2000 21:53:40;   161
07.10.2000 20:58:00;   130
05.11.2000 03:56:15;   136
28.12.2000 13:01:30;   139
08.01.2001 09:19:55;   143
06.02.2001 19:56:30;   157
23.03.2001 00:36:35;   165
09.04.2001 05:44:00;   158
08.05.2001 14:32:05;   134
11.06.2001 12:34:10;   133
21.07.2001 15:15:45;   161
20.08.2001 18:35:20;   138
18.09.2001 04:58:00;   229
01.10.2001 00:00:00;   124
27.11.2001 04:20:50;   168
06.12.2001 18:49:25;   197
21.01.2002 18:22:20;   167
14.02.2002 00:32:45;   158
20.03.2002 19:56:30;   247
24.04.2002 04:31:30;   160
01.05.2002 00:00:00;   132
07.06.2002 03:10:00;   344
17.07.2002 14:55:30;   162
13.08.2002 06:41:15;   307
24.09.2002 07:13:40;   155
12.10.2002 15:25:50;   212
11.11.2002 20:19:45;   174
23.12.2002 12:21:15;   214
28.01.2003 16:24:45;   217
01.02.2003 00:00:00;   155
03.03.2003 13:35:10;   198
11.04.2003 05:36:50;   139
13.05.2003 20:50:00;   147
15.06.2003 15:20:00;   139
18.07.2003 02:50:00;   138
31.08.2003 10:25:00;   129
13.09.2003 16:10:00;   158
05.10.2003 13:05:00;   136
02.11.2003 11:00:00;   144
31.12.2003 19:15:00;   140
14.01.2004 04:15:00;   181
03.02.2004 09:30:00;   202
17.03.2004 16:30:00;   213
24.04.2004 11:50:00;   189
16.05.2004 08:25:00;   174
04.06.2004 02:05:00;   229
15.07.2004 18:00:00;   132
30.08.2004 14:30:00;   125
24.09.2004 02:15:00;   154
09.10.2004 19:20:00;   128
23.11.2004 21:05:00;   146
27.12.2004 21:20:00;   132
21.01.2005 13:55:00;   149
13.02.2005 03:25:00;   203
18.03.2005 17:15:00;   236
18.04.2005 22:30:00;   155
19.05.2005 04:55:00;   216
04.06.2005 20:45:00;   144
25.07.2005 19:15:00;   192
22.08.2005 11:25:00;   179
17.09.2005 23:35:00;   151
01.10.2005 00:00:00;   133
27.11.2005 17:20:00;   130
25.12.2005 17:50:00;   164
03.01.2006 07:50:00;   139
21.02.2006 18:35:00;   170
29.03.2006 09:20:00;   246
30.04.2006 23:59:55;   191
01.05.2006 03:00:00;   210
03.06.2006 07:35:00;   286
01.07.2006 01:35:00;   154
07.08.2006 22:05:00;   357
08.09.2006 08:20:00;   154
30.10.2006 10:05:00;   123
23.11.2006 05:45:00;   124
27.12.2006 06:55:00;   124
19.01.2007 15:15:00;   148
16.02.2007 06:45:00;   145
25.03.2007 20:05:00;   178
01.04.2007 00:00:00;   150
10.05.2007 03:05:00;   183
10.06.2007 15:25:00;   137
10.07.2007 10:35:00;   118
11.08.2007 18:30:00;   128
07.09.2007 09:05:00;   321
28.10.2007 17:00:00;   195
25.11.2007 17:50:00;   170
12.12.2007 06:45:00;   208
19.01.2008 13:54:25;   164
01.02.2008 00:20:00;   145
14.03.2008 22:45:00;   155
22.04.2008 23:40:00;   165
20.05.2008 21:52:25;   146
05.06.2008 12:51:50;   165
24.07.2008 01:45:00;   202
16.08.2008 06:50:00;   160
16.09.2008 17:40:00;   192
04.10.2008 00:20:00;   145
21.11.2008 14:55:00;   162
22.12.2008 22:10:00;   171
24.01.2009 05:35:00;   143
28.02.2009 18:55:00;   171
05.03.2009 18:10:00;   218
01.04.2009 00:05:00;   167
30.05.2009 12:30:00;   195
23.06.2009 00:00:00;   254
06.07.2009 17:50:00;   250
04.08.2009 18:50:00;   146
04.09.2009 23:50:00;   128
30.10.2009 07:25:00;   127
03.11.2009 21:15:00;   149
11.12.2009 21:20:00;   159
05.01.2010 10:05:00;   130
26.02.2010 19:45:00;   166
01.03.2010 18:25:00;   156
15.04.2010 04:45:00;   190
16.05.2010 08:05:00;   231
02.06.2010 11:55:00;   243
18.07.2010 02:20:00;   144
31.08.2010 17:20:00;   193
27.09.2010 01:25:00;   172
25.10.2010 17:45:00;   137
01.11.2010 01:30:00;   123
09.12.2010 10:55:00;   153
13.01.2011 23:45:00;   206
05.02.2011 17:05:00;   160
18.03.2011 23:00:00;   213
15.04.2011 04:20:00;   140
28.05.2011 00:30:00;   154
08.06.2011 18:20:00;   256
05.07.2011 10:05:00;   145
08.08.2011 15:20:00;   143
20.09.2011 01:00:00;   139
13.10.2011 04:05:00;   192
01.11.2011 00:05:00;   118
24.12.2011 05:25:00;   125
22.01.2012 05:45:00;   168
29.02.2012 12:00:00;   155
13.03.2012 05:55:00;   156
17.04.2012 01:10:00;   167
06.05.2012 21:35:00;   135
13.06.2012 09:50:00;   149
25.07.2012 11:20:00;   177
03.08.2012 20:55:00;   129
13.09.2012 03:30:00;   147
16.10.2012 17:50:00;   123
05.11.2012 10:05:00;   151
24.12.2012 01:00:00;   178
07.01.2013 06:20:00;   237
01.02.2013 00:30:00;   171
07.03.2013 19:25:00;   180
10.04.2013 17:50:00;   185
14.05.2013 01:30:00;   189
11.06.2013 08:55:00;   224
11.07.2013 05:40:00;   149
29.08.2013 14:20:00;   128
17.09.2013 06:10:00;   151
11.10.2013 18:50:00;   132
24.11.2013 17:40:00;   198
10.12.2013 13:30:00;   146
22.01.2014 14:45:00;   137
12.02.2014 19:25:00;   149
01.03.2014 15:05:00;   123
20.04.2014 02:50:00;   137
16.05.2014 10:00:00;   320
30.06.2014 18:20:00;   163
01.07.2014 00:00:00;   151
03.08.2014 17:30:00;   188
13.09.2014 08:35:00;   183
23.10.2014 19:15:00;   181
18.11.2014 20:45:00;   137
07.12.2014 22:45:00;   165
10.01.2015 09:10:00;   189
24.02.2015 19:05:00;   188
02.03.2015 16:40:00;   164
18.04.2015 00:10:00;   139
23.05.2015 14:40:00;   238
19.06.2015 10:30:00;   150
08.07.2015 21:20:00;   134
17.08.2015 07:15:00;   146
04.09.2015 04:30:00;   130
20.10.2015 06:45:00;   196
21.11.2015 11:45:00;   143
10.12.2015 07:35:00;   130
26.01.2016 01:00:00;   175
19.02.2016 16:55:00;   167
17.03.2016 19:05:00;   155
09.04.2016 00:20:00;   155
04.05.2016 13:00:00;   190
20.06.2016 11:05:00;   166
14.07.2016 05:20:00;   176
10.08.2016 13:35:00;   145
06.09.2016 15:20:00;   167
20.10.2016 10:55:00;   179
16.11.2016 13:40:00;   177
28.12.2016 16:40:00;   157
01.01.2017 14:00:00;   135
21.02.2017 15:45:00;   194
19.03.2017 13:20:00;   194
22.04.2017 20:40:00;   205
09.05.2017 10:15:00;   183
17.06.2017 07:55:00;   126
27.07.2017 10:55:00;   152
11.08.2017 02:00:00;   142
20.09.2017 10:15:00;   206
09.10.2017 05:15:00;   145
22.11.2017 02:00:00;   139
31.12.2017 09:40:00;   162
01.01.2018 00:00:00;   156
16.02.2018 19:30:00;   138
10.03.2018 19:25:00;   162
01.04.2018 06:10:00;   149
02.05.2018 23:20:00;   207
