Messstelle:                ;Friedburg
HZB-Nummer:                ;204636
HD-Nummer:                 ;2220
DBMS-Nummer:               ;4001013
Gewässer:                  ;Schwemmbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;82,2
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1965              ;00505,00
   01.01.1989              ;00507,72
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1965              ;443585,00 - 319840,00
   20.07.2009              ;443597,00 - 319813,00
   24.03.2020              ;443595,25 - 319806,27
Exportzeitreihe:           ;(4001013,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:30,01.01.2022 00:00]
Werte:
28.04.1990 04:00:00;    49
25.05.1990 21:00:00;    58
11.06.1990 08:45:00;    93
08.07.1990 20:00:00;    82
17.08.1990 17:15:00;    50
24.09.1990 18:15:00;    82
08.10.1990 12:00:00;    53
19.11.1990 23:00:00;    74
24.12.1990 00:00:00;    44
03.01.1991 11:45:00;    57
18.02.1991 05:15:00;    56
20.03.1991 13:00:00;    55
06.04.1991 13:00:00;    42
13.05.1991 02:00:00;    46
27.06.1991 18:30:00;    93
17.07.1991 19:15:00;    93
02.08.1991 22:00:00;   241
23.09.1991 16:30:00;    41
23.10.1991 23:15:00;    39
08.11.1991 04:15:00;    44
23.12.1991 03:00:00;   193
07.01.1992 01:45:00;    38
14.02.1992 06:30:00;    58
23.03.1992 04:00:00;   104
01.04.1992 00:15:00;    36
11.05.1992 22:15:00;    33
13.06.1992 23:15:00;    52
06.07.1992 08:45:00;    39
22.08.1992 07:45:00;    42
04.09.1992 09:15:00;    56
25.10.1992 18:15:00;    56
23.11.1992 09:30:00;   107
12.12.1992 18:15:00;    55
29.01.1993 19:30:00;    59
01.02.1993 08:45:00;    34
17.03.1993 19:15:00;    69
19.04.1993 15:00:00;    52
03.05.1993 21:30:00;    31
17.06.1993 23:00:00;    72
29.07.1993 06:30:00;    74
31.08.1993 07:15:00;    60
29.09.1993 16:30:00;    41
24.10.1993 05:30:00;    51
15.11.1993 21:30:00;    29
20.12.1993 11:15:00;    85
25.01.1994 08:15:00;    50
01.02.1994 00:00:00;    33
26.03.1994 13:00:00;    59
18.04.1994 06:30:00;   128
19.05.1994 22:45:00;    72
05.06.1994 18:45:00;    63
07.07.1994 13:30:00;    30
25.08.1994 14:15:00;    87
13.09.1994 23:00:00;    31
04.10.1994 07:30:00;    42
20.11.1994 08:45:00;    61
28.12.1994 23:45:00;    81
26.01.1995 06:00:00;    48
09.02.1995 18:45:00;    52
19.03.1995 22:45:00;    62
02.04.1995 02:00:00;    84
14.05.1995 04:00:00;   103
26.06.1995 05:30:00;    84
04.07.1995 13:15:00;    44
30.08.1995 05:30:00;    84
02.09.1995 05:15:00;   134
01.10.1995 14:15:00;    37
17.11.1995 18:30:00;    63
25.12.1995 00:15:00;    77
01.01.1996 00:00:00;    33
28.02.1996 20:45:00;    30
