Messstelle:                ;Trausdorf an der Wulka
HZB-Nummer:                ;210328
HD-Nummer:                 ;
DBMS-Nummer:               ;1001029
Gewässer:                  ;Wulka
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;235,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.06.1976              ;00145,25
   01.04.1992              ;00142,68
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.06.1976              ;767528,00 - 297565,00
   03.02.2012              ;767510,00 - 297589,00
   05.10.2018              ;767509,98 - 297558,51
Exportzeitreihe:           ;(1001029,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.06.1976 00:00,01.01.2022 00:00]
Werte:
08.09.1990 00:15:00;   203
29.10.1990 19:45:00;   205
27.11.1990 16:15:00;   198
10.12.1990 15:00:00;   199
08.01.1991 10:45:00;   189
24.02.1991 23:00:00;   185
30.03.1991 15:45:00;   192
19.04.1991 05:15:00;   183
18.05.1991 21:15:00;   311
28.06.1991 03:15:00;   248
28.07.1991 11:15:00;   242
01.08.1991 18:00:00;   233
16.09.1991 03:45:00;   237
08.10.1991 23:00:00;   219
16.11.1991 23:00:00;   236
23.12.1991 08:00:00;   238
10.01.1992 23:00:00;   214
03.02.1992 12:00:00;   210
27.03.1992 04:15:00;   235
16.04.1992 05:15:00;   150
11.05.1992 20:45:00;   150
12.06.1992 18:30:00;   259
12.07.1992 01:00:00;   227
02.08.1992 00:00:00;   153
01.09.1992 12:30:00;   175
05.10.1992 22:15:00;   189
23.11.1992 15:45:00;   187
06.12.1992 02:15:00;   216
25.01.1993 09:45:00;   144
08.02.1993 01:45:00;   142
12.03.1993 15:15:00;   150
11.04.1993 19:45:00;   145
28.05.1993 18:00:00;   155
20.06.1993 17:30:00;   228
25.07.1993 22:15:00;   199
25.08.1993 08:15:00;   159
26.09.1993 11:45:00;   149
23.10.1993 00:45:00;   167
06.11.1993 09:00:00;   167
10.12.1993 12:30:00;   157
01.01.1994 17:45:00;   172
08.02.1994 22:30:00;   139
09.03.1994 04:15:00;   148
18.04.1994 14:45:00;   200
29.05.1994 03:45:00;   176
19.06.1994 19:45:00;   181
12.07.1994 23:15:00;   159
08.08.1994 20:30:00;   137
03.09.1994 13:15:00;   135
24.10.1994 19:15:00;   180
11.11.1994 23:00:00;   188
11.12.1994 14:00:00;   170
24.01.1995 05:30:00;   143
26.02.1995 22:30:00;   162
05.03.1995 01:45:00;   178
30.04.1995 23:45:00;   162
13.05.1995 03:15:00;   181
06.06.1995 14:15:00;   197
28.07.1995 11:00:00;   138
20.08.1995 07:00:00;   171
15.09.1995 09:15:00;   208
28.10.1995 15:45:00;   136
29.11.1995 06:30:00;   152
19.12.1995 18:30:00;   149
11.01.1996 00:45:00;   161
20.02.1996 17:30:00;   151
18.03.1996 21:15:00;   169
05.04.1996 22:00:00;   235
13.05.1996 04:15:00;   259
22.06.1996 19:15:00;   238
06.07.1996 21:00:00;   188
13.08.1996 04:45:00;   175
23.09.1996 21:30:00;   293
22.10.1996 08:30:00;   198
14.11.1996 16:30:00;   148
20.12.1996 21:00:00;   142
22.01.1997 17:47:25;   141
13.02.1997 22:00:35;   142
20.03.1997 13:36:00;   176
15.04.1997 13:14:50;   150
20.05.1997 20:40:40;   239
17.06.1997 04:37:20;   195
08.07.1997 09:52:05;   222
18.08.1997 21:00:50;   193
13.09.1997 22:38:10;   160
02.10.1997 03:37:10;   142
14.11.1997 08:33:05;   151
03.12.1997 18:59:35;   150
18.01.1998 17:38:50;   142
10.02.1998 14:47:15;   138
18.03.1998 01:31:40;   185
16.04.1998 17:49:40;   148
18.05.1998 04:30:30;   172
13.06.1998 16:01:10;   153
02.07.1998 00:53:25;   179
23.08.1998 09:12:15;   158
26.09.1998 13:30:45;   211
12.10.1998 19:33:50;   155
10.11.1998 22:57:35;   168
15.12.1998 06:24:45;   155
11.01.1999 14:21:30;   138
13.02.1999 21:03:55;   143
07.03.1999 15:12:05;   152
08.04.1999 00:21:25;   167
21.05.1999 08:53:15;   262
16.06.1999 12:59:15;   160
10.07.1999 11:59:45;   216
10.08.1999 19:16:20;   169
02.09.1999 16:14:55;   167
24.10.1999 09:48:05;   155
10.11.1999 04:39:20;   166
11.12.1999 06:22:20;   148
18.01.2000 13:31:30;   171
01.02.2000 00:00:00;   150
30.03.2000 23:13:25;   189
02.04.2000 04:49:15;   161
02.05.2000 00:44:20;   164
13.06.2000 20:50:05;   183
08.07.2000 01:28:15;   176
06.08.2000 10:08:20;   186
17.09.2000 02:21:30;   175
03.10.2000 09:40:35;   165
04.11.2000 22:44:20;   157
28.12.2000 07:29:15;   158
08.01.2001 22:07:40;   142
20.02.2001 21:38:05;   140
25.03.2001 20:20:05;   162
08.04.2001 11:19:55;   149
06.05.2001 12:32:15;   146
11.06.2001 06:45:20;   146
20.07.2001 04:41:05;   177
09.08.2001 00:49:25;   167
04.09.2001 22:21:50;   141
29.10.2001 08:54:30;   134
11.11.2001 13:02:05;   138
06.12.2001 12:18:15;   154
28.01.2002 18:33:15;   130
14.02.2002 11:18:30;   134
20.03.2002 19:46:00;   186
14.04.2002 17:38:20;   136
26.05.2002 07:00:05;   150
09.06.2002 15:25:40;   148
04.07.2002 09:47:25;   147
22.08.2002 12:50:30;   150
05.09.2002 16:38:55;   163
12.10.2002 15:23:00;   170
22.11.2002 22:09:15;   142
06.12.2002 23:50:05;   152
27.01.2003 23:23:05;   154
01.02.2003 00:00:00;   133
30.03.2003 21:26:20;   134
02.04.2003 21:17:50;   135
13.05.2003 03:31:10;   179
15.06.2003 03:36:25;   194
18.07.2003 02:38:35;   159
31.08.2003 16:52:50;   144
13.09.2003 18:37:10;   140
05.10.2003 06:35:40;   155
02.11.2003 12:32:40;   151
31.12.2003 17:30:45;   137
01.01.2004 00:00:00;   137
03.02.2004 04:17:10;   139
23.03.2004 17:59:20;   157
04.04.2004 17:07:10;   142
16.05.2004 08:01:35;   159
04.06.2004 16:28:15;   169
18.07.2004 18:45:55;   184
06.08.2004 17:09:40;   132
