Messstelle:                ;Königswiesen (Ort)
HZB-Nummer:                ;205997
HD-Nummer:                 ;9420
DBMS-Nummer:               ;4001141
Gewässer:                  ;Große Naarn
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;80,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00560,00
   01.01.1984              ;00563,39
   01.01.1987              ;00562,56
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1976              ;561602,00 - 363922,00
   27.03.2020              ;561573,94 - 363955,58
Exportzeitreihe:           ;(4001141,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 02:00,01.01.2022 00:00]
Werte:
27.04.1990 04:00:00;   141
25.05.1990 20:00:00;   168
03.06.1990 18:00:00;   152
10.07.1990 10:00:00;   173
07.08.1990 00:00:00;   132
24.09.1990 16:00:00;   145
08.10.1990 14:00:00;   136
19.11.1990 20:00:00;   142
31.12.1990 22:00:00;   137
03.01.1991 18:00:00;   166
25.02.1991 20:00:00;   139
20.03.1991 16:00:00;   139
06.04.1991 00:00:00;   166
18.05.1991 18:00:00;   194
28.06.1991 00:00:00;   198
17.07.1991 22:00:00;   195
02.08.1991 20:00:00;   275
01.09.1991 00:00:00;   126
18.10.1991 08:00:00;   128
17.11.1991 02:00:00;   137
23.12.1991 18:00:00;   173
07.01.1992 02:15:00;   145
16.02.1992 10:00:00;   153
13.03.1992 19:45:00;   207
06.04.1992 02:30:00;   170
01.05.1992 00:00:00;   138
13.06.1992 23:15:00;   170
03.07.1992 02:00:00;   141
22.08.1992 06:45:00;   166
01.09.1992 13:00:00;   155
26.10.1992 08:15:00;   153
23.11.1992 15:00:00;   177
06.12.1992 00:00:00;   131
12.01.1993 00:01:00;   147
21.02.1993 19:30:00;   126
18.03.1993 19:00:00;   216
19.04.1993 13:30:00;   169
28.05.1993 04:15:00;   142
04.06.1993 19:45:00;   332
28.07.1993 23:00:00;   173
31.08.1993 21:00:00;   165
01.09.1993 00:00:00;   161
24.10.1993 08:30:00;   158
01.11.1993 08:45:00;   130
21.12.1993 13:15:00;   214
08.01.1994 16:00:00;   150
26.02.1994 17:30:00;   136
20.03.1994 03:00:00;   148
17.04.1994 17:30:00;   212
20.05.1994 00:45:00;   163
05.06.1994 22:45:00;   151
19.07.1994 02:30:00;   209
25.08.1994 23:30:00;   134
02.09.1994 00:00:00;   125
29.10.1994 08:00:00;   128
18.11.1994 23:00:00;   135
29.12.1994 00:30:00;   173
26.01.1995 09:00:00;   168
16.02.1995 20:30:00;   155
27.03.1995 19:45:00;   199
02.04.1995 19:30:00;   201
13.05.1995 18:45:00;   152
06.06.1995 11:45:00;   145
28.07.1995 04:00:00;   169
04.08.1995 15:45:00;   168
01.09.1995 14:45:00;   236
01.10.1995 11:30:00;   139
17.11.1995 08:45:00;   192
25.12.1995 01:15:00;   197
01.01.1996 07:30:00;   138
01.02.1996 00:00:00;   124
25.03.1996 02:30:00;   145
09.04.1996 18:00:00;   166
14.05.1996 10:45:00;   231
13.06.1996 10:00:00;   162
09.07.1996 05:45:00;   167
14.08.1996 00:00:00;   147
07.09.1996 02:15:00;   135
22.10.1996 05:30:00;   216
08.11.1996 14:00:00;   147
03.12.1996 02:15:00;   131
01.01.1997 00:00:00;   126
13.02.1997 17:28:15;   169
17.03.1997 10:20:55;   171
30.04.1997 23:59:55;   156
01.05.1997 00:04:00;   156
12.06.1997 19:38:20;   137
18.07.1997 12:10:30;   279
16.08.1997 07:19:05;   166
04.09.1997 21:27:40;   151
02.10.1997 11:34:50;   138
30.11.1997 19:47:30;   142
12.12.1997 14:17:15;   194
04.01.1998 04:43:10;   133
13.02.1998 16:32:15;   152
17.03.1998 19:49:05;   161
19.04.1998 12:06:30;   139
27.05.1998 22:15:50;   145
13.06.1998 07:13:25;   180
09.07.1998 08:30:30;   170
14.08.1998 00:37:45;   176
15.09.1998 22:49:40;   194
29.10.1998 20:16:25;   177
11.11.1998 01:17:20;   162
16.12.1998 20:56:00;   141
08.01.1999 21:07:20;   152
05.02.1999 17:44:05;   145
03.03.1999 07:35:05;   172
01.04.1999 21:04:00;   170
13.05.1999 05:55:55;   154
03.06.1999 03:03:40;   135
10.07.1999 00:07:25;   237
28.08.1999 16:51:00;   147
02.09.1999 22:40:40;   137
01.10.1999 00:37:30;   120
09.11.1999 18:02:55;   128
13.12.1999 07:57:55;   129
31.01.2000 15:09:45;   181
09.02.2000 06:06:45;   192
09.03.2000 20:28:05;   206
02.04.2000 20:40:20;   180
01.05.2000 13:17:55;   136
07.06.2000 02:09:35;   136
04.07.2000 18:32:10;   175
07.08.2000 10:46:55;   161
17.09.2000 17:56:50;   134
08.10.2000 03:12:15;   135
05.11.2000 04:31:15;   131
11.12.2000 10:10:20;   151
01.01.2001 12:03:20;   118
10.02.2001 12:10:05;   130
23.03.2001 03:06:05;   198
08.04.2001 19:24:40;   161
15.05.2001 19:25:05;   162
11.06.2001 14:06:50;   143
20.07.2001 11:37:45;   155
28.08.2001 01:57:00;   159
09.09.2001 05:09:30;   205
05.10.2001 13:10:30;   136
08.11.2001 10:30:45;   142
30.12.2001 06:36:30;   193
28.01.2002 17:50:15;   198
27.02.2002 17:34:00;   189
21.03.2002 15:39:00;   231
01.04.2002 00:00:00;   155
10.05.2002 19:56:35;   141
08.06.2002 00:43:20;   224
06.07.2002 22:51:20;   192
07.08.2002 23:12:15;   429
01.09.2002 12:07:15;   145
12.10.2002 19:45:05;   208
04.11.2002 20:46:40;   175
23.12.2002 09:40:50;   181
02.01.2003 23:07:55;   162
10.02.2003 10:46:35;   131
12.03.2003 18:02:55;   165
01.04.2003 00:00:00;   143
14.05.2003 01:41:50;   145
09.06.2003 04:48:15;   139
25.07.2003 04:16:30;   148
01.08.2003 01:50:20;   141
24.09.2003 03:50:35;   128
07.10.2003 21:36:40;   157
02.11.2003 14:37:25;   118
14.12.2003 17:59:00;   126
14.01.2004 09:14:10;   162
03.02.2004 11:37:40;   178
21.03.2004 16:56:35;   185
02.04.2004 21:04:40;   160
16.05.2004 10:00:40;   136
05.06.2004 22:36:25;   165
24.07.2004 16:22:50;   201
06.08.2004 23:02:20;   145
24.09.2004 08:20:55;   157
09.10.2004 10:17:55;   141
23.11.2004 17:51:35;   178
01.12.2004 00:00:00;   135
21.01.2005 05:35:45;   193
13.02.2005 06:13:30;   174
27.03.2005 18:42:15;   201
20.04.2005 16:20:40;   178
31.05.2005 02:18:00;   236
30.06.2005 05:23:50;   158
11.07.2005 04:16:30;   257
16.08.2005 12:58:35;   184
12.09.2005 17:37:10;   278
03.10.2005 17:33:35;   136
16.11.2005 22:06:10;   124
22.12.2005 15:57:45;   129
04.01.2006 16:50:55;   123
17.02.2006 19:12:40;   125
31.03.2006 20:31:50;   242
01.04.2006 00:00:00;   234
28.05.2006 14:32:00;   200
03.06.2006 18:00:05;   188
22.07.2006 16:46:05;   205
07.08.2006 07:49:40;   265
08.09.2006 08:15:00;   142
29.10.2006 21:15:00;   134
05.11.2006 23:15:00;   160
11.12.2006 11:30:00;   124
19.01.2007 16:45:00;   160
28.02.2007 20:45:00;   176
04.03.2007 00:15:00;   172
01.04.2007 00:15:00;   150
10.05.2007 03:30:00;   169
10.06.2007 21:00:00;   142
06.07.2007 07:00:00;   160
11.08.2007 15:30:00;   141
07.09.2007 06:45:00;   258
25.10.2007 18:15:00;   137
11.11.2007 20:30:00;   184
07.12.2007 17:00:00;   186
19.01.2008 12:15:00;   173
29.02.2008 23:59:55;   143
01.03.2008 15:30:00;   202
23.04.2008 00:15:00;   159
07.05.2008 00:30:00;   152
04.06.2008 18:30:00;   144
30.07.2008 14:45:00;   283
01.08.2008 18:45:00;   282
16.09.2008 12:30:00;   152
04.10.2008 04:45:00;   136
21.11.2008 19:15:00;   145
23.12.2008 00:00:00;   141
14.01.2009 13:45:00;   125
10.02.2009 23:00:00;   128
29.03.2009 19:30:00;   163
06.04.2009 19:15:00;   241
06.05.2009 20:45:00;   148
24.06.2009 06:45:00;   251
03.07.2009 18:45:00;   184
03.08.2009 00:30:00;   221
04.09.2009 19:15:00;   156
12.10.2009 13:00:00;   144
04.11.2009 21:45:00;   144
25.12.2009 17:45:00;   143
01.01.2010 01:00:00;   132
28.02.2010 23:59:55;   134
26.03.2010 19:00:00;   175
14.04.2010 18:15:00;   163
14.05.2010 04:15:40;   163
02.06.2010 19:56:50;   194
18.07.2010 05:15:00;   207
03.08.2010 00:30:00;   288
01.09.2010 00:00:00;   156
01.10.2010 00:00:00;   130
22.11.2010 10:15:00;   123
09.12.2010 09:45:00;   130
14.01.2011 13:15:00;   198
12.02.2011 05:45:00;   150
18.03.2011 08:30:00;   162
04.04.2011 22:30:00;   139
27.05.2011 21:30:00;   160
23.06.2011 20:15:00;   152
28.07.2011 17:45:00;   156
04.08.2011 09:00:00;   143
20.09.2011 00:15:00;   148
13.10.2011 05:30:00;   177
24.11.2011 16:45:00;   121
17.12.2011 01:45:00;   137
20.01.2012 05:00:00;   165
29.02.2012 15:45:00;   146
18.03.2012 19:30:00;   164
16.04.2012 19:00:00;   151
12.05.2012 18:00:00;   132
13.06.2012 04:15:00;   279
01.07.2012 22:30:00;   146
05.08.2012 01:15:00;   168
13.09.2012 07:30:00;   150
03.10.2012 14:30:00;   125
05.11.2012 15:15:00;   134
23.12.2012 21:15:00;   197
31.01.2013 02:15:00;   191
02.02.2013 14:30:00;   177
11.03.2013 03:30:00;   159
13.04.2013 20:00:00;   156
31.05.2013 15:00:00;   228
02.06.2013 09:00:00;   251
03.07.2013 23:30:00;   215
10.08.2013 00:30:00;   165
17.09.2013 06:15:00;   159
21.10.2013 14:00:00;   125
07.11.2013 02:45:00;   133
27.12.2013 00:15:00;   127
10.01.2014 15:00:00;   124
01.02.2014 20:45:00;   128
24.03.2014 00:00:00;   129
29.04.2014 00:30:00;   133
28.05.2014 16:45:00;   211
11.06.2014 22:45:00;   156
31.07.2014 06:30:00;   171
09.08.2014 22:15:00;   157
14.09.2014 09:45:00;   168
23.10.2014 12:00:00;   221
08.11.2014 13:45:00;   135
20.12.2014 04:45:00;   140
10.01.2015 11:45:00;   211
05.02.2015 17:00:00;   133
31.03.2015 17:45:00;   156
01.04.2015 00:00:00;   148
06.05.2015 04:15:00;   158
19.06.2015 11:15:00;   135
23.07.2015 17:45:00;   122
17.08.2015 13:30:00;   140
04.09.2015 03:00:00;   132
08.10.2015 10:00:00;   145
21.11.2015 03:30:00;   149
01.12.2015 00:00:00;   133
29.01.2016 17:45:00;   149
01.02.2016 19:15:00;   164
03.03.2016 04:45:00;   138
09.04.2016 01:45:00;   136
31.05.2016 08:00:00;   193
06.06.2016 17:00:00;   174
14.07.2016 18:15:00;   191
10.08.2016 15:15:00;   150
05.09.2016 10:15:00;   159
04.10.2016 17:15:00;   148
17.11.2016 02:30:00;   143
26.12.2016 15:15:00;   140
01.01.2017 21:29:05;   125
23.02.2017 18:00:00;   180
19.03.2017 05:39:25;   182
29.04.2017 19:45:00;   145
14.05.2017 23:30:00;   138
27.06.2017 22:15:00;   129
26.07.2017 16:15:00;   150
06.08.2017 23:45:00;   145
03.09.2017 10:15:00;   128
29.10.2017 15:00:00;   156
13.11.2017 01:15:00;   157
31.12.2017 18:45:00;   144
05.01.2018 06:30:00;   169
01.02.2018 07:00:00;   140
12.03.2018 16:15:00;   158
02.04.2018 02:45:00;   133
18.05.2018 01:30:00;   131
12.06.2018 22:15:00;   267
22.07.2018 09:45:00;   229
02.08.2018 17:15:00;   131
04.09.2018 00:45:00;   136
28.10.2018 01:15:00;   126
17.11.2018 15:30:00;   126
22.12.2018 16:45:00;   213
12.01.2019 12:45:00;   149
28.02.2019 23:59:55;   151
16.03.2019 11:15:00;   261
30.04.2019 14:00:00;   148
29.05.2019 14:45:00;   168
22.06.2019 03:15:00;   151
27.07.2019 19:30:00;   195
03.08.2019 15:15:00;   181
02.09.2019 14:30:00;   145
05.10.2019 11:45:00;   134
05.11.2019 15:00:00;   123
21.12.2019 20:15:00;   141
31.01.2020 17:45:00;   161
03.02.2020 15:30:00;   198
03.03.2020 17:15:00;   149
01.04.2020 14:15:00;   128
31.05.2020 23:15:00;   130
21.06.2020 17:00:00;   190
20.07.2020 17:00:00;   209
30.08.2020 01:45:00;   159
01.09.2020 12:30:00;   161
14.10.2020 21:15:00;   160
02.11.2020 06:00:00;   145
23.12.2020 02:15:00;   136
29.01.2021 18:45:00;   161
04.02.2021 08:30:00;   166
12.03.2021 04:00:00;   135
20.04.2021 22:00:00;   135
13.05.2021 18:45:00;   165
12.06.2021 15:00:00;   166
26.07.2021 22:00:00;   331
05.08.2021 06:00:00;   180
01.09.2021 00:00:00;   130
13.10.2021 05:00:00;   130
02.11.2021 06:15:00;   128
31.12.2021 04:15:00;   151
01.01.2022 00:00:00;   142
