Messstelle:                ;Nußdorf
HZB-Nummer:                ;203844
HD-Nummer:                 ;
DBMS-Nummer:               ;5001079
Gewässer:                  ;Oichten
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;40,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1983              ;00416,00
   26.04.2007              ;00414,11
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1983              ;425530,00 - 315620,00
Exportzeitreihe:           ;(5001079,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1983 01:00,01.01.2022 00:00]
Werte:
05.07.1997 19:00:15;   232
02.08.1997 00:53:25;   190
07.09.1997 06:41:10;    93
01.10.1997 22:38:05;   131
30.11.1997 23:59:55;    97
12.12.1997 06:34:15;   156
07.01.1998 12:05:45;    48
17.02.1998 17:29:45;    38
17.03.1998 14:35:15;   169
14.04.1998 18:25:15;    96
22.05.1998 01:17:25;    42
16.06.1998 00:16:20;    86
14.07.1998 03:02:50;   106
01.08.1998 00:00:00;    43
06.09.1998 02:49:50;    88
29.10.1998 20:37:50;   110
10.11.1998 20:50:00;   148
13.12.1998 16:59:10;   111
08.01.1999 11:26:30;    95
20.02.1999 18:43:40;   212
02.03.1999 23:44:25;    96
05.04.1999 01:10:10;    74
21.05.1999 12:48:55;   192
18.06.1999 12:29:15;   104
10.07.1999 10:29:10;    89
30.08.1999 02:56:00;    82
18.09.1999 03:31:15;    54
07.10.1999 05:09:50;    48
13.11.1999 09:18:05;    74
19.12.1999 12:18:25;   134
30.01.2000 16:55:00;   210
19.02.2000 18:15:50;   114
17.03.2000 16:08:20;   186
06.04.2000 04:47:10;    69
31.05.2000 18:54:05;    71
01.06.2000 00:00:00;    58
14.07.2000 12:53:45;    83
06.08.2000 18:27:20;   149
22.09.2000 12:10:20;   108
03.10.2000 12:02:00;   159
04.11.2000 18:33:15;    46
19.12.2000 09:56:45;   116
26.01.2001 07:04:45;    64
04.02.2001 14:24:40;   107
21.03.2001 09:34:15;    84
08.04.2001 17:16:50;   134
16.05.2001 02:09:00;    40
11.06.2001 07:10:50;   171
20.07.2001 17:33:35;    70
10.08.2001 14:41:50;    87
13.09.2001 00:12:05;   202
24.10.2001 14:05:45;    85
26.11.2001 13:37:30;   103
30.12.2001 02:49:55;   169
27.01.2002 23:40:25;    81
25.02.2002 18:10:15;    83
21.03.2002 02:06:55;   183
24.04.2002 08:12:55;    41
28.05.2002 20:57:40;    50
07.06.2002 19:35:30;   103
17.07.2002 21:08:05;    61
12.08.2002 09:17:00;   233
27.09.2002 20:30:10;   142
13.10.2002 04:57:30;   113
03.11.2002 19:50:45;   119
23.12.2002 06:36:50;   145
28.01.2003 15:30:35;   150
01.02.2003 00:00:00;    50
07.03.2003 05:48:30;    89
02.04.2003 23:29:00;    39
14.05.2003 03:30:55;    40
27.06.2003 17:49:50;    68
04.07.2003 17:37:10;    42
31.08.2003 14:30:00;    35
12.09.2003 15:45:00;    89
06.10.2003 00:00:00;    71
29.11.2003 03:30:00;    36
21.12.2003 19:45:00;    41
13.01.2004 01:45:00;   114
03.02.2004 16:00:00;    62
28.03.2004 18:15:00;    64
11.04.2004 14:15:00;    87
13.05.2004 16:45:00;    74
03.06.2004 18:45:00;   194
09.07.2004 07:15:00;    86
26.08.2004 18:00:00;   101
26.09.2004 01:30:00;    82
09.10.2004 07:15:00;   121
01.11.2004 00:00:00;    58
01.12.2004 00:00:00;    36
21.01.2005 13:15:00;    64
13.02.2005 02:30:00;   169
19.03.2005 21:00:00;   137
26.04.2005 06:15:00;   169
18.05.2005 19:45:00;   142
14.06.2005 20:00:00;   155
02.07.2005 15:45:00;   132
16.08.2005 10:30:00;   229
29.09.2005 09:15:00;   112
02.10.2005 15:00:00;   110
22.11.2005 15:15:00;    44
16.12.2005 20:30:00;    73
02.01.2006 05:00:00;    53
17.02.2006 08:15:00;    89
29.03.2006 02:00:00;   180
06.04.2006 15:45:00;    90
28.05.2006 16:00:00;   164
22.06.2006 22:00:00;   188
09.07.2006 20:00:00;   115
07.08.2006 05:45:00;   221
19.09.2006 05:45:00;   163
04.10.2006 05:00:00;    70
05.11.2006 16:45:00;   106
10.12.2006 08:15:00;    75
09.01.2007 18:30:00;    59
12.02.2007 05:00:00;    95
03.03.2007 17:15:00;    88
30.04.2007 23:59:55;    50
29.05.2007 11:00:00;   162
02.06.2007 00:15:00;    95
09.07.2007 20:00:00;    92
30.08.2007 07:30:00;    34
06.09.2007 21:30:00;   219
24.10.2007 00:45:00;    53
11.11.2007 21:00:00;   133
12.12.2007 15:00:00;   104
19.01.2008 10:00:00;    60
29.02.2008 13:00:00;    42
15.03.2008 00:30:00;   144
22.04.2008 06:00:00;   119
06.05.2008 19:30:00;    44
05.06.2008 07:15:00;    37
12.07.2008 19:45:00;    98
16.08.2008 11:00:00;   111
16.09.2008 07:00:00;    59
30.10.2008 08:00:00;    43
21.11.2008 18:15:00;   120
20.12.2008 23:30:00;   165
24.01.2009 00:15:00;    44
28.02.2009 17:15:00;   137
13.03.2009 07:45:00;   168
28.04.2009 16:15:00;    75
30.05.2009 19:15:00;    88
24.06.2009 07:00:00;   258
06.07.2009 23:45:00;   164
04.08.2009 13:00:00;   132
02.09.2009 22:00:00;    87
17.10.2009 10:30:00;    67
02.11.2009 22:00:00;    70
08.12.2009 12:00:00;    68
17.01.2010 22:39:20;    64
04.02.2010 08:08:20;    66
17.03.2010 11:30:00;    49
14.04.2010 09:00:00;    46
22.05.2010 13:00:00;    45
03.06.2010 01:15:00;    73
23.07.2010 18:00:00;    62
24.08.2010 06:15:00;    63
01.09.2010 00:00:00;    52
25.10.2010 08:00:00;    53
12.11.2010 14:45:00;    43
08.12.2010 16:45:00;    47
