Messstelle:                ;Achau (Pottendorfer Linie)
HZB-Nummer:                ;209031
HD-Nummer:                 ;no421
DBMS-Nummer:               ;3003045
Gewässer:                  ;Krottenbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;27,8
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   30.09.2004              ;00174,75
   01.09.2019              ;00173,92
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   30.09.2004              ;752821,00 - 327864,00
Exportzeitreihe:           ;(3003045,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.2005 00:00,01.01.2022 00:00]
Werte:
07.06.2019 01:55:00;   169
28.07.2019 22:35:00;   168
12.08.2019 19:40:00;   153
09.09.2019 03:00:00;   181
02.10.2019 18:40:00;   144
05.11.2019 12:20:00;   162
23.12.2019 12:50:00;   177
05.01.2020 02:25:00;   141
03.02.2020 11:40:00;   151
06.03.2020 10:03:15;   145
13.04.2020 21:45:00;   143
23.05.2020 22:30:00;   198
10.06.2020 12:45:00;   172
26.07.2020 16:05:00;   191
22.08.2020 23:35:00;   162
25.09.2020 11:00:00;   187
12.10.2020 01:35:00;   169
01.11.2020 21:25:00;   144
24.12.2020 12:45:00;   142
29.01.2021 13:10:00;   156
17.02.2021 10:55:00;   143
05.03.2021 12:45:00;   137
12.04.2021 20:50:00;   148
23.05.2021 13:00:00;   155
30.06.2021 20:00:00;   167
18.07.2021 01:15:00;   218
17.08.2021 00:40:00;   225
17.09.2021 01:50:00;   166
07.10.2021 07:25:00;   161
02.11.2021 04:30:00;   162
05.12.2021 02:30:00;   144
