Messstelle:                ;Presseggen-See
HZB-Nummer:                ;212746
HD-Nummer:                 ;00404
DBMS-Nummer:               ;2001037
Gewässer:                  ;Pressegger See
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;29,6
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1931              ;00559,69
   01.01.1940              ;00558,69
   01.01.1948              ;00558,31
   06.12.1965              ;00558,78
   01.01.1997              ;00558,78
   06.10.2009              ;00558,77
   01.01.2010              ;00558,77
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1931              ;457848,55 - 165470,99
   01.01.1997              ;457893,00 - 165345,00
   01.01.2010              ;458088,00 - 165459,00
Exportzeitreihe:           ;(2001037,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 02:00,01.01.2022 00:00]
Werte:
19.12.1989 08:00:00;   116
30.01.1990 08:00:00;   110
01.02.1990 00:00:00;   110
27.03.1990 08:00:00;   112
06.04.1990 10:00:00;   116
01.05.1990 00:00:00;   111
09.06.1990 08:00:00;   110
11.07.1990 08:00:00;   132
07.08.1990 08:00:00;   122
25.09.1990 08:00:00;   132
01.10.1990 00:00:00;   118
27.11.1990 08:00:00;   184
01.12.1990 00:00:00;   168
06.01.1991 08:00:00;   106
12.02.1991 10:00:00;   100
11.03.1991 10:00:00;   116
01.04.1991 00:00:00;   116
13.05.1991 08:00:00;   132
29.06.1991 08:00:00;   114
26.07.1991 08:00:00;   136
01.08.1991 00:00:00;   131
01.09.1991 00:00:00;   127
01.10.1991 02:00:00;   148
21.11.1991 08:00:00;   132
01.12.1991 00:00:00;   123
01.01.1992 00:00:00;   110
29.02.1992 23:59:55;   104
25.03.1992 08:00:00;   128
06.04.1992 08:00:00;   125
01.05.1992 02:00:00;   127
13.06.1992 08:00:00;   111
12.07.1992 08:00:00;   113
01.08.1992 00:00:00;   108
05.09.1992 08:00:00;   115
07.10.1992 08:00:00;   130
18.11.1992 08:00:00;   126
06.12.1992 08:00:00;   157
01.01.1993 00:00:00;   107
01.02.1993 00:00:00;   101
24.03.1993 10:00:00;   103
01.04.1993 00:00:00;   103
01.05.1993 02:00:00;    98
05.06.1993 08:00:00;    98
22.07.1993 08:00:00;   122
28.08.1993 08:00:00;   110
26.09.1993 08:00:00;   123
10.10.1993 08:00:00;   195
01.11.1993 00:00:00;   155
01.12.1993 00:00:00;   107
15.01.1994 08:00:00;   120
01.02.1994 00:00:00;   109
05.03.1994 10:00:00;   105
18.04.1994 10:00:00;   113
19.05.1994 08:00:00;   109
05.06.1994 08:00:00;   109
19.07.1994 08:00:00;   113
18.08.1994 08:00:00;   111
16.09.1994 08:00:00;   141
27.10.1994 08:00:00;   109
12.11.1994 08:00:00;   111
01.12.1994 00:00:00;   100
26.01.1995 08:00:00;   105
23.02.1995 10:00:00;   107
18.03.1995 08:00:00;   111
01.04.1995 00:00:00;   111
13.05.1995 08:00:00;   111
12.06.1995 08:00:00;   116
27.07.1995 08:00:00;   109
28.08.1995 08:00:00;   110
14.09.1995 08:00:00;   116
01.10.1995 00:00:00;   110
18.11.1995 08:00:00;    98
25.12.1995 08:00:00;   102
01.01.1996 00:00:00;   102
01.02.1996 00:00:00;    99
28.03.1996 08:00:00;   108
03.04.1996 08:00:00;   109
24.05.1996 08:00:00;   117
23.06.1996 08:00:00;   160
09.07.1996 08:00:00;   158
14.08.1996 08:00:00;   125
01.09.1996 00:00:00;   116
18.10.1996 08:00:00;   175
20.11.1996 08:00:00;   236
01.12.1996 00:00:00;   156
01.01.1997 00:00:00;   102
28.02.1997 23:59:55;   101
01.03.1997 08:00:00;   101
01.04.1997 00:00:00;    95
28.05.1997 08:00:00;   106
30.06.1997 08:00:00;   126
01.07.1997 00:00:00;   126
18.08.1997 08:00:00;   118
14.09.1997 08:00:00;   117
01.10.1997 00:00:00;   113
08.11.1997 08:00:00;   118
22.12.1997 08:00:00;   119
03.01.1998 08:00:00;   117
01.02.1998 00:00:00;   114
20.03.1998 08:00:00;   114
06.04.1998 08:00:00;   116
01.05.1998 00:00:00;   114
11.06.1998 08:00:00;   116
04.07.1998 08:00:00;   121
28.08.1998 08:00:00;   118
14.09.1998 08:00:00;   154
09.10.1998 08:00:00;   215
06.11.1998 08:00:00;   120
01.12.1998 00:00:00;   115
01.01.1999 00:00:00;   114
28.02.1999 23:59:55;   113
04.03.1999 07:00:00;   117
17.04.1999 07:00:00;   125
21.05.1999 07:00:00;   118
22.06.1999 07:00:00;   118
23.07.1999 07:00:00;   126
31.08.1999 07:00:00;   132
01.09.1999 00:00:00;   131
05.10.1999 07:00:00;   144
01.11.1999 00:00:00;   117
09.12.1999 07:00:00;   115
01.01.2000 00:00:00;   114
26.02.2000 07:00:00;   113
30.03.2000 07:00:00;   120
01.04.2000 00:00:00;   119
20.05.2000 07:00:00;   118
25.06.2000 07:00:00;   117
11.07.2000 07:00:00;   118
06.08.2000 07:00:00;   117
21.09.2000 07:00:00;   114
14.10.2000 07:00:00;   191
18.11.2000 07:00:00;   210
01.12.2000 00:00:00;   141
09.01.2001 07:00:00;   176
01.02.2001 00:00:00;   116
13.03.2001 07:00:00;   120
21.04.2001 07:00:00;   121
01.05.2001 00:00:00;   120
12.06.2001 07:00:00;   136
20.07.2001 07:00:00;   120
31.08.2001 23:59:55;   116
01.09.2001 07:00:00;   118
06.10.2001 07:00:00;   116
10.11.2001 07:00:00;   114
01.12.2001 00:00:00;   112
01.01.2002 00:00:00;   110
07.02.2002 07:00:00;   111
03.03.2002 07:00:00;   114
13.04.2002 07:00:00;   114
05.05.2002 07:00:00;   114
07.06.2002 16:00:00;   131
03.07.2002 08:00:00;   111
11.08.2002 08:00:00;   122
25.09.2002 07:00:00;   116
19.10.2002 07:00:00;   142
27.11.2002 18:00:00;   240
01.12.2002 00:00:00;   197
01.01.2003 00:00:00;   114
04.02.2003 19:00:00;   113
13.03.2003 12:00:00;   112
04.04.2003 21:00:00;   115
21.05.2003 13:00:00;   118
12.06.2003 23:00:00;   116
04.07.2003 13:00:00;   117
31.08.2003 23:59:55;   179
01.09.2003 11:00:00;   179
06.10.2003 14:00:00;   133
02.11.2003 16:00:00;   183
01.12.2003 00:00:00;   131
01.01.2004 00:00:00;   114
24.02.2004 02:00:00;   113
22.03.2004 20:00:00;   123
07.04.2004 18:00:00;   127
23.05.2004 04:00:00;   119
21.06.2004 04:00:00;   123
12.07.2004 03:00:00;   121
21.08.2004 18:00:00;   117
16.09.2004 00:00:00;   117
31.10.2004 23:59:55;   160
01.11.2004 21:00:00;   167
01.12.2004 07:00:00;   114
01.01.2005 00:00:00;   112
14.02.2005 15:00:00;   109
19.03.2005 07:00:00;   112
20.04.2005 07:00:00;   115
09.05.2005 07:00:00;   113
01.06.2005 00:00:00;   110
19.07.2005 06:00:00;   116
22.08.2005 13:00:00;   116
19.09.2005 03:00:00;   118
07.10.2005 02:00:00;   142
26.11.2005 20:00:00;   113
03.12.2005 17:00:00;   113
01.01.2006 19:00:00;   110
21.02.2006 00:00:00;   111
30.03.2006 02:00:00;   129
01.04.2006 00:00:00;   127
01.05.2006 00:00:00;   120
01.06.2006 00:00:00;   114
01.07.2006 00:00:00;   110
12.08.2006 15:30:00;   122
18.09.2006 01:00:00;   111
05.10.2006 07:00:00;   120
22.11.2006 08:00:00;   110
10.12.2006 02:15:00;   121
23.01.2007 14:00:00;   114
26.02.2007 03:15:00;   115
19.03.2007 17:30:00;   118
04.04.2007 00:30:00;   116
29.05.2007 08:30:00;   113
01.06.2007 00:30:00;   110
10.07.2007 08:15:00;   115
30.08.2007 13:30:00;   114
28.09.2007 03:15:00;   116
06.10.2007 10:45:00;   115
25.11.2007 08:00:00;   127
01.12.2007 00:00:00;   112
13.01.2008 01:00:00;   115
04.02.2008 08:15:00;   112
04.03.2008 16:00:00;   113
12.04.2008 14:00:00;   115
19.05.2008 04:00:00;   120
06.06.2008 02:15:00;   117
07.07.2008 17:15:00;   115
16.08.2008 15:30:00;   166
01.09.2008 22:00:00;   113
31.10.2008 23:45:00;   176
01.11.2008 09:00:00;   183
02.12.2008 11:00:00;   119
21.01.2009 21:30:00;   121
08.02.2009 23:30:00;   131
30.03.2009 16:30:00;   127
06.04.2009 21:00:00;   130
14.05.2009 06:00:00;   119
07.06.2009 10:15:00;   141
08.07.2009 03:45:00;   118
04.08.2009 03:30:00;   117
15.09.2009 04:00:00;   123
10.10.2009 23:45:00;   114
30.11.2009 23:15:00;   115
26.12.2009 02:45:00;   175
01.01.2010 01:29:55;   139
20.02.2010 08:30:00;   119
31.03.2010 20:30:00;   124
02.04.2010 03:45:00;   125
07.05.2010 00:30:00;   165
29.06.2010 09:45:00;   129
30.07.2010 08:30:00;   133
28.08.2010 12:00:00;   139
08.09.2010 15:15:00;   141
25.10.2010 17:15:00;   138
03.11.2010 01:00:00;   198
25.12.2010 08:30:00;   156
01.01.2011 00:00:00;   138
16.02.2011 23:15:00;   113
17.03.2011 07:15:00;   119
08.04.2011 04:30:00;   119
28.05.2011 07:45:00;   122
20.06.2011 03:00:00;   176
25.07.2011 18:30:00;   137
07.08.2011 08:15:00;   134
20.09.2011 04:15:00;   156
27.10.2011 10:45:00;   157
01.11.2011 00:00:00;   131
17.12.2011 05:45:00;   112
19.01.2012 11:30:00;   112
29.02.2012 17:15:00;   112
10.03.2012 16:00:00;   115
24.04.2012 13:30:00;   119
22.05.2012 16:00:00;   122
28.06.2012 14:15:00;   118
16.07.2012 22:30:00;   177
01.08.2012 00:00:00;   141
28.09.2012 01:30:00;   179
01.10.2012 22:00:00;   171
13.11.2012 11:50:00;   229
01.12.2012 00:00:00;   142
01.01.2013 00:00:00;   112
02.02.2013 12:45:00;   112
12.03.2013 03:00:00;   120
20.04.2013 04:15:00;   146
12.05.2013 19:45:00;   143
01.06.2013 12:30:00;   141
01.07.2013 00:00:00;   115
26.08.2013 07:30:00;   127
01.09.2013 08:15:00;   119
13.10.2013 00:30:00;   136
10.11.2013 22:30:00;   134
27.12.2013 12:45:00;   132
21.01.2014 01:45:00;   146
22.02.2014 13:00:00;   163
24.03.2014 18:45:00;   184
01.04.2014 00:30:00;   144
12.05.2014 08:30:00;   126
30.06.2014 19:45:00;   124
01.07.2014 00:30:00;   123
14.08.2014 12:45:00;   134
02.09.2014 23:30:00;   144
01.10.2014 18:15:00;   116
09.11.2014 04:00:00;   234
01.12.2014 20:15:00;   123
18.01.2015 00:15:00;   117
01.02.2015 05:45:00;   112
27.03.2015 08:45:00;   113
01.04.2015 00:00:00;   110
23.05.2015 15:15:00;   120
24.06.2015 01:00:00;   117
02.07.2015 23:30:00;   114
05.08.2015 06:45:00;   119
24.09.2015 06:00:00;   119
16.10.2015 16:15:00;   144
01.11.2015 00:30:00;   111
01.12.2015 00:45:00;   102
12.01.2016 04:00:00;   112
29.02.2016 21:45:00;   117
06.03.2016 01:00:00;   118
01.04.2016 01:30:00;   114
03.05.2016 15:00:00;   117
17.06.2016 21:30:00;   128
14.07.2016 23:00:00;   143
10.08.2016 18:00:00;   121
04.09.2016 22:30:00;   113
21.10.2016 02:30:00;   110
20.11.2016 09:15:00;   129
01.12.2016 04:30:00;   113
13.01.2017 12:15:00;   105
28.02.2017 22:00:00;   107
05.03.2017 07:45:00;   116
28.04.2017 21:15:00;   151
01.05.2017 00:45:00;   128
08.06.2017 04:45:00;   111
01.07.2017 04:45:00;   111
29.08.2017 18:45:00;   111
20.09.2017 09:30:00;   147
01.10.2017 00:00:00;   117
26.11.2017 06:15:00;   115
13.12.2017 04:15:00;   170
10.01.2018 11:15:00;   125
02.02.2018 06:15:00;   112
31.03.2018 21:30:00;   125
01.04.2018 01:45:00;   126
05.05.2018 17:30:00;   118
03.06.2018 02:30:00;   110
26.07.2018 21:00:00;   114
26.08.2018 05:00:00;   120
02.09.2018 09:30:00;   124
31.10.2018 00:00:00;   377
01.11.2018 00:00:00;   307
01.12.2018 00:00:00;   116
02.01.2019 12:00:00;   114
03.02.2019 02:15:00;   130
07.03.2019 21:30:00;   121
28.04.2019 17:30:00;   123
14.05.2019 09:45:00;   125
10.06.2019 14:45:00;   122
07.07.2019 14:45:00;   119
02.08.2019 19:15:00;   118
09.09.2019 02:00:00;   121
02.10.2019 16:15:00;   119
18.11.2019 14:00:00;   232
22.12.2019 08:15:00;   153
01.01.2020 00:00:00;   119
04.02.2020 09:15:00;   116
03.03.2020 13:00:00;   120
29.04.2020 19:15:00;   119
16.05.2020 02:45:00;   127
25.06.2020 19:15:00;   121
11.07.2020 18:45:00;   122
31.08.2020 08:00:00;   212
01.09.2020 00:00:00;   210
06.10.2020 02:00:00;   185
01.11.2020 00:00:00;   123
07.12.2020 09:15:00;   173
24.01.2021 11:00:00;   127
09.02.2021 01:00:00;   150
01.03.2021 00:00:00;   123
13.04.2021 01:45:00;   120
03.05.2021 06:30:00;   146
01.06.2021 00:00:00;   125
05.07.2021 01:15:00;   119
01.08.2021 14:45:00;   122
20.09.2021 02:30:00;   120
06.10.2021 23:15:00;   118
04.11.2021 22:30:00;   139
09.12.2021 01:45:00;   117
