Messstelle:                ;Arzberg (Moderbach)
HZB-Nummer:                ;210955
HD-Nummer:                 ;ow4025
DBMS-Nummer:               ;6001046
Gewässer:                  ;Moderbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;82,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00570,68
   01.01.1982              ;00574,01
   01.01.1996              ;00575,18
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1972              ;687859,40 - 234915,40
   01.01.1996              ;687863,90 - 234887,70
   01.01.2018              ;687863,20 - 234887,40
Exportzeitreihe:           ;(6001046,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:30,01.01.2022 00:00]
Werte:
28.03.1990 06:00:00;    49
23.04.1990 14:15:00;    62
25.05.1990 19:00:00;    55
10.06.1990 03:15:00;    59
10.07.1990 19:30:00;    87
21.08.1990 11:30:00;    53
24.09.1990 09:45:00;    47
29.10.1990 18:15:00;    46
27.11.1990 16:00:00;    56
10.12.1990 10:45:00;    57
26.01.1991 09:30:00;    43
24.02.1991 14:45:00;    73
26.03.1991 02:15:00;    47
05.04.1991 09:45:00;    41
11.05.1991 07:15:00;    98
10.06.1991 20:45:00;    61
31.07.1991 21:15:00;   123
01.08.1991 00:00:00;    70
15.09.1991 19:00:00;   109
08.10.1991 14:45:00;    56
16.11.1991 21:45:00;   117
01.12.1991 19:30:00;    64
01.01.1992 10:30:00;    48
19.02.1992 06:00:00;    45
25.03.1992 08:30:00;    52
07.04.1992 03:45:00;    47
10.05.1992 18:15:00;    46
06.06.1992 14:15:00;    88
12.07.1992 06:15:00;   107
02.08.1992 00:00:00;    63
01.09.1992 08:00:00;    55
05.10.1992 16:45:00;   100
03.11.1992 23:00:00;    60
05.12.1992 19:30:00;    76
01.01.1993 10:30:00;    48
01.02.1993 00:00:00;    46
05.03.1993 08:15:00;    45
11.04.1993 14:30:00;    39
08.05.1993 23:45:00;    44
24.06.1993 00:00:00;    48
20.07.1993 16:45:00;    55
09.08.1993 09:30:00;    51
29.09.1993 13:30:00;    51
03.10.1993 00:15:00;   170
06.11.1993 05:45:00;    70
22.12.1993 16:30:00;    64
12.01.1994 00:01:00;    61
09.02.1994 02:00:00;    62
02.03.1994 13:30:00;    60
17.04.1994 16:45:00;    61
24.05.1994 22:30:00;    70
20.06.1994 19:00:00;    73
20.07.1994 15:00:00;    76
02.08.1994 12:30:00;    62
03.09.1994 07:15:00;    77
24.10.1994 18:15:00;    55
11.11.1994 20:15:00;    67
11.12.1994 12:00:00;    53
28.01.1995 02:15:00;    53
07.02.1995 16:45:00;    66
20.03.1995 04:15:00;    67
25.04.1995 12:45:00;    63
17.05.1995 18:15:00;    58
21.06.1995 18:30:00;    73
05.07.1995 09:15:00;    78
08.08.1995 16:45:00;   118
14.09.1995 17:30:00;   151
05.10.1995 01:30:00;    56
17.11.1995 22:15:00;    55
01.12.1995 16:30:00;    52
14.01.1996 16:15:00;    55
01.02.1996 07:30:00;    57
25.03.1996 20:30:00;    74
07.04.1996 15:15:00;    92
13.05.1996 12:45:00;    82
22.06.1996 15:30:00;    91
08.07.1996 14:00:00;    80
30.08.1996 19:00:00;    82
23.09.1996 14:15:00;    86
17.10.1996 00:00:00;    91
18.11.1996 15:30:00;    77
20.12.1996 21:45:00;    57
29.01.1997 14:19:40;    53
13.02.1997 17:48:40;    58
17.03.1997 16:01:25;    52
21.04.1997 23:10:40;    54
24.05.1997 17:48:20;    58
16.06.1997 22:31:30;   156
10.07.1997 16:53:25;   147
08.08.1997 16:15:05;   103
07.09.1997 14:24:10;   225
01.10.1997 05:32:20;    58
08.11.1997 07:48:25;    68
20.12.1997 16:41:40;    68
10.01.1998 09:43:00;    54
05.02.1998 10:53:30;    55
17.03.1998 17:17:15;    55
29.04.1998 19:45:05;    72
29.05.1998 18:41:15;    55
30.06.1998 19:15:00;   105
27.07.1998 18:53:00;    98
01.08.1998 07:04:20;    75
05.09.1998 20:08:20;   102
07.10.1998 20:53:20;   101
05.11.1998 00:54:30;    68
16.12.1998 20:42:35;    56
10.01.1999 18:07:05;    52
12.02.1999 09:53:05;    58
05.03.1999 13:29:05;    59
23.04.1999 16:58:05;    83
21.05.1999 02:25:25;    91
