Messstelle:                ;Dellach
HZB-Nummer:                ;213660
HD-Nummer:                 ;
DBMS-Nummer:               ;2002363
Gewässer:                  ;Drau
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;2198,6
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.2005              ;00599,73
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.2005              ;430611,85 - 177185,15
Exportzeitreihe:           ;(2002363,WTemperatur,I,Mit,M,1,M,Z,0,,,)
Einheit:                   ;[°C]
Exportzeitraum:            ;[01.01.2013 00:00,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.2013 00:00:00;   3,0
01.02.2013 00:00:00;   3,0
01.03.2013 00:00:00;   5,1
01.04.2013 00:00:00;   7,9
01.05.2013 00:00:00;   8,3
01.06.2013 00:00:00;   9,9
01.07.2013 00:00:00;  12,1
01.08.2013 00:00:00;  12,6
01.09.2013 00:00:00;  10,7
01.10.2013 00:00:00;   8,3
01.11.2013 00:00:00;   5,2
01.12.2013 00:00:00;   2,7
01.01.2014 00:00:00;   3,3
01.02.2014 00:00:00;   4,0
01.03.2014 00:00:00;   5,8
01.04.2014 00:00:00;   7,6
01.05.2014 00:00:00;   8,7
01.06.2014 00:00:00;  10,4
01.07.2014 00:00:00;  11,6
01.08.2014 00:00:00;  11,4
01.09.2014 00:00:00;  10,6
01.10.2014 00:00:00;   8,9
01.11.2014 00:00:00;   6,9
01.12.2014 00:00:00;   4,2
01.01.2015 00:00:00;   3,2
01.02.2015 00:00:00;   3,6
01.03.2015 00:00:00;   5,8
01.04.2015 00:00:00;   8,3
01.05.2015 00:00:00;   9,4
01.06.2015 00:00:00;  11,0
01.07.2015 00:00:00;  13,6
01.08.2015 00:00:00;  13,0
01.09.2015 00:00:00;  10,5
01.10.2015 00:00:00;   7,8
01.11.2015 00:00:00;   4,9
01.12.2015 00:00:00;   2,4
01.01.2016 00:00:00;   2,1
01.02.2016 00:00:00;   4,2
01.03.2016 00:00:00;   6,0
01.04.2016 00:00:00;   7,9
01.05.2016 00:00:00;   9,4
01.06.2016 00:00:00;  10,5
01.07.2016 00:00:00;  12,3
01.08.2016 00:00:00;  12,3
01.09.2016 00:00:00;  11,6
01.10.2016 00:00:00;   8,0
01.11.2016 00:00:00;   5,1
01.12.2016 00:00:00;   2,0
01.01.2017 00:00:00;   0,8
01.02.2017 00:00:00;   3,9
01.03.2017 00:00:00;   7,3
01.04.2017 00:00:00;   8,9
01.05.2017 00:00:00;  10,4
01.06.2017 00:00:00;  11,8
01.07.2017 00:00:00;  12,9
01.08.2017 00:00:00;  13,3
01.09.2017 00:00:00;   9,8
01.10.2017 00:00:00;   7,8
01.11.2017 00:00:00;   4,4
01.12.2017 00:00:00;   2,2
01.01.2018 00:00:00;   3,3
01.02.2018 00:00:00;   2,8
01.03.2018 00:00:00;   5,4
01.04.2018 00:00:00;   8,0
01.05.2018 00:00:00;   9,1
01.06.2018 00:00:00;  10,8
01.07.2018 00:00:00;  12,9
01.08.2018 00:00:00;  13,6
01.09.2018 00:00:00;  11,4
01.10.2018 00:00:00;   8,8
01.11.2018 00:00:00;   6,0
01.12.2018 00:00:00;   3,4
01.01.2019 00:00:00;   2,6
01.02.2019 00:00:00;   3,8
01.03.2019 00:00:00;   6,2
01.04.2019 00:00:00;   7,8
01.05.2019 00:00:00;   8,3
01.06.2019 00:00:00;  10,2
01.07.2019 00:00:00;  12,1
01.08.2019 00:00:00;  12,9
01.09.2019 00:00:00;  11,0
01.10.2019 00:00:00;   8,5
01.11.2019 00:00:00;   5,4
01.12.2019 00:00:00;   3,5
01.01.2020 00:00:00;   2,5
01.02.2020 00:00:00;   4,1
01.03.2020 00:00:00;   5,6
01.04.2020 00:00:00;   7,6
01.05.2020 00:00:00;   8,7
01.06.2020 00:00:00;  10,0
01.07.2020 00:00:00;  11,9
01.08.2020 00:00:00;  12,7
01.09.2020 00:00:00;  10,8
01.10.2020 00:00:00;   7,4
01.11.2020 00:00:00;   5,1
01.12.2020 00:00:00;   2,9
01.01.2021 00:00:00;   2,0
01.02.2021 00:00:00;   3,7
01.03.2021 00:00:00;   5,2
01.04.2021 00:00:00;   6,8
01.05.2021 00:00:00;   7,9
01.06.2021 00:00:00;   9,8
01.07.2021 00:00:00;  11,3
01.08.2021 00:00:00;  11,5
01.09.2021 00:00:00;  11,2
01.10.2021 00:00:00;   7,5
01.11.2021 00:00:00;   5,1
01.12.2021 00:00:00;   2,1
01.01.2022 00:00:00; Lücke
