Messstelle:                ;Himmelberg
HZB-Nummer:                ;213462
HD-Nummer:                 ;00817
DBMS-Nummer:               ;2002200
Gewässer:                  ;Tiebel
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;38,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   31.12.1988              ;00651,57
   01.07.1991              ;00652,57
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.2005              ;504388,00 - 178664,00
   04.08.2015              ;504388,00 - 178664,00
Exportzeitreihe:           ;(2002200,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1989 00:01:10,01.01.2022 00:00]
Werte:
12.10.2001 00:34:10;  2,93
01.11.2001 06:31:45;  2,10
07.12.2001 14:46:30;  1,13
29.01.2002 17:08:35; 0,845
21.02.2002 22:55:20; 0,970
07.03.2002 20:18:40;  1,87
27.04.2002 09:42:50;  1,53
26.05.2002 07:21:05;  2,45
18.06.2002 23:11:00;  2,64
15.07.2002 01:10:35;  4,35
11.08.2002 13:08:15;  4,69
24.09.2002 01:09:50;  2,56
12.10.2002 13:52:45;  2,31
19.11.2002 03:34:50;  3,36
06.12.2002 01:08:40;  2,75
01.01.2003 00:10:05;  1,44
24.02.2003 17:31:45;  1,10
02.03.2003 02:57:00;  2,18
08.04.2003 23:39:55;  1,26
26.05.2003 19:00:35;  2,32
09.06.2003 18:15:25;  2,40
02.07.2003 02:57:50;  2,38
31.08.2003 16:50:40;  3,46
24.09.2003 12:27:00;  1,52
05.10.2003 13:15:15;  2,84
01.11.2003 17:21:50;  4,44
01.12.2003 00:00:00;  1,60
01.01.2004 00:00:00;  1,42
23.02.2004 16:38:00;  1,57
21.03.2004 15:32:10;  1,82
05.04.2004 18:18:15;  3,07
22.05.2004 16:13:15;  2,43
20.06.2004 16:30:20;  4,41
11.07.2004 13:03:10;  4,52
26.08.2004 12:26:15;  3,17
16.09.2004 00:08:55;  2,07
31.10.2004 12:37:15;  5,73
01.11.2004 00:00:00;  2,02
26.12.2004 17:23:15;  2,16
14.01.2005 05:07:45;  1,04
08.02.2005 17:43:50; 0,744
30.03.2005 12:50:00;  1,21
09.04.2005 19:40:35;  1,77
18.05.2005 16:08:15;  2,84
05.06.2005 08:56:35;  1,13
08.07.2005 12:22:35;  2,77
11.08.2005 19:55:05;  6,15
17.09.2005 09:08:50;  3,19
05.10.2005 06:04:25;  4,14
22.11.2005 11:06:40;  2,64
03.12.2005 18:24:20;  1,58
04.01.2006 15:05:15;  1,18
20.02.2006 08:30:10; 0,871
29.03.2006 02:38:10;  3,70
11.04.2006 07:17:25;  3,19
20.05.2006 07:09:30;  2,93
29.06.2006 18:44:15;  2,17
28.07.2006 17:13:15;  3,12
04.08.2006 08:10:10;  3,53
27.09.2006 08:49:45;  3,47
05.10.2006 00:23:05;  4,38
04.11.2006 23:55:45;  3,07
09.12.2006 16:24:05; 0,929
19.01.2007 18:28:30; 0,703
25.02.2007 12:01:55; 0,910
20.03.2007 09:12:45;  1,32
09.04.2007 09:38:55;  1,13
29.05.2007 06:17:25;  3,29
30.06.2007 04:53:05;  1,25
28.07.2007 18:06:00;  4,34
30.08.2007 13:20:15;  4,23
27.09.2007 02:24:20;  4,49
28.10.2007 12:46:05;  2,74
03.11.2007 06:47:10;  1,13
04.12.2007 12:15:00;  1,04
13.01.2008 08:52:30;  1,06
06.02.2008 07:37:30; 0,973
21.03.2008 19:54:40;  2,20
13.04.2008 11:00:10;  3,07
19.05.2008 05:10:15;  2,94
11.06.2008 11:29:25;  2,64
01.07.2008 13:09:30;  2,79
15.08.2008 18:20:10;  3,85
06.09.2008 12:00:30;  2,42
29.10.2008 23:22:10;  2,92
30.11.2008 07:45:35;  2,64
11.12.2008 23:46:10;  4,42
07.01.2009 12:10:35;  1,22
07.02.2009 16:27:50;  1,08
29.03.2009 19:25:25;  2,63
29.04.2009 12:46:05;  2,45
01.05.2009 00:00:00;  1,93
20.06.2009 12:29:55;  4,64
18.07.2009 12:32:50;  4,50
22.08.2009 19:00:00;  7,18
04.09.2009 18:30:00;  3,99
12.10.2009 08:30:00;  2,22
30.11.2009 23:59:55;  2,00
01.12.2009 01:00:00;  2,51
01.01.2010 00:00:00;  1,19
19.02.2010 16:30:00;  1,13
15.03.2010 15:30:00;  1,65
27.04.2010 02:00:00;  1,79
06.05.2010 03:00:00;  6,50
16.06.2010 07:00:00;  3,37
04.07.2010 19:00:00;  1,48
14.08.2010 23:30:00;  5,40
18.09.2010 06:30:00;  4,32
25.10.2010 15:00:00;  2,13
17.11.2010 03:00:00;  4,33
24.12.2010 04:59:50;  3,96
11.01.2011 07:00:00;  2,39
01.02.2011 14:30:00;  2,06
17.03.2011 03:00:00;  3,49
06.04.2011 08:00:00;  1,25
12.05.2011 16:00:00;  3,28
19.06.2011 07:00:00;  3,60
24.07.2011 10:00:00;  3,20
03.08.2011 21:30:00;  1,99
19.09.2011 10:30:00;  5,23
07.10.2011 10:30:00;  2,81
11.11.2011 10:30:00;  1,19
16.12.2011 23:30:00;  1,00
03.01.2012 03:00:00;  1,07
29.02.2012 17:30:00; 1,000
01.03.2012 15:30:00; 0,933
07.04.2012 19:45:00;  1,96
12.05.2012 23:15:00;  3,12
25.06.2012 16:00:00;  2,39
30.07.2012 22:15:00;  11,4
02.08.2012 22:45:00;  4,50
12.09.2012 23:30:00;  5,55
16.10.2012 02:15:00;  4,89
28.11.2012 22:45:00;  8,45
26.12.2012 16:30:00;  2,06
05.01.2013 17:30:00;  1,44
28.02.2013 16:45:00;  2,30
10.03.2013 12:15:00;  1,75
15.04.2013 14:00:00;  3,44
07.05.2013 14:00:00;  3,51
03.06.2013 13:30:00;  3,11
10.07.2013 03:45:00;  2,87
25.08.2013 08:45:00;  4,58
10.09.2013 23:30:00;  2,76
16.10.2013 13:30:00;  3,11
09.11.2013 15:40:00;  3,58
26.12.2013 20:20:00;  2,06
05.01.2014 00:20:00;  3,70
19.02.2014 22:20:00;  3,48
23.03.2014 16:00:00;  4,96
02.04.2014 06:40:00;  2,46
11.05.2014 19:20:00;  2,75
30.06.2014 06:30:00;  2,95
09.07.2014 18:30:00;  1,57
31.08.2014 23:30:00;  4,01
01.09.2014 05:10:00;  5,69
22.10.2014 04:10:00;  3,06
07.11.2014 00:20:00;  6,58
01.12.2014 10:50:00;  3,27
17.01.2015 19:50:00;  2,79
02.02.2015 14:10:00;  1,25
26.03.2015 00:10:00;  1,41
25.04.2015 15:50:00;  2,20
23.05.2015 02:10:00;  2,39
16.06.2015 10:10:00;  3,52
16.07.2015 21:50:00;  6,13
02.08.2015 06:40:00;  2,30
05.09.2015 13:20:00;  3,85
14.10.2015 16:20:00;  3,24
02.11.2015 13:30:00;  1,47
01.12.2015 04:40:00;  1,17
11.01.2016 21:10:00;  2,49
29.02.2016 09:30:00;  2,39
01.03.2016 00:00:00;  1,41
08.04.2016 16:10:00;  1,49
01.05.2016 15:40:00;  2,02
27.06.2016 05:10:00;  5,20
25.07.2016 04:00:00;  5,44
29.08.2016 19:50:00;  9,92
17.09.2016 06:10:00;  3,74
20.10.2016 01:50:00;  2,20
19.11.2016 14:10:00;  5,50
01.12.2016 17:40:00;  1,49
09.01.2017 11:30:00;  1,14
28.02.2017 23:59:55;  1,72
01.03.2017 01:00:00;  2,08
28.04.2017 02:30:00;  4,07
22.05.2017 19:00:00;  2,30
02.06.2017 18:40:00;  2,69
24.07.2017 10:30:00;  3,96
20.08.2017 02:40:00;  4,94
19.09.2017 16:10:00;  5,31
03.10.2017 14:30:00;  1,86
06.11.2017 05:40:00;  3,03
12.12.2017 07:20:00;  7,11
09.01.2018 18:20:00;  3,85
01.02.2018 12:20:00;  1,32
31.03.2018 12:20:00;  3,08
13.04.2018 01:10:00;  3,63
30.05.2018 23:00:00;  13,5
05.06.2018 19:50:00;  3,71
03.07.2018 19:50:00;  4,05
26.08.2018 01:10:00;  3,04
01.09.2018 11:10:00;  4,05
30.10.2018 15:00:00;  5,27
02.11.2018 22:50:00;  1,73
01.12.2018 14:00:00;  1,04
01.01.2019 13:30:00; 0,957
03.02.2019 03:40:00;  3,15
04.03.2019 23:30:00;  1,21
11.04.2019 11:50:00;  2,51
28.05.2019 22:10:00;  2,41
22.06.2019 15:10:00;  1,73
18.07.2019 19:50:00;  2,83
02.08.2019 18:40:00;  1,83
08.09.2019 19:40:00;  7,24
02.10.2019 14:20:00;  1,92
16.11.2019 01:00:00;  14,1
21.12.2019 14:50:00;  4,41
06.01.2020 09:40:00;  1,37
05.02.2020 19:40:00;  1,37
03.03.2020 15:00:00;  1,29
29.04.2020 18:45:00;  1,50
19.05.2020 22:30:00;  1,50
14.06.2020 13:45:00;  3,63
06.07.2020 20:45:00;  5,04
03.08.2020 21:32:45;  21,5
25.09.2020 23:15:00;  5,29
05.10.2020 06:15:00;  5,04
16.11.2020 14:30:00;  1,77
06.12.2020 13:00:00;  8,91
23.01.2021 03:00:00;  2,05
08.02.2021 00:15:00;  2,65
04.03.2021 14:30:00;  1,96
12.04.2021 17:45:00;  2,23
25.05.2021 00:30:00;  2,94
07.06.2021 05:45:00;  2,32
14.07.2021 04:45:00;  1,66
22.08.2021 18:30:00;  4,76
20.09.2021 02:30:00;  3,48
06.10.2021 19:15:00;  2,73
02.11.2021 01:45:00;  2,42
02.12.2021 12:45:00;  1,04
