Messstelle:                ;Trautenfels
HZB-Nummer:                ;210740
HD-Nummer:                 ;ow1140
DBMS-Nummer:               ;6001025
Gewässer:                  ;Enns
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;1519
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00639,62
   01.01.1995              ;00639,96
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1995              ;580863,80 - 266468,90
   10.03.2004              ;580820,40 - 266420,60
   01.01.2018              ;580847,10 - 266445,90
Exportzeitreihe:           ;(6001025,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.2002 00:00,01.01.2022 00:00]
Werte:
16.06.2015 17:16:15;   114
30.07.2015 08:16:15;   101
02.08.2015 15:01:15;   124
05.09.2015 18:31:15;   103
08.10.2015 11:01:15;  93,9
02.11.2015 22:46:15;  57,4
01.12.2015 21:31:15;  66,0
28.01.2016 22:15:00;  44,3
01.02.2016 14:30:00;   121
31.03.2016 22:21:30;  61,5
05.04.2016 22:36:30;  93,0
14.05.2016 15:21:30;   132
27.06.2016 10:06:30;   182
14.07.2016 04:21:30;   326
10.08.2016 14:06:30;   288
06.09.2016 12:06:30;   182
20.10.2016 13:19:10;  76,8
17.11.2016 22:19:10;  63,4
02.12.2016 21:56:00;  54,8
20.01.2017 21:41:00;  47,8
24.02.2017 22:11:00;  60,1
19.03.2017 12:56:00;   111
04.04.2017 22:56:00;  78,0
19.05.2017 22:56:00;   115
01.06.2017 19:11:00;  97,5
25.07.2017 00:11:00;   176
06.08.2017 22:41:00;   271
03.09.2017 12:56:00;   129
29.10.2017 19:11:00;   144
06.11.2017 12:11:00;  79,3
12.12.2017 15:26:00;  72,3
09.01.2018 23:56:00;  93,9
01.02.2018 21:15:00;  59,8
12.03.2018 22:30:00;  66,2
24.04.2018 07:45:00;   177
01.05.2018 00:00:00;   129
28.06.2018 20:00:00;   108
07.07.2018 10:30:00;  97,1
30.08.2018 22:45:00;  88,1
01.09.2018 19:15:00;   110
30.10.2018 03:45:00;   213
01.11.2018 00:00:00;  78,6
24.12.2018 13:30:00;   123
01.01.2019 00:00:00;  54,9
28.02.2019 22:15:00;  74,1
18.03.2019 00:30:00;   107
26.04.2019 23:00:00;   190
30.05.2019 00:00:00;   205
06.06.2019 20:56:00;   221
29.07.2019 11:41:00;   126
