Messstelle:                ;Münster, Bl  5
HZB-Nummer:                ;334896
HD-Nummer:                 ;
DBMS-Nummer:               ;7002165
Fremdnummer:               ;GW70517017
PorenGW-Gebiet:            ;020 Unterinntal
Grundwasserkörper:         ;Inntal [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;05.12.2017
 Geländehöhe:              ;521,66
 Messpunkthöhe:            ;522,71
 Sohllage:                 ;512,31
 T-Messtiefe u.GOK:        ;8,95
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.09.1990               ;11 49 39                 ;47 24 22
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.09.1990 00:00:00   ;   518,49 ;     
01.10.1990 00:00:00   ;   518,38 ;     
01.11.1990 00:00:00   ;   518,25 ;     
01.12.1990 00:00:00   ;   518,17 ;     
01.01.1991 00:00:00   ;   518,13 ;     
01.02.1991 00:00:00   ;   518,06 ;     
01.03.1991 00:00:00   ;   518,09 ;     
01.04.1991 00:00:00   ;   518,11 ;     
01.05.1991 00:00:00   ;   518,34 ;     
01.06.1991 00:00:00   ;   519,60 ;     
01.07.1991 00:00:00   ;   519,82 ;     
01.08.1991 00:00:00   ;   519,30 ;     
01.09.1991 00:00:00   ;   518,66 ;     
01.10.1991 00:00:00   ;   518,40 ;     
01.11.1991 00:00:00   ;   518,10 ;     
01.12.1991 00:00:00   ;   518,18 ;     
01.01.1992 00:00:00   ;   518,12 ;     
01.02.1992 00:00:00   ;   518,13 ;     
01.03.1992 00:00:00   ;   518,38 ;     
01.04.1992 00:00:00   ;   518,48 ;     
01.05.1992 00:00:00   ;   519,58 ;     
01.06.1992 00:00:00   ;   519,54 ;     
01.07.1992 00:00:00   ;   519,51 ;     
01.08.1992 00:00:00   ;   519,12 ;     
01.09.1992 00:00:00   ;   518,74 ;     
01.10.1992 00:00:00   ;   518,32 ;     
01.11.1992 00:00:00   ;   518,46 ;     
01.12.1992 00:00:00   ;   518,48 ;     
01.01.1993 00:00:00   ;   518,22 ;     
01.02.1993 00:00:00   ;   518,20 ;     
01.03.1993 00:00:00   ;   518,25 ;     
01.04.1993 00:00:00   ;   518,42 ;     
01.05.1993 00:00:00   ;   519,11 ;     
01.06.1993 00:00:00   ;   519,43 ;     
01.07.1993 00:00:00   ;   519,53 ;     
01.08.1993 00:00:00   ;   519,27 ;     
01.09.1993 00:00:00   ;   518,98 ;     
01.10.1993 00:00:00   ;   519,08 ;     
01.11.1993 00:00:00   ;   518,54 ;     
01.12.1993 00:00:00   ;   518,26 ;     
01.01.1994 00:00:00   ;   518,24 ;     
01.02.1994 00:00:00   ;   518,23 ;     
01.03.1994 00:00:00   ;   518,35 ;     
01.04.1994 00:00:00   ;   518,51 ;     
01.05.1994 00:00:00   ;   519,13 ;     
01.06.1994 00:00:00   ;   519,63 ;     
01.07.1994 00:00:00   ;   519,51 ;     
01.08.1994 00:00:00   ;   519,09 ;     
01.09.1994 00:00:00   ;   519,07 ;     
01.10.1994 00:00:00   ;   518,46 ;     
01.11.1994 00:00:00   ;   518,24 ;     
01.12.1994 00:00:00   ;   518,17 ;     
01.01.1995 00:00:00   ;   518,10 ;     
01.02.1995 00:00:00   ;   518,25 ;     
01.03.1995 00:00:00   ;   518,25 ;     
01.04.1995 00:00:00   ;   518,59 ;     
01.05.1995 00:00:00   ;   519,13 ;     
01.06.1995 00:00:00   ;   519,67 ;     
01.07.1995 00:00:00   ;   520,05 ;     
01.08.1995 00:00:00   ;   519,20 ;     
01.09.1995 00:00:00   ;   519,06 ;     
01.10.1995 00:00:00   ;   518,49 ;     
01.11.1995 00:00:00   ;   518,22 ;     
01.12.1995 00:00:00   ;   518,15 ;     
01.01.1996 00:00:00   ;   518,05 ;     
01.02.1996 00:00:00   ;   518,03 ;     
01.03.1996 00:00:00   ;   517,96 ;     
01.04.1996 00:00:00   ;   518,08 ;     
01.05.1996 00:00:00   ;   518,74 ;     
01.06.1996 00:00:00   ;   519,25 ;     
01.07.1996 00:00:00   ;   519,19 ;     
01.08.1996 00:00:00   ;   519,13 ;     
01.09.1996 00:00:00   ;   518,84 ;     
01.10.1996 00:00:00   ;   518,69 ;     
01.11.1996 00:00:00   ;   518,66 ;     
01.12.1996 00:00:00   ;   518,42 ;     
01.01.1997 00:00:00   ;   518,23 ;     
01.02.1997 00:00:00   ;   518,11 ;     
01.03.1997 00:00:00   ;   518,26 ;     
01.04.1997 00:00:00   ;   518,41 ;     
01.05.1997 00:00:00   ;   519,05 ;     
01.06.1997 00:00:00   ;   519,93 ;     
01.07.1997 00:00:00   ;   519,81 ;     
01.08.1997 00:00:00   ;   519,36 ;     
01.09.1997 00:00:00   ;   518,80 ;     
01.10.1997 00:00:00   ;   518,40 ;     
01.11.1997 00:00:00   ;   518,27 ;     
01.12.1997 00:00:00   ;   518,23 ;     
01.01.1998 00:00:00   ;   518,12 ;     
01.02.1998 00:00:00   ;   518,11 ;     
01.03.1998 00:00:00   ;   518,13 ;     
01.04.1998 00:00:00   ;   518,32 ;     
01.05.1998 00:00:00   ;   518,79 ;     
01.06.1998 00:00:00   ;   519,45 ;     
01.07.1998 00:00:00   ;   519,36 ;     
01.08.1998 00:00:00   ;   519,17 ;     
01.09.1998 00:00:00   ;   518,95 ;     
01.10.1998 00:00:00   ;   518,77 ;     
01.11.1998 00:00:00   ;   518,60 ;     
01.12.1998 00:00:00   ;   518,35 ;     
01.01.1999 00:00:00   ;   518,20 ;     
01.02.1999 00:00:00   ;   518,30 ;     
01.03.1999 00:00:00   ;   518,62 ;     
01.04.1999 00:00:00   ;   518,67 ;     
01.05.1999 00:00:00   ;   520,02 ;     
01.06.1999 00:00:00   ;   520,22 ;     
01.07.1999 00:00:00   ;   519,79 ;     
01.08.1999 00:00:00   ;   519,43 ;     
01.09.1999 00:00:00   ;   519,08 ;     
01.10.1999 00:00:00   ;   518,90 ;     
01.11.1999 00:00:00   ;   518,47 ;     
01.12.1999 00:00:00   ;   518,32 ;     
01.01.2000 00:00:00   ;   518,22 ;     
01.02.2000 00:00:00   ;   518,35 ;     
01.03.2000 00:00:00   ;   518,62 ;     
01.04.2000 00:00:00   ;   518,80 ;     
01.05.2000 00:00:00   ;   519,82 ;     
01.06.2000 00:00:00   ;   519,84 ;     
01.07.2000 00:00:00   ;   519,30 ;     
01.08.2000 00:00:00   ;   519,50 ;     
01.09.2000 00:00:00   ;   518,86 ;     
01.10.2000 00:00:00   ;   519,18 ;     
01.11.2000 00:00:00   ;   518,69 ;     
01.12.2000 00:00:00   ;   518,43 ;     
01.01.2001 00:00:00   ;   518,26 ;     
01.02.2001 00:00:00   ;   518,23 ;     
01.03.2001 00:00:00   ;   518,42 ;     
01.04.2001 00:00:00   ;   518,58 ;     
01.05.2001 00:00:00   ;   519,60 ;     
01.06.2001 00:00:00   ;   520,32 ;     
01.07.2001 00:00:00   ;   520,07 ;     
01.08.2001 00:00:00   ;   519,65 ;     
01.09.2001 00:00:00   ;   519,11 ;     
01.10.2001 00:00:00   ;   518,72 ;     
01.11.2001 00:00:00   ;   518,37 ;     
01.12.2001 00:00:00   ;   518,35 ;     
01.01.2002 00:00:00   ;   518,13 ;     
01.02.2002 00:00:00   ;   518,16 ;     
01.03.2002 00:00:00   ;   518,37 ;     
01.04.2002 00:00:00   ;   518,52 ;     
01.05.2002 00:00:00   ;   519,20 ;     
01.06.2002 00:00:00   ;   519,74 ;     
01.07.2002 00:00:00   ;   519,27 ;     
01.08.2002 00:00:00   ;   519,31 ;     
01.09.2002 00:00:00   ;   518,78 ;     
01.10.2002 00:00:00   ;   518,56 ;     
01.11.2002 00:00:00   ;   518,87 ;     
01.12.2002 00:00:00   ;   518,51 ;     
01.01.2003 00:00:00   ;   518,33 ;     
01.02.2003 00:00:00   ;   518,25 ;     
01.03.2003 00:00:00   ;   518,20 ;     
01.04.2003 00:00:00   ;   518,28 ;     
01.05.2003 00:00:00   ;   519,13 ;     
01.06.2003 00:00:00   ;   519,70 ;     
01.07.2003 00:00:00   ;   519,13 ;     
01.08.2003 00:00:00   ;   518,95 ;     
01.09.2003 00:00:00   ;   518,46 ;     
01.10.2003 00:00:00   ;   518,50 ;     
01.11.2003 00:00:00   ;   518,26 ;     
01.12.2003 00:00:00   ;   518,14 ;     
01.01.2004 00:00:00   ;   518,09 ;     
01.02.2004 00:00:00   ;   518,14 ;     
01.03.2004 00:00:00   ;   518,22 ;     
01.04.2004 00:00:00   ;   518,34 ;     
01.05.2004 00:00:00   ;   518,81 ;     
01.06.2004 00:00:00   ;   519,61 ;     
01.07.2004 00:00:00   ;   519,67 ;     
01.08.2004 00:00:00   ;   519,20 ;     
01.09.2004 00:00:00   ;   518,75 ;     
01.10.2004 00:00:00   ;   518,50 ;     
01.11.2004 00:00:00   ;   518,39 ;     
01.12.2004 00:00:00   ;   518,21 ;     
01.01.2005 00:00:00   ;   518,07 ;     
01.02.2005 00:00:00   ;   518,10 ;     
01.03.2005 00:00:00   ;   518,19 ;     
01.04.2005 00:00:00   ;   518,38 ;     
01.05.2005 00:00:00   ;   518,92 ;     
01.06.2005 00:00:00   ;   519,26 ;     
01.07.2005 00:00:00   ;   519,26 ;     
01.08.2005 00:00:00   ;   519,23 ;     
01.09.2005 00:00:00   ;   518,92 ;     
01.10.2005 00:00:00   ;   518,52 ;     
01.11.2005 00:00:00   ;   518,34 ;     
01.12.2005 00:00:00   ;   518,24 ;     
01.01.2006 00:00:00   ;   518,08 ;     
01.02.2006 00:00:00   ;   518,08 ;     
01.03.2006 00:00:00   ;   518,13 ;     
01.04.2006 00:00:00   ;   518,46 ;     
01.05.2006 00:00:00   ;   519,17 ;     
01.06.2006 00:00:00   ;   519,55 ;     
01.07.2006 00:00:00   ;   519,36 ;     
01.08.2006 00:00:00   ;   519,08 ;     
01.09.2006 00:00:00   ;   518,74 ;     
01.10.2006 00:00:00   ;   518,42 ;     
01.11.2006 00:00:00   ;   518,31 ;     
01.12.2006 00:00:00   ;   518,17 ;     
01.01.2007 00:00:00   ;   518,20 ;     
01.02.2007 00:00:00   ;   518,19 ;     
01.03.2007 00:00:00   ;   518,25 ;     
01.04.2007 00:00:00   ;   518,33 ;     
01.05.2007 00:00:00   ;   518,73 ;     
01.06.2007 00:00:00   ;   519,25 ;     
01.07.2007 00:00:00   ;   519,36 ;     
01.08.2007 00:00:00   ;   518,97 ;     
01.09.2007 00:00:00   ;   519,14 ;     
01.10.2007 00:00:00   ;   518,64 ;     
01.11.2007 00:00:00   ;   518,40 ;     
01.12.2007 00:00:00   ;   518,25 ;     
01.01.2008 00:00:00   ;   518,19 ;     
01.02.2008 00:00:00   ;   518,22 ;     
01.03.2008 00:00:00   ;   518,22 ;     
01.04.2008 00:00:00   ;   518,37 ;     
01.05.2008 00:00:00   ;   519,28 ;     
01.06.2008 00:00:00   ;   520,26 ;     
01.07.2008 00:00:00   ;   520,29 ;     
01.08.2008 00:00:00   ;   519,40 ;     
01.09.2008 00:00:00   ;   518,88 ;     
01.10.2008 00:00:00   ;   518,37 ;     
01.11.2008 00:00:00   ;   518,32 ;     
01.12.2008 00:00:00   ;   518,29 ;     
01.01.2009 00:00:00   ;   518,28 ;     
01.02.2009 00:00:00   ;   518,20 ;     
01.03.2009 00:00:00   ;   518,33 ;     
01.04.2009 00:00:00   ;   518,78 ;     
01.05.2009 00:00:00   ;   519,62 ;     
01.06.2009 00:00:00   ;   519,60 ;     
01.07.2009 00:00:00   ;   519,55 ;     
01.08.2009 00:00:00   ;   519,33 ;     
01.09.2009 00:00:00   ;   518,83 ;     
01.10.2009 00:00:00   ;   518,64 ;     
01.11.2009 00:00:00   ;   518,38 ;     
