Messstelle:                ;Hall, Bl 5
HZB-Nummer:                ;346429
HD-Nummer:                 ;
DBMS-Nummer:               ;7004044
Fremdnummer:               ;GW70354041
PorenGW-Gebiet:            ;020 Unterinntal
Grundwasserkörper:         ;Inntal [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Stadtwerke Hall
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.05.2018
 Geländehöhe:              ;560,13
 Messpunkthöhe:            ;561,13
 Sohllage:                 ;553,27
 T-Messtiefe u.GOK:        ;5,00
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.03.1998               ;11 30 08                 ;47 16 44
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
01.08.2006 00:00:00   ;   557,23 ;     
01.09.2006 00:00:00   ;   556,80 ;     
01.10.2006 00:00:00   ;   556,42 ;     
01.11.2006 00:00:00   ;   556,18 ;     
01.12.2006 00:00:00   ;   556,02 ;     
01.01.2007 00:00:00   ;   555,93 ;     
01.02.2007 00:00:00   ;   555,96 ;     
01.03.2007 00:00:00   ;   556,00 ;     
01.04.2007 00:00:00   ;   556,20 ;     
01.05.2007 00:00:00   ;   556,48 ;     
01.06.2007 00:00:00   ;   557,03 ;     
01.07.2007 00:00:00   ;   557,25 ;     
01.08.2007 00:00:00   ;   556,98 ;     
01.09.2007 00:00:00   ;   556,93 ;     
01.10.2007 00:00:00   ;   556,54 ;     
01.11.2007 00:00:00   ;   556,24 ;     
01.12.2007 00:00:00   ;   556,07 ;     
01.01.2008 00:00:00   ;   556,00 ;     
01.02.2008 00:00:00   ;   555,98 ;     
01.03.2008 00:00:00   ;   556,09 ;     
01.04.2008 00:00:00   ;   556,21 ;     
01.05.2008 00:00:00   ;   556,95 ;     
01.06.2008 00:00:00   ;   557,85 ;     
01.07.2008 00:00:00   ;   557,95 ;     
01.08.2008 00:00:00   ;   557,54 ;     
01.09.2008 00:00:00   ;   557,10 ;     
01.10.2008 00:00:00   ;   556,54 ;     
01.11.2008 00:00:00   ;   556,33 ;     
01.12.2008 00:00:00   ;   556,21 ;     
01.01.2009 00:00:00   ;   556,15 ;     
01.02.2009 00:00:00   ;   556,14 ;     
01.03.2009 00:00:00   ;   556,16 ;     
01.04.2009 00:00:00   ;   556,61 ;     
01.05.2009 00:00:00   ;   557,18 ;     
01.06.2009 00:00:00   ;   557,57 ;     
01.07.2009 00:00:00   ;   557,58 ;     
01.08.2009 00:00:00   ;   557,31 ;     
01.09.2009 00:00:00   ;   556,89 ;     
01.10.2009 00:00:00   ;   556,49 ;     
01.11.2009 00:00:00   ;   556,27 ;     
01.12.2009 00:00:00   ;   556,18 ;     
01.01.2010 00:00:00   ;   556,06 ;     
01.02.2010 00:00:00   ;   555,95 ;     
01.03.2010 00:00:00   ;   555,93 ;     
01.04.2010 00:00:00   ;   556,03 ;     
01.05.2010 00:00:00   ;   556,57 ;     
01.06.2010 00:00:00   ;   557,43 ;     
01.07.2010 00:00:00   ;   557,44 ;     
01.08.2010 00:00:00   ;   557,33 ;     
01.09.2010 00:00:00   ;   557,11 ;     
01.10.2010 00:00:00   ;   556,72 ;     
01.11.2010 00:00:00   ;   556,50 ;     
01.12.2010 00:00:00   ;   556,44 ;     
01.01.2011 00:00:00   ;   556,27 ;     
01.02.2011 00:00:00   ;   556,12 ;     
01.03.2011 00:00:00   ;   556,10 ;     
01.04.2011 00:00:00   ;   556,24 ;     
01.05.2011 00:00:00   ;   556,66 ;     
01.06.2011 00:00:00   ;   557,23 ;     
01.07.2011 00:00:00   ;   557,11 ;     
01.08.2011 00:00:00   ;   557,10 ;     
01.09.2011 00:00:00   ;   556,89 ;     
01.10.2011 00:00:00   ;   556,78 ;     
01.11.2011 00:00:00   ;   556,44 ;     
01.12.2011 00:00:00   ;   556,20 ;     
01.01.2012 00:00:00   ;   556,17 ;     
01.02.2012 00:00:00   ;   556,23 ;     
01.03.2012 00:00:00   ;   556,33 ;     
01.04.2012 00:00:00   ;   556,57 ;     
01.05.2012 00:00:00   ;   557,20 ;     
01.06.2012 00:00:00   ;   557,96 ;     
01.07.2012 00:00:00   ;   557,63 ;     
01.08.2012 00:00:00   ;   557,31 ;     
01.09.2012 00:00:00   ;   557,18 ;     
01.10.2012 00:00:00   ;   556,92 ;     
01.11.2012 00:00:00   ;   556,67 ;     
01.12.2012 00:00:00   ;   556,40 ;     
01.01.2013 00:00:00   ;   556,31 ;     
01.02.2013 00:00:00   ;   556,25 ;     
01.03.2013 00:00:00   ;   556,12 ;     
01.04.2013 00:00:00   ;   556,14 ;     
01.05.2013 00:00:00   ;   556,92 ;     
01.06.2013 00:00:00   ;   557,42 ;     
01.07.2013 00:00:00   ;   557,47 ;     
01.08.2013 00:00:00   ;   557,10 ;     
01.09.2013 00:00:00   ;   556,83 ;     
01.10.2013 00:00:00   ;   556,81 ;     
01.11.2013 00:00:00   ;   556,81 ;     
01.12.2013 00:00:00   ;   556,48 ;     
01.01.2014 00:00:00   ;   556,13 ;     
01.02.2014 00:00:00   ;   556,06 ;     
01.03.2014 00:00:00   ;   556,08 ;     
01.04.2014 00:00:00   ;   556,28 ;     
01.05.2014 00:00:00   ;   556,73 ;     
01.06.2014 00:00:00   ;   557,28 ;     
01.07.2014 00:00:00   ;   557,38 ;     
01.08.2014 00:00:00   ;   557,48 ;     
01.09.2014 00:00:00   ;   556,93 ;     
01.10.2014 00:00:00   ;   556,52 ;     
01.11.2014 00:00:00   ;   556,64 ;     
01.12.2014 00:00:00   ;   556,43 ;     
01.01.2015 00:00:00   ;   556,23 ;     
01.02.2015 00:00:00   ;   556,19 ;     
01.03.2015 00:00:00   ;   556,02 ;     
01.04.2015 00:00:00   ;   556,19 ;     
01.05.2015 00:00:00   ;   557,14 ;     
01.06.2015 00:00:00   ;   557,75 ;     
01.07.2015 00:00:00   ;   557,44 ;     
01.08.2015 00:00:00   ;   557,06 ;     
01.09.2015 00:00:00   ;   556,82 ;     
01.10.2015 00:00:00   ;   556,65 ;     
01.11.2015 00:00:00   ;   556,37 ;     
01.12.2015 00:00:00   ;   556,08 ;     
01.01.2016 00:00:00   ;   555,88 ;     
01.02.2016 00:00:00   ;   556,01 ;     
01.03.2016 00:00:00   ;   555,92 ;     
01.04.2016 00:00:00   ;   556,27 ;     
01.05.2016 00:00:00   ;   556,57 ;     
01.06.2016 00:00:00   ;   557,71 ;     
01.07.2016 00:00:00   ;   557,75 ;     
01.08.2016 00:00:00   ;   557,48 ;     
01.09.2016 00:00:00   ;   556,85 ;     
01.10.2016 00:00:00   ;   556,37 ;     
01.11.2016 00:00:00   ;   556,20 ;     
01.12.2016 00:00:00   ;   556,16 ;     
01.01.2017 00:00:00   ;   556,06 ;     
01.02.2017 00:00:00   ;   555,86 ;     
01.03.2017 00:00:00   ;   555,95 ;     
01.04.2017 00:00:00   ;   556,10 ;     
01.05.2017 00:00:00   ;   556,49 ;     
01.06.2017 00:00:00   ;   557,26 ;     
01.07.2017 00:00:00   ;   557,13 ;     
01.08.2017 00:00:00   ;   557,33 ;     
01.09.2017 00:00:00   ;   557,25 ;     
01.10.2017 00:00:00   ;   556,68 ;     
01.11.2017 00:00:00   ;   556,42 ;     
01.12.2017 00:00:00   ;   556,31 ;     
01.01.2018 00:00:00   ;   556,29 ;     
01.02.2018 00:00:00   ;   556,29 ;     
01.03.2018 00:00:00   ;   556,15 ;     
01.04.2018 00:00:00   ;   556,46 ;     
01.05.2018 00:00:00   ;   557,40 ;     
01.06.2018 00:00:00   ;   557,62 ;     
01.07.2018 00:00:00   ;   557,01 ;     
01.08.2018 00:00:00   ;   556,80 ;     
01.09.2018 00:00:00   ;   556,59 ;     
01.10.2018 00:00:00   ;   556,18 ;     
01.11.2018 00:00:00   ;   556,20 ;     
01.12.2018 00:00:00   ;   556,01 ;     
01.01.2019 00:00:00   ;   556,05 ;     
01.02.2019 00:00:00   ;   556,07 ;     
01.03.2019 00:00:00   ;   556,05 ;     
01.04.2019 00:00:00   ;   556,20 ;     
01.05.2019 00:00:00   ;   556,69 ;     
01.06.2019 00:00:00   ;   558,30 ;     
01.07.2019 00:00:00   ;   557,71 ;     
01.08.2019 00:00:00   ;   557,34 ;     
01.09.2019 00:00:00   ;   557,00 ;     
01.10.2019 00:00:00   ;   556,54 ;     
01.11.2019 00:00:00   ;   556,48 ;     
01.12.2019 00:00:00   ;   556,26 ;     
01.01.2020 00:00:00   ;   556,16 ;     
01.02.2020 00:00:00   ;   556,11 ;     
01.03.2020 00:00:00   ;   556,13 ;     
01.04.2020 00:00:00   ;   556,34 ;     
01.05.2020 00:00:00   ;   556,88 ;     
01.06.2020 00:00:00   ;   557,22 ;     
01.07.2020 00:00:00   ;   557,26 ;     
01.08.2020 00:00:00   ;   557,10 ;     
01.09.2020 00:00:00   ;   556,99 ;     
01.10.2020 00:00:00   ;   556,76 ;     
01.11.2020 00:00:00   ;   556,54 ;     
01.12.2020 00:00:00   ;   556,33 ;     
01.01.2021 00:00:00   ;   556,15 ;     
01.02.2021 00:00:00   ;   556,16 ;     
01.03.2021 00:00:00   ;   556,14 ;     
01.04.2021 00:00:00   ;   556,14 ;     
01.05.2021 00:00:00   ;   556,60 ;     
01.06.2021 00:00:00   ;   557,55 ;     
01.07.2021 00:00:00   ;   557,50 ;     
01.08.2021 00:00:00   ;   557,50 ;     
01.09.2021 00:00:00   ;   556,75 ;     
01.10.2021 00:00:00   ;   556,39 ;     
01.11.2021 00:00:00   ;   556,20 ;     
01.12.2021 00:00:00   ;   556,03 ;     
01.01.2022 00:00:00   ;Lücke         ; 
