Messstelle:                ;Bernhardsthal, Bl 266
HZB-Nummer:                ;326637
HD-Nummer:                 ;
DBMS-Nummer:               ;3002704
PorenGW-Gebiet:            ;276 Marchtal
Grundwasserkörper:         ;Gruppe Weinviertel [MAR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;12.12.2018
 Geländehöhe:              ;155,56
 Messpunkthöhe:            ;156,36
 Sohllage:                 ;152,33
 T-Messtiefe u.GOK:        ;2,20
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2019               ;16 53 59                 ;48 41 40
  01.01.1979               ;16 53 51                 ;48 41 42
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.1979 00:00:00   ;   153,89 ;     
01.02.1979 00:00:00   ;   153,99 ;     
01.03.1979 00:00:00   ;   154,33 ;     
01.04.1979 00:00:00   ;   154,71 ;     
01.05.1979 00:00:00   ;   154,34 ;     
01.06.1979 00:00:00   ;   154,02 ;     
01.07.1979 00:00:00   ;   154,02 ;     
01.08.1979 00:00:00   ;   153,97 ;     
01.09.1979 00:00:00   ;   153,91 ;     
01.10.1979 00:00:00   ;   153,81 ;     
01.11.1979 00:00:00   ;   153,83 ;     
01.12.1979 00:00:00   ;   154,02 ;     
01.01.1980 00:00:00   ;   154,24 ;     
01.02.1980 00:00:00   ;   154,45 ;     
01.03.1980 00:00:00   ;   154,25 ;     
01.04.1980 00:00:00   ;   154,45 ;     
01.05.1980 00:00:00   ;   154,49 ;     
01.06.1980 00:00:00   ;   154,11 ;     
01.07.1980 00:00:00   ;   154,01 ;     
01.08.1980 00:00:00   ;   153,93 ;     
01.09.1980 00:00:00   ;   153,89 ;     
01.10.1980 00:00:00   ;   153,88 ;     
01.11.1980 00:00:00   ;   153,95 ;     
01.12.1980 00:00:00   ;   154,07 ;     
01.01.1981 00:00:00   ;   154,07 ;     
01.02.1981 00:00:00   ;   154,08 ;     
01.03.1981 00:00:00   ;   154,32 ;     
01.04.1981 00:00:00   ;   154,22 ;     
01.05.1981 00:00:00   ;   154,08 ;     
01.06.1981 00:00:00   ;   153,85 ;     
01.07.1981 00:00:00   ;   153,77 ;     
01.08.1981 00:00:00   ;   153,73 ;     
01.09.1981 00:00:00   ;   153,71 ;     
01.10.1981 00:00:00   ;   153,83 ;     
01.11.1981 00:00:00   ;   153,85 ;     
01.12.1981 00:00:00   ;   153,95 ;     
01.01.1982 00:00:00   ;   154,56 ;     
01.02.1982 00:00:00   ;   154,57 ;     
01.03.1982 00:00:00   ;   154,42 ;     
01.04.1982 00:00:00   ;   154,36 ;     
01.05.1982 00:00:00   ;   154,17 ;     
01.06.1982 00:00:00   ;   153,97 ;     
01.07.1982 00:00:00   ;   153,92 ;     
01.08.1982 00:00:00   ;   154,06 ;     
01.09.1982 00:00:00   ;   153,98 ;     
01.10.1982 00:00:00   ;   153,97 ;     
01.11.1982 00:00:00   ;   153,96 ;     
01.12.1982 00:00:00   ;   153,98 ;     
01.01.1983 00:00:00   ;   154,10 ;     
01.02.1983 00:00:00   ;   154,10 ;     
01.03.1983 00:00:00   ;   154,23 ;     
01.04.1983 00:00:00   ;   154,18 ;     
01.05.1983 00:00:00   ;   154,05 ;     
01.06.1983 00:00:00   ;   153,91 ;     
01.07.1983 00:00:00   ;   153,80 ;     
01.08.1983 00:00:00   ;   153,65 ;     
01.09.1983 00:00:00   ;   153,63 ;     
01.10.1983 00:00:00   ;   153,65 ;     
01.11.1983 00:00:00   ;   153,66 ;     
01.12.1983 00:00:00   ;   153,66 ;     
01.01.1984 00:00:00   ;   153,65 ;     
01.02.1984 00:00:00   ;   153,67 ;     
01.03.1984 00:00:00   ;   153,68 ;     
01.04.1984 00:00:00   ;   153,68 ;     
01.05.1984 00:00:00   ;   153,66 ;     
01.06.1984 00:00:00   ;   153,56 ;     
01.07.1984 00:00:00   ;   153,51 ;     
01.08.1984 00:00:00   ;   153,51 ;     
01.09.1984 00:00:00   ;   153,52 ;     
01.10.1984 00:00:00   ;   153,58 ;     
01.11.1984 00:00:00   ;   153,62 ;     
01.12.1984 00:00:00   ;   153,67 ;     
01.01.1985 00:00:00   ;   153,72 ;     
01.02.1985 00:00:00   ;   154,15 ;     
01.03.1985 00:00:00   ;   154,23 ;     
01.04.1985 00:00:00   ;   154,24 ;     
01.05.1985 00:00:00   ;   154,15 ;     
01.06.1985 00:00:00   ;   154,13 ;     
01.07.1985 00:00:00   ;   153,86 ;     
01.08.1985 00:00:00   ;   154,13 ;     
01.09.1985 00:00:00   ;   154,06 ;     
01.10.1985 00:00:00   ;   153,99 ;     
01.11.1985 00:00:00   ;   154,09 ;     
01.12.1985 00:00:00   ;   154,46 ;     
01.01.1986 00:00:00   ;   154,50 ;     
01.02.1986 00:00:00   ;   154,47 ;     
01.03.1986 00:00:00   ;   154,52 ;     
01.04.1986 00:00:00   ;   154,44 ;     
01.05.1986 00:00:00   ;   154,27 ;     
01.06.1986 00:00:00   ;   154,17 ;     
01.07.1986 00:00:00   ;   154,04 ;     
01.08.1986 00:00:00   ;   154,03 ;     
01.09.1986 00:00:00   ;   154,03 ;     
01.10.1986 00:00:00   ;   154,01 ;     
01.11.1986 00:00:00   ;   154,00 ;     
01.12.1986 00:00:00   ;   153,98 ;     
01.01.1987 00:00:00   ;   154,13 ;     
01.02.1987 00:00:00   ;   154,44 ;     
01.03.1987 00:00:00   ;   154,55 ;     
01.04.1987 00:00:00   ;   154,67 ;     
01.05.1987 00:00:00   ;   154,39 ;     
01.06.1987 00:00:00   ;   154,56 ;     
01.07.1987 00:00:00   ;   154,27 ;     
01.08.1987 00:00:00   ;   154,21 ;     
01.09.1987 00:00:00   ;   154,15 ;     
01.10.1987 00:00:00   ;   154,12 ;     
01.11.1987 00:00:00   ;   154,11 ;     
01.12.1987 00:00:00   ;   154,26 ;     
01.01.1988 00:00:00   ;   154,26 ;     
01.02.1988 00:00:00   ;   154,26 ;     
01.03.1988 00:00:00   ;   154,59 ;     
01.04.1988 00:00:00   ;   154,63 ;     
01.05.1988 00:00:00   ;   154,29 ;     
01.06.1988 00:00:00   ;   154,16 ;     
01.07.1988 00:00:00   ;   154,05 ;     
01.08.1988 00:00:00   ;   153,98 ;     
01.09.1988 00:00:00   ;   153,99 ;     
01.10.1988 00:00:00   ;   153,98 ;     
01.11.1988 00:00:00   ;   153,97 ;     
01.12.1988 00:00:00   ;   154,01 ;     
01.01.1989 00:00:00   ;   154,02 ;     
01.02.1989 00:00:00   ;   154,00 ;     
01.03.1989 00:00:00   ;   153,98 ;     
01.04.1989 00:00:00   ;   153,95 ;     
01.05.1989 00:00:00   ;   153,91 ;     
01.06.1989 00:00:00   ;   153,78 ;     
01.07.1989 00:00:00   ;   153,67 ;     
01.08.1989 00:00:00   ;   153,71 ;     
01.09.1989 00:00:00   ;   153,70 ;     
01.10.1989 00:00:00   ;   153,70 ;     
01.11.1989 00:00:00   ;   153,72 ;     
01.12.1989 00:00:00   ;   153,68 ;     
01.01.1990 00:00:00   ;   153,66 ;     
01.02.1990 00:00:00   ;   153,65 ;     
01.03.1990 00:00:00   ;   153,66 ;     
01.04.1990 00:00:00   ;   153,67 ;     
01.05.1990 00:00:00   ;   153,66 ;     
01.06.1990 00:00:00   ;   153,54 ;     
01.07.1990 00:00:00   ;   153,46 ;     
01.08.1990 00:00:00   ;   153,43 ;     
01.09.1990 00:00:00   ;   153,41 ;     
01.10.1990 00:00:00   ;   153,44 ;     
01.11.1990 00:00:00   ;   153,50 ;     
01.12.1990 00:00:00   ;   153,51 ;     
01.01.1991 00:00:00   ;   153,53 ;     
01.02.1991 00:00:00   ;   153,55 ;     
01.03.1991 00:00:00   ;   153,54 ;     
01.04.1991 00:00:00   ;   153,54 ;     
01.05.1991 00:00:00   ;   153,62 ;     
01.06.1991 00:00:00   ;   153,68 ;     
01.07.1991 00:00:00   ;   153,54 ;     
01.08.1991 00:00:00   ;   153,53 ;     
01.09.1991 00:00:00   ;   153,48 ;     
01.10.1991 00:00:00   ;   153,49 ;     
01.11.1991 00:00:00   ;   153,50 ;     
01.12.1991 00:00:00   ;   153,55 ;     
01.01.1992 00:00:00   ;   153,73 ;     
01.02.1992 00:00:00   ;   153,75 ;     
01.03.1992 00:00:00   ;   153,77 ;     
01.04.1992 00:00:00   ;   154,04 ;     
01.05.1992 00:00:00   ;   153,92 ;     
01.06.1992 00:00:00   ;   153,93 ;     
01.07.1992 00:00:00   ;   153,80 ;     
01.08.1992 00:00:00   ;   153,55 ;     
01.09.1992 00:00:00   ;   153,45 ;     
