Messstelle:                ;Riedau
HZB-Nummer:                ;204784
HD-Nummer:                 ;2810
DBMS-Nummer:               ;4001027
Gewässer:                  ;Pram
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;60,2
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.05.1969              ;00369,00
   01.01.1988              ;00366,89
   01.01.2014              ;00365,00
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.05.1969              ;472140,00 - 351620,00
   22.06.2009              ;472118,00 - 351637,00
   01.01.2014              ;472216,93 - 351857,88
   25.03.2020              ;472212,75 - 351857,14
Exportzeitreihe:           ;(4001027,Abfluss,I,Mit,T,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1976 00:00,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
28.05.1976 00:00:00; 0,174
29.05.1976 00:00:00; 0,148
30.05.1976 00:00:00; 0,130
31.05.1976 00:00:00; 0,256
01.06.1976 00:00:00; 0,372
02.06.1976 00:00:00;  1,26
03.06.1976 00:00:00;  1,86
04.06.1976 00:00:00; 0,783
05.06.1976 00:00:00; 0,509
06.06.1976 00:00:00; 0,381
07.06.1976 00:00:00; 0,305
08.06.1976 00:00:00; 0,252
09.06.1976 00:00:00; 0,224
10.06.1976 00:00:00; 0,221
11.06.1976 00:00:00; 0,424
12.06.1976 00:00:00; 0,397
13.06.1976 00:00:00; 0,250
14.06.1976 00:00:00; 0,195
15.06.1976 00:00:00; 0,194
16.06.1976 00:00:00; 0,251
17.06.1976 00:00:00; 0,239
18.06.1976 00:00:00; 0,181
19.06.1976 00:00:00; 0,201
20.06.1976 00:00:00; 0,157
21.06.1976 00:00:00; 0,187
22.06.1976 00:00:00; 0,147
23.06.1976 00:00:00; 0,167
24.06.1976 00:00:00; 0,155
25.06.1976 00:00:00; 0,157
26.06.1976 00:00:00; 0,144
27.06.1976 00:00:00; 0,144
28.06.1976 00:00:00; 0,133
29.06.1976 00:00:00; 0,137
30.06.1976 00:00:00; 0,094
01.07.1976 00:00:00; 0,118
02.07.1976 00:00:00; 0,104
03.07.1976 00:00:00; 0,091
04.07.1976 00:00:00; 0,083
05.07.1976 00:00:00; 0,086
06.07.1976 00:00:00; 0,085
07.07.1976 00:00:00; 0,083
08.07.1976 00:00:00; 0,086
09.07.1976 00:00:00; 0,078
10.07.1976 00:00:00; 0,101
11.07.1976 00:00:00; 0,112
12.07.1976 00:00:00; 0,104
13.07.1976 00:00:00; 0,142
14.07.1976 00:00:00; 0,154
15.07.1976 00:00:00; 0,139
16.07.1976 00:00:00; 0,117
17.07.1976 00:00:00; 0,111
18.07.1976 00:00:00; 0,118
19.07.1976 00:00:00; 0,120
20.07.1976 00:00:00; 0,116
21.07.1976 00:00:00; 0,129
22.07.1976 00:00:00; 0,142
23.07.1976 00:00:00; 0,214
24.07.1976 00:00:00; 0,465
25.07.1976 00:00:00; 0,289
26.07.1976 00:00:00; 0,620
27.07.1976 00:00:00;  1,02
28.07.1976 00:00:00; 0,799
29.07.1976 00:00:00; 0,273
30.07.1976 00:00:00; 0,195
31.07.1976 00:00:00; 0,133
01.08.1976 00:00:00; 0,371
02.08.1976 00:00:00; 0,321
03.08.1976 00:00:00; 0,164
04.08.1976 00:00:00; 0,210
05.08.1976 00:00:00; 0,475
06.08.1976 00:00:00; 0,321
07.08.1976 00:00:00; 0,196
08.08.1976 00:00:00; 0,170
09.08.1976 00:00:00; 0,148
10.08.1976 00:00:00; 0,144
11.08.1976 00:00:00; 0,551
12.08.1976 00:00:00; 0,467
13.08.1976 00:00:00; 0,571
14.08.1976 00:00:00; 0,452
15.08.1976 00:00:00; 0,290
16.08.1976 00:00:00; 0,177
17.08.1976 00:00:00; 0,614
18.08.1976 00:00:00; 0,360
19.08.1976 00:00:00; 0,386
20.08.1976 00:00:00; 0,894
21.08.1976 00:00:00;  1,24
22.08.1976 00:00:00; 0,778
23.08.1976 00:00:00; 0,507
24.08.1976 00:00:00; 0,352
25.08.1976 00:00:00; 0,294
26.08.1976 00:00:00; 0,230
27.08.1976 00:00:00; 0,227
28.08.1976 00:00:00; 0,232
29.08.1976 00:00:00; 0,193
30.08.1976 00:00:00; 0,224
31.08.1976 00:00:00; 0,338
01.09.1976 00:00:00; 0,544
02.09.1976 00:00:00;  1,52
03.09.1976 00:00:00;  1,09
04.09.1976 00:00:00; 0,709
05.09.1976 00:00:00; 0,555
06.09.1976 00:00:00; 0,643
07.09.1976 00:00:00; 0,463
08.09.1976 00:00:00; 0,392
09.09.1976 00:00:00; 0,342
10.09.1976 00:00:00; 0,347
11.09.1976 00:00:00; 0,323
12.09.1976 00:00:00; 0,289
13.09.1976 00:00:00; 0,279
14.09.1976 00:00:00; 0,276
15.09.1976 00:00:00; 0,272
16.09.1976 00:00:00; 0,377
17.09.1976 00:00:00; 0,322
18.09.1976 00:00:00; 0,291
19.09.1976 00:00:00; 0,375
20.09.1976 00:00:00; 0,328
21.09.1976 00:00:00; 0,297
22.09.1976 00:00:00; 0,262
23.09.1976 00:00:00; 0,255
24.09.1976 00:00:00; 0,275
25.09.1976 00:00:00; 0,254
26.09.1976 00:00:00; 0,246
27.09.1976 00:00:00; 0,251
28.09.1976 00:00:00; 0,269
29.09.1976 00:00:00; 0,340
30.09.1976 00:00:00;  2,08
01.10.1976 00:00:00; 0,853
02.10.1976 00:00:00; 0,515
03.10.1976 00:00:00; 0,437
04.10.1976 00:00:00; 0,372
05.10.1976 00:00:00; 0,342
06.10.1976 00:00:00; 0,308
07.10.1976 00:00:00; 0,277
08.10.1976 00:00:00; 0,264
09.10.1976 00:00:00; 0,265
10.10.1976 00:00:00; 0,206
11.10.1976 00:00:00; 0,201
12.10.1976 00:00:00; 0,207
13.10.1976 00:00:00; 0,201
14.10.1976 00:00:00; 0,186
15.10.1976 00:00:00; 0,203
16.10.1976 00:00:00; 0,300
17.10.1976 00:00:00;  1,49
18.10.1976 00:00:00; 0,624
19.10.1976 00:00:00; 0,460
20.10.1976 00:00:00; 0,365
21.10.1976 00:00:00; 0,327
22.10.1976 00:00:00; 0,281
23.10.1976 00:00:00; 0,287
24.10.1976 00:00:00; 0,252
25.10.1976 00:00:00; 0,261
26.10.1976 00:00:00; 0,232
27.10.1976 00:00:00; 0,226
28.10.1976 00:00:00; 0,219
29.10.1976 00:00:00; 0,213
30.10.1976 00:00:00; 0,231
31.10.1976 00:00:00;  1,63
01.11.1976 00:00:00; 0,822
02.11.1976 00:00:00; 0,528
03.11.1976 00:00:00; 0,468
04.11.1976 00:00:00; 0,404
05.11.1976 00:00:00; 0,373
06.11.1976 00:00:00; 0,321
07.11.1976 00:00:00; 0,333
08.11.1976 00:00:00; 0,546
09.11.1976 00:00:00; 0,421
10.11.1976 00:00:00; 0,377
11.11.1976 00:00:00; 0,378
12.11.1976 00:00:00; 0,354
13.11.1976 00:00:00; 0,351
14.11.1976 00:00:00; 0,758
15.11.1976 00:00:00;  11,9
16.11.1976 00:00:00;  4,64
17.11.1976 00:00:00;  1,74
18.11.1976 00:00:00;  1,13
19.11.1976 00:00:00; 0,855
20.11.1976 00:00:00; 0,728
21.11.1976 00:00:00; 0,625
22.11.1976 00:00:00; 0,589
23.11.1976 00:00:00; 0,561
24.11.1976 00:00:00; 0,590
25.11.1976 00:00:00;  1,85
26.11.1976 00:00:00;  4,59
27.11.1976 00:00:00;  2,23
28.11.1976 00:00:00;  2,15
29.11.1976 00:00:00;  1,45
30.11.1976 00:00:00;  1,10
01.12.1976 00:00:00; 0,998
02.12.1976 00:00:00;  1,16
03.12.1976 00:00:00;  1,02
04.12.1976 00:00:00; 0,823
05.12.1976 00:00:00; 0,670
06.12.1976 00:00:00; 0,603
07.12.1976 00:00:00; 0,608
08.12.1976 00:00:00; 0,700
09.12.1976 00:00:00; 0,818
10.12.1976 00:00:00;  1,11
11.12.1976 00:00:00; 0,981
12.12.1976 00:00:00; 0,854
13.12.1976 00:00:00; 0,745
14.12.1976 00:00:00; 0,722
15.12.1976 00:00:00; 0,708
16.12.1976 00:00:00; 0,676
17.12.1976 00:00:00; 0,663
18.12.1976 00:00:00; 0,642
19.12.1976 00:00:00; 0,608
20.12.1976 00:00:00; 0,630
21.12.1976 00:00:00;  1,02
22.12.1976 00:00:00;  1,11
23.12.1976 00:00:00; 0,964
24.12.1976 00:00:00; 0,854
25.12.1976 00:00:00; 0,739
26.12.1976 00:00:00; 0,591
27.12.1976 00:00:00; 0,566
28.12.1976 00:00:00; 0,566
29.12.1976 00:00:00; 0,537
30.12.1976 00:00:00; 0,508
31.12.1976 00:00:00; 0,478
01.01.1977 00:00:00; 0,508
02.01.1977 00:00:00; 0,439
03.01.1977 00:00:00; 0,426
04.01.1977 00:00:00; 0,419
05.01.1977 00:00:00; 0,402
06.01.1977 00:00:00; 0,400
07.01.1977 00:00:00; 0,377
08.01.1977 00:00:00; 0,347
09.01.1977 00:00:00; 0,327
10.01.1977 00:00:00; 0,349
11.01.1977 00:00:00; 0,336
12.01.1977 00:00:00; 0,324
13.01.1977 00:00:00; 0,327
14.01.1977 00:00:00; 0,305
15.01.1977 00:00:00; 0,305
16.01.1977 00:00:00; 0,272
17.01.1977 00:00:00; 0,263
18.01.1977 00:00:00; 0,284
19.01.1977 00:00:00; 0,305
20.01.1977 00:00:00; 0,327
21.01.1977 00:00:00; 0,304
22.01.1977 00:00:00; 0,299
23.01.1977 00:00:00; 0,301
24.01.1977 00:00:00; 0,336
25.01.1977 00:00:00; 0,369
26.01.1977 00:00:00;  1,07
27.01.1977 00:00:00;  3,09
28.01.1977 00:00:00;  3,94
29.01.1977 00:00:00;  2,68
30.01.1977 00:00:00;  3,01
31.01.1977 00:00:00;  3,26
01.02.1977 00:00:00;  1,56
02.02.1977 00:00:00; 0,977
03.02.1977 00:00:00; 0,764
04.02.1977 00:00:00; 0,701
05.02.1977 00:00:00;  2,24
06.02.1977 00:00:00;  17,3
07.02.1977 00:00:00;  15,5
08.02.1977 00:00:00;  9,27
09.02.1977 00:00:00;  5,48
10.02.1977 00:00:00;  4,25
11.02.1977 00:00:00;  4,48
12.02.1977 00:00:00;  1,95
13.02.1977 00:00:00;  1,57
14.02.1977 00:00:00;  1,29
15.02.1977 00:00:00;  1,03
16.02.1977 00:00:00; 0,890
17.02.1977 00:00:00; 0,763
18.02.1977 00:00:00; 0,809
19.02.1977 00:00:00; 0,757
20.02.1977 00:00:00; 0,683
21.02.1977 00:00:00;  1,34
22.02.1977 00:00:00;  1,40
23.02.1977 00:00:00;  2,90
24.02.1977 00:00:00;  1,80
25.02.1977 00:00:00;  4,96
26.02.1977 00:00:00;  3,18
27.02.1977 00:00:00;  2,83
28.02.1977 00:00:00;  1,44
01.03.1977 00:00:00;  1,02
02.03.1977 00:00:00; 0,961
03.03.1977 00:00:00;  2,40
04.03.1977 00:00:00;  1,86
05.03.1977 00:00:00;  1,20
06.03.1977 00:00:00; 0,917
07.03.1977 00:00:00; 0,824
08.03.1977 00:00:00; 0,852
09.03.1977 00:00:00; 0,827
10.03.1977 00:00:00; 0,809
11.03.1977 00:00:00; 0,789
12.03.1977 00:00:00; 0,644
13.03.1977 00:00:00; 0,632
14.03.1977 00:00:00; 0,820
15.03.1977 00:00:00; 0,686
16.03.1977 00:00:00; 0,614
17.03.1977 00:00:00; 0,596
18.03.1977 00:00:00; 0,588
19.03.1977 00:00:00; 0,550
20.03.1977 00:00:00; 0,560
21.03.1977 00:00:00; 0,535
22.03.1977 00:00:00; 0,516
23.03.1977 00:00:00; 0,479
24.03.1977 00:00:00; 0,469
25.03.1977 00:00:00; 0,459
26.03.1977 00:00:00; 0,472
27.03.1977 00:00:00; 0,505
28.03.1977 00:00:00; 0,772
29.03.1977 00:00:00; 0,715
