Messstelle:                ;Pörtschach-See
HZB-Nummer:                ;212985
HD-Nummer:                 ;00608
DBMS-Nummer:               ;2001056
Gewässer:                  ;Wörthersee
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;162,1
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1902              ;00441,03
   01.01.1904              ;00441,10
   01.01.1920              ;00440,05
   01.01.1940              ;00439,05
   01.01.1952              ;00438,94
   01.01.1959              ;00438,39
   01.01.1997              ;00439,01
   29.11.2019              ;00438,89
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1990              ;511669,94 - 166415,32
Exportzeitreihe:           ;(2001056,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 02:00,01.01.2022 00:00]
Werte:
12.01.1990 13:15:00;   131
25.02.1990 20:15:00;   132
08.03.1990 12:15:00;   130
30.04.1990 23:59:55;   130
13.05.1990 03:30:00;   128
01.06.1990 00:00:00;   130
31.07.1990 23:59:55;   137
31.08.1990 01:15:00;   131
17.09.1990 12:30:00;   128
16.10.1990 22:15:00;   131
01.11.1990 00:00:00;   144
30.12.1990 20:15:00;   137
30.01.1991 17:30:00;   137
28.02.1991 08:00:00;   132
05.03.1991 02:45:00;   128
17.04.1991 00:00:00;   132
31.05.1991 23:59:55;   133
11.06.1991 23:30:00;   130
13.07.1991 09:45:00;   131
31.08.1991 23:59:55;   133
10.09.1991 20:00:00;   127
05.10.1991 23:00:00;   130
02.11.1991 19:45:00;   130
31.12.1991 23:59:55;   132
13.01.1992 10:15:00;   127
04.02.1992 10:30:00;   127
05.03.1992 10:15:00;   128
27.04.1992 01:00:00;   134
15.05.1992 14:45:00;   130
29.06.1992 07:00:00;   127
30.07.1992 09:45:00;   125
31.08.1992 15:30:00;   119
01.09.1992 00:00:00;   119
01.10.1992 00:00:00;   124
15.11.1992 09:00:00;   135
03.12.1992 04:00:00;   136
31.01.1993 23:59:55;   129
24.02.1993 00:00:00;   125
01.03.1993 00:00:00;   126
01.04.1993 00:00:00;   130
25.05.1993 07:45:00;   127
30.06.1993 23:59:55;   126
10.07.1993 07:45:00;   122
23.08.1993 07:45:00;   121
22.09.1993 00:00:00;   121
01.10.1993 00:15:00;   128
30.11.1993 23:59:55;   132
21.12.1993 00:00:00;   127
07.01.1994 15:45:00;   127
19.02.1994 17:00:00;   121
03.03.1994 13:45:00;   122
09.04.1994 20:15:00;   128
01.05.1994 00:00:00;   128
16.06.1994 19:00:00;   126
31.07.1994 23:59:55;   121
02.08.1994 10:15:00;   120
26.09.1994 23:15:00;   121
02.10.1994 00:00:00;   122
10.11.1994 10:00:00;   124
18.12.1994 11:15:00;   119
04.01.1995 03:45:00;   118
13.02.1995 11:30:00;   116
01.03.1995 00:00:00;   125
18.04.1995 12:45:00;   124
22.05.1995 16:30:00;   122
01.06.1995 00:00:00;   124
31.07.1995 22:30:00;   124
15.08.1995 07:00:00;   118
01.09.1995 00:00:00;   119
22.10.1995 11:15:00;   122
06.11.1995 13:45:00;   122
18.12.1995 01:45:00;   124
31.01.1996 12:00:00;   127
18.02.1996 10:00:00;   125
04.03.1996 07:15:00;   123
01.04.1996 00:00:00;   130
02.05.1996 14:45:00;   131
19.06.1996 12:45:00;   121
31.07.1996 23:59:55;   131
01.08.1996 12:15:00;   130
21.09.1996 00:00:00;   126
01.10.1996 00:00:00;   126
04.11.1996 08:45:00;   136
31.12.1996 23:59:55;   135
20.01.1997 15:57:00;   128
22.02.1997 17:51:45;   125
31.03.1997 23:59:55;   124
20.04.1997 08:14:10;   118
30.05.1997 18:40:50;   114
11.06.1997 13:01:25;   110
13.07.1997 06:02:20;   112
15.08.1997 17:17:55;   111
29.09.1997 19:31:10;   112
30.10.1997 19:06:35;   101
07.11.1997 01:29:15;    99
01.12.1997 00:00:00;   110
31.01.1998 23:59:55;   127
28.02.1998 23:59:55;   120
31.03.1998 23:59:55;   116
05.04.1998 20:21:00;   115
31.05.1998 23:59:55;   111
21.06.1998 13:17:05;   107
01.07.1998 02:08:45;   111
22.08.1998 20:25:00;   116
03.09.1998 13:12:15;   115
05.10.1998 06:59:45;   132
30.11.1998 23:59:55;   132
31.12.1998 23:59:55;   123
31.01.1999 03:28:45;   120
09.02.1999 15:41:35;   118
04.03.1999 16:44:50;   118
30.04.1999 02:35:45;   125
12.05.1999 16:31:50;   124
30.06.1999 23:59:55;   127
09.07.1999 06:38:50;   123
16.08.1999 16:19:05;   128
30.09.1999 23:59:55;   126
21.10.1999 10:04:35;   125
30.11.1999 23:59:55;   129
10.12.1999 16:20:10;   127
31.01.2000 23:59:55;   122
15.02.2000 14:27:25;   118
28.03.2000 22:20:10;   119
15.04.2000 14:41:40;   122
17.05.2000 23:50:20;   120
24.06.2000 00:44:15;   118
08.07.2000 12:57:50;   117
28.08.2000 06:45:20;   118
30.09.2000 20:22:25;   113
01.10.2000 00:00:00;   113
01.11.2000 00:00:00;   130
27.12.2000 15:59:20;   130
05.01.2001 10:04:55;   133
28.02.2001 15:58:55;   129
11.03.2001 17:36:55;   126
30.04.2001 23:59:55;   131
30.05.2001 23:39:05;   123
30.06.2001 23:00:00;   115
18.07.2001 11:04:45;   109
31.08.2001 09:06:25;    95
01.09.2001 00:00:00;    96
01.10.2001 00:00:00;   109
08.11.2001 19:00:00;   108
25.12.2001 12:00:00;   106
31.01.2002 04:00:00;   103
01.02.2002 01:00:00;   103
01.03.2002 04:00:00;   104
06.04.2002 20:00:00;   103
14.05.2002 06:00:00;   113
23.06.2002 08:00:00;   112
02.07.2002 19:00:00;   115
03.08.2002 13:00:00;   124
21.09.2002 18:00:00;   116
09.10.2002 11:00:00;   115
15.11.2002 07:00:00;   119
30.12.2002 14:00:00;   122
28.01.2003 03:00:00;   113
04.02.2003 03:00:00;   111
01.03.2003 00:00:00;   111
01.04.2003 00:00:00;   112
20.05.2003 01:00:00;   113
27.06.2003 01:00:00;   111
28.07.2003 00:00:00;   110
28.08.2003 11:00:00;   100
28.09.2003 04:00:00;   111
03.10.2003 15:57:55;   109
01.11.2003 00:00:00;   111
27.12.2003 15:00:00;   113
21.01.2004 17:00:00;   112
23.02.2004 04:30:05;   109
04.03.2004 16:03:00;   111
30.04.2004 23:59:55;   126
22.05.2004 02:55:55;   122
11.06.2004 14:00:00;   125
31.07.2004 09:00:00;   125
19.08.2004 09:00:00;   122
29.09.2004 14:00:00;   119
14.10.2004 07:00:00;   115
01.11.2004 00:00:00;   123
26.12.2004 06:00:00;   116
31.01.2005 19:00:00;   111
09.02.2005 23:00:00;   108
01.03.2005 05:00:00;   110
01.04.2005 00:00:00;   117
31.05.2005 01:00:00;   125
28.06.2005 04:00:00;   114
01.07.2005 00:00:00;   114
10.08.2005 18:30:00;   119
26.09.2005 02:00:00;   119
01.10.2005 18:00:00;   120
23.11.2005 17:00:00;   111
01.12.2005 00:00:00;   117
31.01.2006 01:30:00;   112
12.02.2006 11:30:00;   107
01.03.2006 01:30:00;   118
27.04.2006 15:21:55;   127
16.05.2006 01:00:00;   125
28.06.2006 09:00:00;   114
31.07.2006 10:00:00;   100
01.08.2006 00:00:00;   100
13.09.2006 09:45:05;    99
01.10.2006 00:30:00;   100
14.11.2006 09:30:00;    95
05.12.2006 19:30:00;    96
12.01.2007 07:30:00;    96
01.02.2007 01:30:00;   100
01.03.2007 00:00:00;   108
30.04.2007 13:45:05;   119
27.05.2007 01:00:05;   111
29.06.2007 23:00:05;   105
28.07.2007 17:30:05;   101
22.08.2007 04:15:05;    96
18.09.2007 14:00:05;    94
23.10.2007 16:15:05;   106
09.11.2007 12:15:05;   102
31.12.2007 14:30:05;   100
05.01.2008 20:45:05;    98
01.02.2008 10:15:05;   101
01.03.2008 11:30:05;   105
02.04.2008 15:45:05;   113
17.05.2008 22:45:05;   115
01.06.2008 00:00:00;   120
13.07.2008 07:30:00;   118
15.08.2008 02:30:00;   122
30.09.2008 23:59:55;   111
28.10.2008 07:15:05;   106
01.11.2008 01:15:05;   113
01.12.2008 04:30:05;   117
13.01.2009 11:00:05;   124
05.02.2009 06:30:05;   125
28.03.2009 10:30:05;   123
27.04.2009 00:00:05;   126
22.05.2009 16:30:05;   120
16.06.2009 17:00:05;   116
30.07.2009 22:30:05;   122
21.08.2009 21:00:05;   119
03.09.2009 06:00:05;   118
31.10.2009 04:30:05;   114
01.11.2009 11:00:05;   113
01.12.2009 00:15:05;   114
30.01.2010 13:00:05;   117
18.02.2010 03:45:05;   116
01.03.2010 00:15:05;   122
25.04.2010 16:30:05;   123
30.05.2010 05:45:05;   120
15.06.2010 13:15:05;   115
29.07.2010 14:45:05;   104
03.08.2010 07:30:05;   106
07.09.2010 12:30:05;   117
24.10.2010 09:30:05;   119
01.11.2010 02:00:05;   128
21.12.2010 20:00:05;   126
30.01.2011 21:30:05;   124
12.02.2011 07:45:05;   117
10.03.2011 08:00:05;   116
23.04.2011 15:00:00;   120
12.05.2011 17:00:00;   115
02.06.2011 15:00:00;   118
14.07.2011 19:00:00;   119
30.08.2011 12:00:00;   124
18.09.2011 18:00:00;   117
19.10.2011 13:00:00;   115
30.11.2011 11:00:00;   114
29.12.2011 12:00:00;   110
19.01.2012 22:00:00;   107
04.02.2012 04:00:00;   106
01.03.2012 00:00:00;   109
04.04.2012 02:00:00;   108
04.05.2012 14:00:00;   121
30.06.2012 01:30:00;   117
09.07.2012 14:30:05;   112
30.08.2012 10:30:00;   119
12.09.2012 11:30:00;   122
14.10.2012 20:00:00;   125
27.11.2012 20:45:00;   130
24.12.2012 12:15:00;   124
06.01.2013 14:30:00;   121
02.02.2013 00:40:00;   120
01.03.2013 15:30:00;   127
30.04.2013 13:30:00;   126
19.05.2013 13:00:00;   124
29.06.2013 10:15:00;   120
31.07.2013 14:00:00;   105
23.08.2013 14:00:00;    94
05.09.2013 15:15:00;    93
10.10.2013 09:30:00;    94
01.11.2013 12:00:00;    99
24.12.2013 12:15:00;   121
01.01.2014 00:15:00;   131
07.02.2014 17:00:00;   134
31.03.2014 13:30:00;   134
18.04.2014 13:15:00;   123
09.05.2014 12:45:00;   124
22.06.2014 11:15:00;   115
17.07.2014 10:15:00;   120
04.08.2014 12:45:00;   122
30.09.2014 09:15:00;   130
31.10.2014 07:45:00;   115
04.11.2014 11:00:00;   112
27.12.2014 10:30:00;   123
10.01.2015 07:15:00;   117
10.02.2015 18:45:00;   116
21.03.2015 12:30:00;   119
26.04.2015 09:45:00;   116
13.05.2015 15:00:00;   111
13.06.2015 16:15:00;   116
25.07.2015 02:45:00;   110
31.08.2015 12:15:00;   106
01.09.2015 12:45:00;   105
03.10.2015 09:15:00;   119
29.11.2015 20:15:00;   115
28.12.2015 04:45:00;   104
01.01.2016 03:15:00;   103
01.02.2016 03:30:00;   106
29.03.2016 13:00:00;   126
22.04.2016 13:45:00;   118
01.05.2016 00:00:00;   124
08.06.2016 12:45:00;   122
11.07.2016 14:00:00;   118
08.08.2016 10:45:00;   128
29.09.2016 14:30:00;   118
09.10.2016 11:30:00;   117
05.11.2016 06:00:00;   117
31.12.2016 13:45:00;   113
27.01.2017 15:00:00;   104
01.02.2017 00:00:00;   104
01.03.2017 00:00:00;   115
22.04.2017 15:45:00;   116
30.05.2017 13:30:00;   117
24.06.2017 16:15:00;   114
22.07.2017 13:00:00;   109
04.08.2017 12:15:00;   112
01.09.2017 00:00:00;   119
20.10.2017 12:15:00;   121
05.11.2017 03:45:00;   119
08.12.2017 14:30:00;   126
29.01.2018 11:45:00;   126
01.02.2018 03:15:00;   125
08.03.2018 15:45:00;   126
23.04.2018 15:00:00;   122
02.05.2018 15:15:00;   124
30.06.2018 10:00:00;   117
30.07.2018 13:30:00;   113
23.08.2018 10:45:00;   102
30.09.2018 11:45:00;   106
24.10.2018 06:45:00;    99
01.11.2018 01:00:00;   113
31.12.2018 02:45:00;   113
16.01.2019 11:15:00;   106
01.02.2019 00:00:00;   107
31.03.2019 15:00:00;   123
01.04.2019 10:45:00;   124
26.05.2019 15:15:00;   125
30.06.2019 13:45:00;   122
25.07.2019 16:30:00;   114
31.08.2019 09:45:00;   109
01.09.2019 14:15:00;   108
28.10.2019 11:30:00;   107
02.11.2019 22:45:00;   106
20.12.2019 19:30:00;   125
28.01.2020 13:45:00;   117
09.02.2020 22:30:00;   114
01.03.2020 13:00:00;   117
24.04.2020 14:15:00;   120
30.05.2020 16:15:00;   117
03.06.2020 12:45:00;   114
05.07.2020 11:30:00;   125
26.08.2020 13:15:00;   121
16.09.2020 11:00:00;   123
01.10.2020 10:30:00;   133
28.11.2020 11:45:00;   121
01.12.2020 03:45:00;   120
20.01.2021 12:45:00;   126
28.02.2021 15:30:00;   129
25.03.2021 14:00:00;   124
01.04.2021 17:30:00;   124
01.05.2021 12:45:00;   123
29.06.2021 13:30:00;   119
24.07.2021 12:30:00;   116
01.08.2021 01:15:00;   117
27.09.2021 12:30:00;   108
21.10.2021 09:00:00;   103
01.11.2021 11:15:00;   102
25.12.2021 11:00:00;   115
