Messstelle:                ;Unterweißburg
HZB-Nummer:                ;203828
HD-Nummer:                 ;
DBMS-Nummer:               ;5001077
Gewässer:                  ;Zederhausbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;161,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1981              ;01060,00
   01.01.1984              ;01059,67
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1981              ;470480,00 - 217640,00
Exportzeitreihe:           ;(5001077,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1981 00:00,01.01.2022 00:00]
Werte:
25.07.1995 17:45:00;    31
18.08.1995 13:45:00;    26
27.09.1995 16:30:00;    30
31.10.1995 16:30:00;    25
14.11.1995 11:15:00;    23
07.12.1995 22:30:00;    21
28.01.1996 01:15:00;    16
03.02.1996 15:45:00;    14
18.03.1996 20:00:00;    16
01.04.1996 14:30:00;    19
04.05.1996 15:15:00;    34
16.06.1996 19:45:00;    31
29.07.1996 05:45:00;    29
28.08.1996 04:30:00;    23
01.09.1996 09:30:00;    29
01.10.1996 05:15:00;    35
14.11.1996 16:45:00;    37
27.12.1996 00:30:00;    30
27.01.1997 10:23:10;    26
22.02.1997 05:53:30;    22
16.03.1997 07:33:40;    24
01.04.1997 21:54:50;    28
01.05.1997 11:34:05;    36
03.06.1997 06:49:05;    42
04.07.1997 15:42:50;    38
26.08.1997 22:28:20;    31
29.09.1997 21:47:30;    29
31.10.1997 00:13:50;    30
05.11.1997 05:41:45;    30
28.12.1997 06:36:00;    24
20.01.1998 17:13:40;    20
14.02.1998 07:50:05;    19
19.03.1998 21:39:35;    21
21.04.1998 20:13:00;    30
26.05.1998 16:34:20;    33
15.06.1998 02:30:50;    35
20.07.1998 17:14:20;    31
15.08.1998 19:11:25;    29
04.09.1998 08:41:40;    28
30.10.1998 07:00:00;    35
29.11.1998 13:45:00;    28
09.12.1998 07:32:10;    25
25.01.1999 07:53:10;    20
07.02.1999 11:42:25;    20
10.03.1999 06:25:10;    20
01.04.1999 11:33:15;    30
01.05.1999 07:29:30;    42
30.06.1999 15:04:25;    36
03.07.1999 16:44:10;    31
08.08.1999 11:40:20;    33
28.09.1999 03:18:05;    34
31.10.1999 07:14:50;    30
26.11.1999 12:50:25;    26
31.12.1999 23:33:20;    23
01.01.2000 00:15:00;    22
03.02.2000 21:45:00;    30
06.03.2000 08:45:00;    28
03.04.2000 21:00:00;    34
24.05.2000 05:00:00;    48
30.06.2000 05:30:00;    37
06.07.2000 03:45:00;    35
31.08.2000 08:00:00;    31
11.09.2000 05:00:00;    31
01.10.2000 08:00:00;    39
02.11.2000 21:30:00;    38
21.12.2000 11:00:00;    31
29.01.2001 05:00:00;    28
01.02.2001 22:30:00;    28
02.03.2001 06:15:00;    26
14.04.2001 05:30:00;    32
01.05.2001 04:30:00;    54
15.06.2001 07:00:00;    45
19.07.2001 11:30:00;    31
30.08.2001 08:00:00;    25
04.09.2001 06:45:00;    32
23.10.2001 09:00:00;    30
21.11.2001 08:30:00;    23
18.12.2001 12:15:00;    18
31.01.2002 10:15:00;    18
22.02.2002 09:00:00;    16
04.03.2002 10:30:00;    18
19.04.2002 11:21:00;    30
01.05.2002 09:02:25;    42
23.06.2002 06:13:40;    40
10.07.2002 10:18:35;    32
30.08.2002 13:15:00;    28
20.09.2002 21:15:00;    26
13.10.2002 09:30:00;    28
02.11.2002 11:45:00;    22
25.12.2002 10:30:00;    29
25.01.2003 13:00:00;    24
26.02.2003 14:15:00;    21
16.03.2003 14:15:00;    20
23.04.2003 16:00:00;    23
15.05.2003 06:45:00;    36
24.06.2003 09:30:00;    31
21.07.2003 18:30:00;    26
16.08.2003 17:15:00;    18
08.09.2003 12:45:00;    23
03.10.2003 00:15:00;    25
28.11.2003 12:00:00;    29
30.12.2003 22:53:40;    24
21.01.2004 21:45:00;    10
12.02.2004 06:45:00;    17
01.03.2004 02:30:00;    17
17.04.2004 17:15:00;    27
11.05.2004 14:30:00;    33
01.06.2004 08:15:00;    60
29.07.2004 19:30:00;    27
11.08.2004 05:00:00;    29
04.09.2004 08:15:00;    29
26.10.2004 15:30:00;    29
30.11.2004 15:45:00;    26
24.12.2004 13:30:00;    22
11.01.2005 14:00:00;    21
03.02.2005 19:15:00;    19
16.03.2005 08:30:00;    19
02.04.2005 04:30:00;    34
12.05.2005 13:45:00;    36
29.06.2005 05:35:25;    37
30.07.2005 20:27:35;    31
12.08.2005 18:59:15;    31
16.09.2005 17:16:30;    30
01.10.2005 09:45:00;    26
20.11.2005 08:00:00;    18
03.12.2005 14:30:00;    17
25.01.2006 06:29:20;    15
06.02.2006 16:30:00;    16
20.03.2006 08:00:00;    13
14.04.2006 13:45:00;    28
08.05.2006 02:30:00;    44
08.06.2006 12:30:00;    42
20.07.2006 06:45:00;    30
01.08.2006 04:45:00;    30
27.09.2006 17:15:00;    26
03.10.2006 15:30:00;    24
02.11.2006 13:45:00;    28
04.12.2006 12:30:00;    23
06.01.2007 13:45:00;    23
17.02.2007 09:30:00;    23
12.03.2007 08:45:00;    21
05.04.2007 08:45:00;    25
31.05.2007 17:00:00;    29
18.06.2007 09:00:00;    29
31.07.2007 17:30:00;    34
18.08.2007 08:45:00;    28
03.09.2007 07:15:00;    31
22.10.2007 02:00:00;    27
09.11.2007 10:45:00;    28
30.12.2007 12:00:45;    26
01.01.2008 15:15:00;    22
14.02.2008 03:45:00;    21
19.03.2008 10:00:00;    25
10.04.2008 08:00:00;    21
02.05.2008 11:15:00;    36
30.06.2008 16:30:00;    24
11.07.2008 08:00:00;    26
06.08.2008 09:00:00;    23
10.09.2008 09:30:00;    26
10.10.2008 14:45:00;    25
27.11.2008 08:45:00;    25
30.12.2008 02:45:00;    21
30.01.2009 19:04:55;    16
21.02.2009 12:45:00;    18
13.03.2009 03:00:00;    18
01.04.2009 00:00:00;    25
07.05.2009 09:15:00;    41
18.06.2009 06:15:00;    51
30.07.2009 17:30:00;    39
21.08.2009 15:30:00;    31
03.09.2009 09:45:00;    32
07.10.2009 09:30:00;    34
30.11.2009 13:15:00;    25
03.12.2009 14:15:00;    29
14.01.2010 12:30:00;    23
18.02.2010 19:45:00;    21
01.03.2010 10:00:00;    27
02.04.2010 09:45:00;    32
19.05.2010 09:30:00;    41
27.06.2010 15:00:00;    38
15.07.2010 18:45:00;    31
21.08.2010 18:00:00;    31
17.09.2010 14:00:00;    30
12.10.2010 08:15:00;    25
10.11.2010 11:00:00;    31
23.12.2010 05:15:00;    24
12.01.2011 17:30:00;    22
23.02.2011 07:30:00;    22
15.03.2011 14:30:00;    23
01.04.2011 02:30:00;    30
06.05.2011 06:45:00;    31
18.06.2011 17:30:00;    35
16.07.2011 21:00:00;    33
21.08.2011 14:00:00;    29
15.09.2011 17:15:00;    27
05.10.2011 15:15:00;    29
30.11.2011 04:45:00;    25
04.12.2011 10:30:00;    23
04.01.2012 22:45:00;    24
19.02.2012 17:45:00;    20
10.03.2012 20:15:00;    30
25.04.2012 11:00:00;    37
18.05.2012 02:45:00;    45
30.06.2012 22:30:00;    42
10.07.2012 07:30:00;    37
24.08.2012 08:00:00;    23
09.09.2012 16:30:00;    31
12.10.2012 01:15:00;    33
27.11.2012 09:30:00;    36
29.12.2012 05:45:00;    29
20.01.2013 04:15:00;    27
28.02.2013 10:30:00;    25
27.03.2013 16:15:00;    25
13.04.2013 07:00:00;    27
27.05.2013 19:15:00;    47
01.06.2013 12:15:00;    46
30.07.2013 20:45:00;    34
04.08.2013 17:30:00;    24
06.09.2013 15:45:00;    28
07.10.2013 18:45:00;    27
03.11.2013 02:45:00;    42
17.12.2013 11:15:00;    38
23.01.2014 07:45:00;    39
24.02.2014 19:45:00;    30
07.03.2014 14:00:00;    37
16.04.2014 12:45:00;    50
18.05.2014 00:30:00;    61
28.06.2014 10:00:00;    54
27.07.2014 02:00:00;    46
29.08.2014 11:00:00;    42
20.09.2014 18:00:00;    46
20.10.2014 08:30:00;    40
27.11.2014 18:45:00;    43
11.12.2014 14:15:00;    39
03.01.2015 16:45:00;    37
07.02.2015 02:45:00;    33
11.03.2015 07:15:00;    31
01.04.2015 13:15:00;    37
01.05.2015 05:00:00;    54
30.06.2015 15:00:00;    48
22.07.2015 12:30:00;    41
29.08.2015 18:15:00;    42
20.09.2015 09:00:00;    35
06.10.2015 16:00:00;    37
15.11.2015 15:00:00;    35
17.12.2015 23:45:00;    34
01.01.2016 23:30:00;    31
16.02.2016 09:00:00;    33
15.03.2016 17:30:00;    33
01.04.2016 01:15:00;    45
01.05.2016 00:00:00;    47
26.06.2016 02:45:00;    53
11.07.2016 18:45:00;    42
03.08.2016 14:00:00;    47
30.09.2016 16:45:00;    49
04.10.2016 16:45:00;    47
20.11.2016 14:45:00;    47
17.12.2016 16:22:55;    40
31.01.2017 23:59:55;    38
27.02.2017 09:00:00;    28
14.03.2017 12:30:00;    31
05.04.2017 16:00:00;    35
05.05.2017 13:00:00;    42
28.06.2017 14:45:00;    34
07.07.2017 15:45:00;    37
04.08.2017 18:30:00;    38
11.09.2017 16:15:00;    40
25.10.2017 15:00:00;    33
07.11.2017 17:15:00;    36
17.12.2017 21:00:00;    33
01.01.2018 17:15:00;    34
28.02.2018 02:30:00;    30
22.03.2018 13:15:00;    31
01.04.2018 19:15:00;    36
30.05.2018 01:45:00;    60
22.06.2018 18:30:00;    44
31.07.2018 18:45:00;    39
14.08.2018 15:00:00;    30
28.09.2018 17:45:00;    34
11.10.2018 10:30:00;    28
28.11.2018 09:30:00;    36
15.12.2018 03:15:00;    35
14.01.2019 04:00:00;    31
03.02.2019 02:00:00;    29
03.03.2019 11:00:00;    40
01.04.2019 16:30:00;    41
16.05.2019 01:45:00;    49
30.06.2019 14:30:00;    48
25.07.2019 06:15:00;    36
19.08.2019 14:45:00;    26
01.09.2019 17:30:00;    30
23.10.2019 07:00:00;    28
03.11.2019 11:15:00;    35
12.12.2019 12:45:00;    37
26.01.2020 00:00:00;    36
16.02.2020 23:45:00;    37
05.03.2020 10:00:00;    38
01.04.2020 09:15:00;    39
06.05.2020 14:00:00;    51
02.06.2020 12:30:00;    50
11.07.2020 05:45:00;    47
21.08.2020 22:15:00;    43
16.09.2020 12:30:00;    39
28.10.2020 14:00:00;    44
30.11.2020 12:30:00;    38
30.12.2020 17:45:00;    37
25.01.2021 01:30:00;    35
11.02.2021 18:30:00;    34
19.03.2021 08:30:00;    36
15.04.2021 07:15:00;    39
08.05.2021 14:45:00;    49
29.06.2021 15:45:00;    48
30.07.2021 13:15:00;    38
14.08.2021 19:15:00;    37
26.09.2021 11:45:00;    36
21.10.2021 15:45:00;    33
06.11.2021 13:45:00;    33
21.12.2021 01:15:00;    31
