Messstelle:                ;Koflerkreuz
HZB-Nummer:                ;202077
HD-Nummer:                 ;
DBMS-Nummer:               ;7001098
Gewässer:                  ;Zirmbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Tiroler Wasserkraftwerke-AG.
orogr.Einzugsgebiet [km²]: ;64,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.06.1978              ;01370,00
   03.05.1983              ;01383,55
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1973              ;210448,31 - 229472,79
Exportzeitreihe:           ;(7001098,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1981 00:30,01.01.2022 00:00]
Werte:
27.07.1995 12:45:00;    44
08.08.1995 10:00:00;    38
30.09.1995 04:30:00;    34
30.10.1995 06:00:00;    27
30.11.1995 02:00:00;    23
31.12.1995 23:59:55;    21
31.01.1996 23:59:55;    17
10.02.1996 02:15:00;    15
01.03.1996 23:15:00;    15
05.04.1996 06:30:00;    16
06.05.1996 07:30:00;    26
21.06.1996 07:15:00;    32
31.07.1996 14:45:00;    32
01.08.1996 13:15:00;    32
30.09.1996 11:30:00;    34
15.10.1996 17:45:00;    32
30.11.1996 05:45:00;    27
31.12.1996 03:45:00;    23
28.01.1997 21:00:00;    18
19.02.1997 01:30:00;    16
01.03.1997 00:00:00;    18
04.04.1997 23:00:00;    19
02.05.1997 14:00:00;    22
05.06.1997 12:30:00;    40
31.07.1997 17:00:00;    38
28.08.1997 15:30:00;    29
26.09.1997 17:15:00;    24
29.10.1997 04:15:00;    21
15.11.1997 05:45:00;    20
06.12.1997 09:15:00;    18
18.01.1998 00:00:00;    17
01.02.1998 05:30:00;    17
21.03.1998 04:15:00;    13
20.04.1998 05:30:00;    17
01.05.1998 05:00:00;    25
01.06.1998 14:30:00;    34
27.07.1998 14:15:00;    35
04.08.1998 13:00:00;    34
02.09.1998 17:30:00;    35
31.10.1998 09:30:00;    34
21.11.1998 23:00:00;    30
30.12.1998 04:00:00;    25
25.01.1999 14:30:00;    18
25.02.1999 21:00:00;    13
07.03.1999 08:00:00;    18
20.04.1999 08:00:00;    21
01.05.1999 08:15:00;    38
26.06.1999 12:15:00;    52
31.07.1999 12:30:00;    38
09.08.1999 21:15:00;    34
24.09.1999 17:00:00;    30
27.10.1999 18:00:00;    27
20.11.1999 20:15:00;    22
17.12.1999 10:15:00;    15
25.01.2000 18:45:00;    17
22.02.2000 01:30:00;    17
05.03.2000 03:15:00;    17
02.04.2000 03:30:00;    18
01.05.2000 09:45:00;    44
30.06.2000 13:00:00;    37
06.07.2000 14:30:00;    34
29.08.2000 16:30:00;    35
19.09.2000 22:45:00;    27
31.10.2000 00:15:00;    31
26.11.2000 00:15:00;    24
27.12.2000 22:00:00;    21
31.01.2001 23:59:55;    19
22.02.2001 09:45:00;     8
01.03.2001 18:00:00;    17
23.04.2001 05:15:00;    19
01.05.2001 08:15:00;    33
08.06.2001 13:00:00;    46
15.07.2001 17:30:00;    36
30.08.2001 17:00:00;    30
03.09.2001 12:00:00;    33
31.10.2001 23:59:55;    25
23.11.2001 01:30:00;    21
30.12.2001 07:15:00;    18
30.01.2002 18:00:00;    16
22.02.2002 01:00:00;    16
04.03.2002 05:00:00;    16
19.04.2002 13:15:00;    21
01.05.2002 12:45:00;    28
27.06.2002 14:30:00;    37
03.07.2002 12:30:00;    35
31.08.2002 22:30:00;    44
21.09.2002 15:45:00;    38
31.10.2002 15:30:00;    31
