Messstelle:                ;Strötting
HZB-Nummer:                ;204974
HD-Nummer:                 ;3620
DBMS-Nummer:               ;4001046
Gewässer:                  ;Trattnach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;54
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00376,00
   01.01.1988              ;00379,04
   01.01.2009              ;00378,04
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1976              ;479880,00 - 342910,00
   22.06.2009              ;479868,00 - 342894,00
   01.10.2020              ;479873,64 - 342899,90
Exportzeitreihe:           ;(4001046,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:30,01.01.2022 00:00]
Werte:
06.04.1990 18:15:00;    25
31.05.1990 03:30:00;    23
02.06.1990 16:45:00;    22
30.07.1990 04:45:00;    21
30.08.1990 21:45:00;    17
06.09.1990 20:45:00;    17
25.10.1990 20:45:00;    16
10.11.1990 03:45:00;    28
18.12.1990 10:15:00;    25
31.01.1991 02:45:00;    19
18.02.1991 07:30:00;    18
02.03.1991 11:15:00;    25
14.04.1991 20:00:00;    23
31.05.1991 23:59:55;    23
13.06.1991 13:45:00;    21
17.07.1991 01:30:00;    25
31.08.1991 13:00:00;    25
30.09.1991 19:00:00;    19
15.10.1991 22:00:00;    16
01.11.1991 08:45:00;    19
09.12.1991 18:00:00;    17
21.01.1992 03:15:00;    24
01.02.1992 00:00:00;    26
05.03.1992 14:30:00;    27
22.04.1992 15:15:00;    27
30.05.1992 19:30:00;    20
28.06.1992 19:45:00;    16
30.07.1992 16:15:00;    14
02.08.1992 04:15:00;    12
24.09.1992 23:00:00;    11
13.10.1992 15:30:00;    14
02.11.1992 14:30:00;    23
29.12.1992 11:45:00;    26
04.01.1993 10:45:00;    23
23.02.1993 03:30:00;    23
10.03.1993 06:45:00;    17
29.04.1993 22:45:00;    26
28.05.1993 00:30:00;    17
07.06.1993 13:15:00;    15
05.07.1993 14:30:00;    17
22.08.1993 01:15:00;    15
25.09.1993 13:45:00;    22
16.10.1993 10:45:00;    22
27.11.1993 11:00:00;    23
01.12.1993 13:30:00;    24
23.01.1994 01:45:00;    31
19.02.1994 23:45:00;    28
01.03.1994 10:30:00;    32
08.04.1994 08:45:00;    36
31.05.1994 23:59:55;    27
30.06.1994 08:00:00;    20
26.07.1994 23:15:00;    11
01.08.1994 14:45:00;     7
28.09.1994 23:45:00;    13
21.10.1994 11:30:00;    13
04.11.1994 19:30:00;    14
03.12.1994 14:00:00;    20
08.01.1995 23:45:00;    26
12.02.1995 20:15:00;    31
17.03.1995 03:15:00;    30
30.04.1995 23:59:55;    31
28.05.1995 23:00:00;    25
04.06.1995 16:00:00;    25
26.07.1995 08:00:00;    16
04.08.1995 08:30:00;    18
27.09.1995 04:30:00;    27
23.10.1995 07:00:00;    21
01.11.1995 15:45:00;    31
09.12.1995 12:15:00;    29
23.01.1996 21:45:00;    22
29.02.1996 06:00:00;    17
04.03.1996 23:45:00;    13
22.04.1996 10:15:00;    31
08.05.1996 11:00:00;    30
29.06.1996 10:45:00;    31
24.07.1996 02:15:00;    23
20.08.1996 22:45:00;    24
01.09.1996 00:00:00;    26
18.10.1996 15:15:00;    29
12.11.1996 08:15:00;    33
30.12.1996 12:30:00;    30
15.01.1997 23:07:05;    21
02.02.1997 05:41:05;    20
15.03.1997 07:42:55;    33
25.04.1997 20:04:15;    34
30.05.1997 20:01:10;    27
30.06.1997 21:09:35;    22
01.07.1997 16:31:20;    22
28.08.1997 19:04:50;    23
27.09.1997 08:02:25;    21
09.10.1997 16:42:50;    19
13.11.1997 10:28:35;    24
09.12.1997 04:16:00;    31
31.01.1998 06:10:20;    24
01.02.1998 08:28:00;    24
05.03.1998 05:56:55;    26
30.04.1998 23:59:55;    30
30.05.1998 08:22:55;    24
30.06.1998 22:13:50;    18
01.07.1998 21:22:55;    18
17.08.1998 23:08:50;    15
01.09.1998 22:38:05;    19
22.10.1998 21:35:00;    26
08.11.1998 22:56:40;    35
10.12.1998 00:53:55;    26
25.01.1999 04:58:10;    30
02.02.1999 16:19:40;    31
27.03.1999 21:06:40;    30
27.04.1999 12:23:45;    29
31.05.1999 22:56:35;    29
30.06.1999 23:59:55;    23
04.07.1999 22:14:40;    20
09.08.1999 13:50:45;    18
30.09.1999 07:01:35;    16
01.10.1999 20:29:40;    17
01.11.1999 18:46:05;    21
04.12.1999 15:28:05;    25
26.01.2000 16:50:15;    28
07.02.2000 21:26:40;    38
03.03.2000 23:48:25;    40
30.04.2000 10:32:35;    27
28.05.2000 02:08:50;    22
21.06.2000 22:44:25;    19
22.07.2000 11:00:45;    17
27.08.2000 10:49:35;    20
13.09.2000 20:20:15;    20
01.10.2000 14:45:30;    21
14.11.2000 10:25:15;    22
10.12.2000 15:01:40;    23
02.01.2001 07:11:55;    23
03.02.2001 09:25:15;    29
02.03.2001 19:28:05;    30
06.04.2001 21:11:05;    32
31.05.2001 09:05:00;    22
27.06.2001 04:37:40;    21
29.07.2001 10:42:35;    19
31.08.2001 02:47:10;    17
04.09.2001 08:41:10;    21
31.10.2001 08:36:45;    23
01.11.2001 23:44:30;    21
23.12.2001 22:26:25;    26
19.01.2002 21:29:35;    28
19.02.2002 03:26:40;    29
19.03.2002 07:11:50;    28
24.04.2002 00:31:40;    27
31.05.2002 16:19:00;    18
05.06.2002 06:17:20;    18
24.07.2002 12:44:10;    16
01.08.2002 22:55:55;    18
18.09.2002 07:22:15;    26
04.10.2002 11:44:25;    28
30.11.2002 18:21:05;    36
16.12.2002 15:32:50;    32
23.01.2003 09:02:25;    36
18.02.2003 07:00:25;    28
30.03.2003 15:50:55;    28
30.04.2003 12:31:50;    24
31.05.2003 16:47:25;    19
26.06.2003 10:32:30;    18
17.07.2003 09:51:15;    17
14.08.2003 21:36:05;    15
22.09.2003 19:44:20;    15
25.10.2003 10:52:05;    18
08.11.2003 06:47:35;    19
11.12.2003 01:36:00;    17
07.01.2004 04:31:00;    18
01.02.2004 00:00:00;    26
06.03.2004 03:43:45;    24
30.04.2004 06:51:40;    28
26.05.2004 08:22:50;    21
01.06.2004 01:05:25;    23
20.07.2004 11:46:45;    22
20.08.2004 07:48:10;    19
10.09.2004 04:46:35;    19
08.10.2004 01:00:00;    22
05.11.2004 13:53:10;    23
20.12.2004 23:01:15;    21
01.01.2005 05:36:10;    27
