Messstelle:                ;Mödling
HZB-Nummer:                ;208108
HD-Nummer:                 ;no415
DBMS-Nummer:               ;3001049
Gewässer:                  ;Mödling
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;59
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00223,46
   17.07.2000              ;00222,43
   01.01.2018              ;00223,23
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1896              ;746080,00 - 327182,00
Exportzeitreihe:           ;(3001049,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:00,01.01.2022 00:00]
Werte:
19.06.1990 20:15:00;    79
23.07.1990 18:00:00;    75
06.08.1990 14:00:00;    75
01.09.1990 00:00:00;    77
01.10.1990 14:00:00;    76
10.11.1990 11:30:00;    77
03.12.1990 11:15:00;    76
26.01.1991 04:45:00;    74
28.02.1991 08:30:00;    75
01.03.1991 00:00:00;    75
04.04.1991 02:00:00;    77
01.05.1991 00:00:00;    79
30.06.1991 23:59:55;    79
04.07.1991 00:00:00;    76
24.08.1991 01:00:00;    79
22.09.1991 00:15:00;    77
21.10.1991 00:15:00;    74
01.11.1991 00:00:00;    77
13.12.1991 00:00:00;    76
10.01.1992 19:30:00;    84
01.02.1992 00:00:00;    84
14.03.1992 03:00:00;    86
27.04.1992 11:30:00;    85
23.05.1992 00:00:00;    80
03.06.1992 18:15:00;    79
11.07.1992 18:30:00;    76
12.08.1992 08:00:00;    74
01.09.1992 06:15:00;    73
01.10.1992 00:00:00;    74
03.11.1992 14:15:00;    77
05.12.1992 14:45:00;    79
23.01.1993 09:15:00;    79
23.02.1993 04:45:00;    79
10.03.1993 08:30:00;    78
30.04.1993 23:59:55;    83
31.05.1993 23:59:55;    79
23.06.1993 15:45:00;    76
06.07.1993 06:15:00;    77
23.08.1993 00:00:00;    74
27.09.1993 10:30:00;    77
18.10.1993 21:15:00;    75
27.11.1993 09:30:00;    75
01.12.1993 00:00:00;    78
01.01.1994 00:15:00;    80
15.02.1994 13:45:00;    79
01.03.1994 00:00:00;    80
11.04.1994 00:00:00;    83
31.05.1994 23:59:55;    82
30.06.1994 10:30:00;    78
31.07.1994 23:59:55;    74
17.08.1994 00:00:00;    72
11.09.1994 21:45:00;    73
01.10.1994 00:00:00;    73
01.11.1994 00:00:00;    77
25.12.1994 00:00:00;    76
09.01.1995 10:30:00;    73
13.02.1995 14:15:00;    78
18.03.1995 01:00:00;    79
01.04.1995 00:00:00;    84
19.05.1995 13:30:00;    80
04.06.1995 00:00:00;    80
23.07.1995 14:00:00;    76
02.08.1995 05:30:00;    76
01.09.1995 06:30:00;    78
16.10.1995 00:00:00;    78
01.11.1995 03:00:00;    79
08.12.1995 00:00:00;    82
31.01.1996 08:00:00;    79
06.02.1996 11:15:00;    78
05.03.1996 06:45:00;    79
27.04.1996 20:30:00;    89
29.05.1996 18:30:00;    86
14.06.1996 00:30:00;    82
26.07.1996 10:15:00;    80
01.08.1996 20:00:00;    79
01.09.1996 00:00:00;    80
20.10.1996 21:00:00;    80
27.11.1996 17:15:00;    81
26.12.1996 10:00:00;    77
27.01.1997 05:44:10;    77
03.02.1997 07:52:25;    76
09.03.1997 01:00:20;    81
30.04.1997 16:33:15;    88
21.05.1997 23:32:50;    84
16.06.1997 08:15:30;    79
04.07.1997 06:22:05;    81
27.08.1997 20:48:15;    78
14.09.1997 12:23:30;    76
01.10.1997 05:31:50;    78
05.11.1997 23:24:40;    79
31.12.1997 22:24:15;    86
27.01.1998 03:41:35;    80
01.02.1998 07:57:30;    77
04.03.1998 20:09:05;    80
15.04.1998 16:07:10;    86
15.05.1998 22:32:40;    84
08.06.1998 15:27:40;    81
22.07.1998 16:10:05;    81
21.08.1998 02:20:10;    80
12.09.1998 05:21:25;    83
04.10.1998 17:44:15;    85
08.11.1998 19:04:15;    86
31.12.1998 23:45:30;    87
31.01.1999 23:59:55;    85
01.02.1999 00:08:55;    85
31.03.1999 23:59:55;    90
07.04.1999 10:43:30;    88
20.05.1999 16:56:00;    87
30.06.1999 23:59:55;    86
01.07.1999 06:49:05;    86
06.08.1999 17:55:50;    87
25.09.1999 06:05:30;    86
26.10.1999 08:39:05;    87
01.11.1999 00:00:00;    89
23.12.1999 00:17:35;    87
14.01.2000 09:22:15;    86
20.02.2000 03:34:45;    97
25.03.2000 12:10:15;    96
30.04.2000 23:59:55;    95
18.05.2000 17:39:45;    89
30.06.2000 23:59:55;    86
17.07.2000 14:59:00;    81
