Messstelle:                ;Mettmach
HZB-Nummer:                ;204693
HD-Nummer:                 ;2460
DBMS-Nummer:               ;4001019
Gewässer:                  ;Mettmach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;30,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1961              ;00457,34
   01.01.2015              ;00454,00
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1961              ;450935,00 - 337355,00
   01.01.2015              ;450779,42 - 337521,00
   24.03.2020              ;450781,44 - 337530,63
Exportzeitreihe:           ;(4001019,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:30,01.01.2022 00:00]
Werte:
01.04.1990 03:30:00;    33
19.05.1990 20:30:00;    27
02.06.1990 17:45:00;    28
30.07.1990 15:00:00;    28
13.08.1990 14:30:00;    26
04.09.1990 17:45:00;    28
21.10.1990 15:30:00;    24
09.11.1990 15:30:00;    28
01.12.1990 10:15:00;    32
23.01.1991 10:30:00;    32
13.02.1991 00:01:00;    31
08.03.1991 12:15:00;    31
25.04.1991 18:45:00;    29
01.05.1991 08:00:00;    30
01.06.1991 10:15:00;    31
11.07.1991 19:15:00;    30
18.08.1991 11:30:00;    31
06.09.1991 23:00:00;    30
14.10.1991 20:45:00;    30
05.11.1991 09:45:00;    29
06.12.1991 18:15:00;    31
14.01.1992 09:45:00;    30
03.02.1992 22:45:00;    31
07.03.1992 13:15:00;    32
02.04.1992 19:30:00;    30
25.05.1992 21:00:00;    29
08.06.1992 10:00:00;    28
09.07.1992 23:15:00;    29
07.08.1992 21:45:00;    24
19.09.1992 00:00:00;    28
03.10.1992 12:15:00;    27
10.11.1992 15:30:00;    29
23.12.1992 18:30:00;    28
01.01.1993 00:00:00;    32
10.02.1993 13:15:00;    31
07.03.1993 22:30:00;    29
23.04.1993 15:45:00;    29
24.05.1993 10:15:00;    27
09.06.1993 18:15:00;    27
10.07.1993 20:45:00;    27
05.08.1993 13:45:00;    29
24.09.1993 15:30:00;    28
16.10.1993 13:00:00;    29
06.11.1993 13:30:00;    29
07.12.1993 10:30:00;    30
13.01.1994 01:00:00;    31
08.02.1994 17:30:00;    31
31.03.1994 20:00:00;    32
01.04.1994 13:45:00;    32
12.05.1994 13:30:00;    31
02.06.1994 17:45:00;    31
25.07.1994 00:00:00;    29
06.08.1994 16:30:00;    30
12.09.1994 23:00:00;    30
01.10.1994 23:45:00;    32
10.11.1994 19:30:00;    29
03.12.1994 17:30:00;    32
04.01.1995 03:45:00;    32
08.02.1995 16:00:00;    31
01.03.1995 13:30:00;    32
30.04.1995 23:59:55;    32
30.05.1995 00:00:00;    29
01.06.1995 08:00:00;    30
31.07.1995 17:00:00;    27
03.08.1995 21:00:00;    24
12.09.1995 16:45:00;    29
08.10.1995 18:00:00;    29
27.11.1995 21:15:00;    31
13.12.1995 12:00:00;    30
07.01.1996 02:45:00;    31
09.02.1996 00:00:00;    31
06.03.1996 05:30:00;    30
04.04.1996 04:30:00;    28
07.05.1996 16:00:00;    29
16.06.1996 16:00:00;    29
19.07.1996 17:15:00;    24
26.08.1996 20:30:00;    27
09.09.1996 15:15:00;    26
01.10.1996 11:15:00;    23
13.11.1996 02:45:00;    31
16.12.1996 17:00:00;    29
29.01.1997 14:22:55;    31
02.02.1997 16:52:35;    30
14.03.1997 15:44:40;    34
25.04.1997 09:42:15;    26
17.05.1997 14:55:00;    27
13.06.1997 14:19:00;    26
02.07.1997 21:14:55;    25
24.08.1997 00:41:05;    27
10.09.1997 11:43:25;    26
31.10.1997 12:30:05;    25
26.11.1997 17:32:35;    27
10.12.1997 14:13:40;    30
14.01.1998 08:53:45;    30
16.02.1998 17:47:20;    25
27.03.1998 05:49:45;    28
04.04.1998 07:59:25;    29
24.05.1998 21:29:45;    20
26.06.1998 17:36:55;    24
16.07.1998 20:56:10;    24
07.08.1998 13:20:40;    20
02.09.1998 16:43:55;    25
11.10.1998 16:10:50;    23
06.11.1998 08:16:25;    25
06.12.1998 14:01:50;    28
29.01.1999 09:40:20;    29
16.02.1999 05:10:50;    29
01.03.1999 18:17:10;    30
02.04.1999 15:49:20;    32
30.05.1999 19:05:05;    32
23.06.1999 08:03:10;    28
04.07.1999 16:18:35;    25
25.08.1999 17:35:35;    26
24.09.1999 09:30:15;    21
07.10.1999 07:43:45;    20
01.11.1999 11:36:25;    23
04.12.1999 00:02:40;    27
14.01.2000 03:27:10;    25
07.02.2000 06:38:00;    22
24.03.2000 18:23:05;    21
27.04.2000 08:12:00;    20
26.05.2000 23:38:15;    17
18.06.2000 17:47:55;    14
01.07.2000 18:20:30;    14
20.08.2000 22:08:35;    12
16.09.2000 09:22:40;    14
25.10.2000 00:25:10;    12
01.11.2000 00:00:00;    14
14.12.2000 21:45:40;    17
22.01.2001 14:18:35;    17
21.02.2001 12:11:35;    17
01.03.2001 20:16:35;    17
04.04.2001 06:50:25;    18
10.05.2001 12:56:45;    17
30.06.2001 23:59:55;    17
04.07.2001 11:53:30;    13
09.08.2001 01:29:25;    16
21.09.2001 16:28:10;    19
31.10.2001 00:46:55;    13
