Messstelle:                ;Kaprun
HZB-Nummer:                ;203109
HD-Nummer:                 ;
DBMS-Nummer:               ;5001010
Gewässer:                  ;Kapruner Ache
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Verbund Hydro Power AG
orogr.Einzugsgebiet [km²]: ;88,6
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00763,83
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1920              ;406580,00 - 237230,00
Exportzeitreihe:           ;(5001010,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:15,01.01.2022 00:00]
Werte:
24.08.1990 04:15:00;    35
23.09.1990 22:30:00;    38
29.10.1990 05:45:00;    36
25.11.1990 16:15:00;    35
23.12.1990 18:15:00;    32
27.01.1991 14:45:00;    30
17.02.1991 16:00:00;    29
02.03.1991 10:15:00;    28
25.04.1991 00:45:00;    33
08.05.1991 14:15:00;    33
01.06.1991 09:15:00;    46
23.07.1991 12:15:00;    55
31.08.1991 22:15:00;    48
29.09.1991 16:30:00;    41
10.10.1991 23:15:00;    24
05.11.1991 16:15:00;    27
18.12.1991 15:45:00;    26
28.01.1992 13:45:00;    27
19.02.1992 05:15:00;    25
05.03.1992 02:15:00;    26
04.04.1992 05:45:00;    35
01.05.1992 09:45:00;    50
23.06.1992 13:45:00;    46
31.07.1992 02:30:00;    48
30.08.1992 13:15:00;    41
26.09.1992 16:45:00;    36
15.10.1992 22:45:00;    21
04.11.1992 11:15:00;    26
24.12.1992 20:15:00;    35
23.01.1993 07:45:00;    32
27.02.1993 22:15:00;    30
25.03.1993 15:15:00;    27
01.04.1993 04:00:00;    29
17.05.1993 14:45:00;    46
15.06.1993 01:15:00;    49
21.07.1993 01:30:00;    44
22.08.1993 03:30:00;    45
29.09.1993 18:15:00;    41
08.10.1993 20:30:00;    39
24.11.1993 14:45:00;    27
13.12.1993 16:00:00;    23
30.01.1994 15:45:00;    30
23.02.1994 01:15:00;    26
31.03.1994 14:30:00;    25
