Messstelle:                ;Sturmmühle
HZB-Nummer:                ;206037
HD-Nummer:                 ;9520
DBMS-Nummer:               ;4001145
Gewässer:                  ;Klambach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;87,6
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.06.1955              ;00232,56
   01.01.1971              ;00231,56
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1976              ;557410,00 - 342600,00
   27.03.2020              ;557396,91 - 342600,85
Exportzeitreihe:           ;(4001145,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 02:00,01.01.2022 00:00]
Werte:
09.06.1990 15:30:00;   120
01.07.1990 04:45:00;   125
29.08.1990 08:15:00;   117
17.09.1990 17:00:00;   117
15.10.1990 15:00:00;   117
14.11.1990 17:30:00;   127
26.12.1990 01:30:00;   124
31.01.1991 03:30:00;   119
28.02.1991 13:45:00;   125
01.03.1991 05:45:00;   126
13.04.1991 05:30:00;   119
01.05.1991 06:15:00;   125
06.06.1991 20:30:00;   127
13.07.1991 10:15:00;   125
31.08.1991 20:00:00;   130
28.09.1991 06:00:00;   123
09.10.1991 00:30:00;   122
14.11.1991 09:15:00;   120
09.12.1991 08:15:00;   119
04.01.1992 02:30:00;   129
03.02.1992 10:30:00;   131
12.03.1992 18:00:00;   137
29.04.1992 15:15:00;   131
27.05.1992 19:15:00;   122
01.06.1992 08:00:00;   125
24.07.1992 17:15:00;   117
24.08.1992 15:45:00;   116
25.09.1992 16:00:00;   115
08.10.1992 17:30:00;   121
07.11.1992 16:30:00;   120
25.12.1992 05:30:00;   122
29.01.1993 17:00:00;   120
22.02.1993 22:15:00;   119
10.03.1993 03:30:00;   119
30.04.1993 16:00:00;   126
20.05.1993 12:45:00;   115
02.06.1993 20:15:00;   116
05.07.1993 07:15:00;   120
22.08.1993 21:15:00;   118
21.09.1993 17:00:00;   122
23.10.1993 12:30:00;   126
05.11.1993 11:00:00;   121
01.12.1993 11:30:00;   115
19.01.1994 05:00:00;   126
16.02.1994 12:00:00;   129
01.03.1994 05:45:00;   131
09.04.1994 12:00:00;   137
18.05.1994 17:30:00;   128
29.06.1994 05:30:00;   128
18.07.1994 16:45:00;   120
16.08.1994 03:15:00;   114
19.09.1994 08:00:00;   114
01.10.1994 13:45:00;   114
10.11.1994 16:00:00;   122
18.12.1994 10:15:00;   121
17.01.1995 01:00:00;   117
14.02.1995 07:45:00;   140
13.03.1995 15:15:00;   133
29.04.1995 18:00:00;   136
31.05.1995 19:45:00;   128
20.06.1995 07:30:00;   129
12.07.1995 16:45:00;   116
02.08.1995 12:30:00;   118
12.09.1995 15:00:00;   129
24.10.1995 12:15:00;   123
01.11.1995 10:15:00;   127
22.12.1995 03:45:00;   131
20.01.1996 22:15:00;   121
23.02.1996 21:15:00;   114
04.03.1996 04:00:00;   118
29.04.1996 11:15:00;   135
07.05.1996 16:15:00;   134
29.06.1996 18:30:00;   125
30.07.1996 06:30:00;   121
11.08.1996 16:15:00;   120
11.09.1996 15:15:00;   126
01.10.1996 06:00:00;   129
13.11.1996 09:00:00;   134
22.12.1996 05:15:00;   122
30.01.1997 14:05:00;   125
02.02.1997 03:25:00;   120
14.03.1997 21:25:00;   134
27.04.1997 05:20:00;   130
19.05.1997 04:20:00;   127
30.06.1997 10:05:00;   123
03.07.1997 08:45:00;   116
28.08.1997 20:10:00;   127
13.09.1997 07:20:00;   122
10.10.1997 07:45:00;   117
04.11.1997 17:25:00;   118
25.12.1997 09:20:00;   129
26.01.1998 19:30:00;   125
01.02.1998 13:20:00;   119
05.03.1998 15:10:00;   124
12.04.1998 09:15:00;   128
11.05.1998 08:35:00;   118
04.06.1998 05:45:00;   117
02.07.1998 03:25:00;   124
26.08.1998 07:05:00;   120
02.09.1998 19:55:00;   123
23.10.1998 11:00:00;   128
24.11.1998 13:35:00;   137
09.12.1998 02:10:00;   127
22.01.1999 08:20:00;   130
16.02.1999 00:15:00;   129
30.03.1999 14:35:00;   139
19.04.1999 10:55:00;   126
10.05.1999 06:05:00;   126
16.06.1999 07:50:00;   126
06.07.1999 08:45:00;   122
02.08.1999 08:05:00;   121
15.09.1999 14:05:00;   119
12.10.1999 14:10:00;   117
19.11.1999 14:35:00;   122
10.12.1999 12:40:00;   122
22.01.2000 09:45:00;   122
24.02.2000 17:25:00;   143
26.03.2000 10:05:00;   145
25.04.2000 07:30:00;   128
