Messstelle:                ;Hammerjäger
HZB-Nummer:                ;211920
HD-Nummer:                 ;ow2494
DBMS-Nummer:               ;6001140
Gewässer:                  ;Ingeringbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;198,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1994              ;00748,95
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1994              ;630546,00 - 235942,90
   01.01.2018              ;630539,10 - 235944,30
Exportzeitreihe:           ;(6001140,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1994 00:15,01.01.2022 00:00]
Werte:
23.06.2008 20:15:00;    97
17.07.2008 13:45:00;    96
27.08.2008 09:00:00;    96
11.09.2008 23:45:00;    93
02.10.2008 11:30:00;    92
24.11.2008 06:15:00;    99
29.12.2008 07:30:00;    90
08.01.2009 00:19:05;    93
03.02.2009 16:30:00;    90
14.03.2009 15:30:00;    94
06.04.2009 08:19:35;   102
05.05.2009 09:33:40;   127
19.06.2009 00:45:00;   117
30.07.2009 11:45:00;   112
03.08.2009 10:15:00;    97
03.09.2009 07:45:00;   111
06.10.2009 06:15:00;    96
30.11.2009 08:15:00;    96
29.12.2009 20:15:00;    92
27.01.2010 07:45:00;    91
09.02.2010 08:15:00;    91
15.03.2010 08:15:00;    94
07.04.2010 05:30:00;   100
20.05.2010 16:15:00;   117
13.06.2010 16:45:00;   100
17.07.2010 19:00:00;    95
12.08.2010 18:45:00;    93
14.09.2010 14:45:00;   105
22.10.2010 06:45:00;    95
07.11.2010 16:00:00;    96
16.12.2010 23:00:00;    93
24.01.2011 09:45:00;    93
07.02.2011 08:30:00;    91
23.03.2011 13:30:00;    92
19.04.2011 14:45:00;    95
25.05.2011 12:15:00;    94
16.06.2011 15:30:00;   104
13.07.2011 16:30:00;    93
11.08.2011 07:08:00;    96
15.09.2011 13:23:00;    93
07.10.2011 05:23:00;    96
14.11.2011 08:23:00;    92
05.12.2011 03:53:00;    93
27.01.2012 06:23:00;    92
17.02.2012 02:23:00;    93
14.03.2012 17:38:00;    94
27.04.2012 14:38:00;   102
17.05.2012 19:53:00;   110
19.06.2012 18:53:00;   107
09.07.2012 08:53:00;   105
17.08.2012 12:38:00;   109
29.09.2012 09:08:00;   109
15.10.2012 20:08:00;   107
07.11.2012 11:53:00;   117
09.12.2012 20:53:00;   107
24.01.2013 08:38:00;   109
17.02.2013 16:23:00;   104
03.03.2013 18:08:00;   107
04.04.2013 12:23:00;   115
30.05.2013 08:23:00;   107
18.06.2013 06:53:00;   116
29.07.2013 17:38:00;    99
08.08.2013 15:08:00;    98
09.09.2013 07:38:00;   102
11.10.2013 00:38:00;   103
10.11.2013 01:22:00;   116
24.12.2013 23:22:00;   109
26.01.2014 10:07:00;   110
27.02.2014 09:07:00;   100
21.03.2014 13:07:00;    99
01.04.2014 15:52:00;   115
06.05.2014 11:07:00;   122
