Messstelle:                ;Hinterer Gosausee
HZB-Nummer:                ;205575
HD-Nummer:                 ;4155
DBMS-Nummer:               ;4003155
Gewässer:                  ;Hinterer Gosausee
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;16,1
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.10.2002              ;01110,76
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.2020              ;465970,00 - 262808,00
Exportzeitreihe:           ;(4003155,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[17.10.2002 16:00,01.01.2022 00:00]
Werte:
01.07.2016 00:00:00;  3209
28.08.2016 19:00:00;  3415
30.09.2016 23:59:55;  3266
31.10.2016 23:59:55;  2667
30.11.2016 23:59:55;  2126
31.12.2016 23:59:55;  1642
31.01.2017 22:00:00;  1266
21.02.2017 07:00:00;  1100
17.03.2017 08:00:00;  1072
01.04.2017 00:00:00;  1252
01.05.2017 10:00:00;  1350
01.06.2017 00:00:00;  2279
02.07.2017 12:00:00;  2799
31.08.2017 22:00:00;  3160
30.09.2017 23:59:55;  2933
27.10.2017 05:00:00;  2514
30.11.2017 23:00:00;  2097
31.12.2017 23:59:55;  1641
31.01.2018 22:00:00;  1382
28.02.2018 23:00:00;  1126
30.03.2018 11:00:00;  1020
03.04.2018 12:00:00;  1022
01.05.2018 00:00:00;  2074
01.06.2018 00:00:00;  2555
01.07.2018 00:00:00;  3185
30.08.2018 14:00:00;  3024
30.09.2018 23:59:55;  2723
24.10.2018 11:00:00;  2264
30.11.2018 23:00:00;  1797
31.12.2018 23:59:55;  1507
31.01.2019 22:00:00;  1239
28.02.2019 10:00:00;  1094
01.03.2019 00:00:00;  1094
01.04.2019 00:00:00;  1148
01.05.2019 11:00:00;  1790
01.06.2019 00:00:00;  2477
27.07.2019 13:00:00;  3503
