Messstelle:                ;Lochen
HZB-Nummer:                ;204602
HD-Nummer:                 ;2140
DBMS-Nummer:               ;4001010
Gewässer:                  ;Mühlberger Bach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;15,71
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00507,00
   01.01.1990              ;00506,07
   19.04.2022              ;00498,00
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1976              ;438540,00 - 319650,00
   24.03.2020              ;438528,87 - 319647,89
   17.05.2022              ;438396,52 - 320367,85
Exportzeitreihe:           ;(4001010,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:00,01.01.2022 00:00]
Werte:
30.03.1990 01:00:00;    68
19.04.1990 19:00:00;   112
25.05.1990 16:30:00;   106
12.06.1990 19:45:00;   155
08.07.1990 17:00:00;   138
17.08.1990 15:30:00;    85
24.09.1990 12:00:00;   131
08.10.1990 08:45:00;   111
01.11.1990 08:15:00;   131
23.12.1990 00:45:00;   101
03.01.1991 02:45:00;    78
27.02.1991 11:15:00;    81
20.03.1991 10:30:00;    77
01.04.1991 00:45:00;    45
12.05.1991 22:30:00;    92
17.06.1991 23:30:00;   155
17.07.1991 17:30:00;   177
02.08.1991 20:00:00;   200
02.09.1991 05:45:00;    42
18.10.1991 01:15:00;    42
08.11.1991 01:15:00;    89
23.12.1991 01:45:00;   161
05.01.1992 20:00:00;    97
06.02.1992 04:15:00;   117
23.03.1992 05:45:00;   144
22.04.1992 21:00:00;    96
11.05.1992 18:15:00;    85
17.06.1992 19:00:00;   103
06.07.1992 12:00:00;    42
22.08.1992 04:15:00;    38
04.09.1992 06:45:00;   112
26.10.1992 02:00:00;   105
23.11.1992 00:45:00;   157
12.12.1992 14:00:00;   131
29.01.1993 19:15:00;   115
01.02.1993 00:00:00;    58
17.03.1993 16:15:00;   149
19.04.1993 12:30:00;   101
03.05.1993 23:00:00;    64
21.06.1993 14:15:00;   143
29.07.1993 06:45:00;   163
28.08.1993 23:15:00;   134
14.09.1993 13:15:00;   117
24.10.1993 01:30:00;   122
15.11.1993 21:15:00;    58
17.12.1993 20:30:00;   145
25.01.1994 03:45:00;   115
25.02.1994 05:00:00;    61
26.03.1994 09:30:00;   120
13.04.1994 13:30:00;   162
19.05.1994 18:45:00;   104
05.06.1994 17:00:00;    99
21.07.1994 01:00:00;    47
25.08.1994 11:15:00;   184
17.09.1994 15:30:00;    44
04.10.1994 03:15:00;   107
20.11.1994 06:15:00;   121
28.12.1994 14:00:00;   173
25.01.1995 20:45:00;   152
16.02.1995 16:45:00;    82
19.03.1995 23:15:00;   116
02.04.1995 02:15:00;   153
14.05.1995 04:15:00;   117
26.06.1995 01:00:00;   175
23.07.1995 06:30:00;   102
30.08.1995 04:15:00;   129
02.09.1995 03:30:00;   168
02.10.1995 02:30:00;    61
17.11.1995 17:45:00;   109
20.12.1995 22:45:00;   142
08.01.1996 16:15:00;    85
01.02.1996 11:30:00;    43
23.03.1996 00:00:05;   105
08.04.1996 17:00:00;    76
14.05.1996 12:15:00;   160
26.06.1996 18:00:00;    92
09.07.1996 03:30:00;   117
24.08.1996 21:45:00;   147
14.09.1996 05:00:00;   162
21.10.1996 20:15:00;   174
01.11.1996 14:00:00;   125
18.12.1996 14:30:00;    74
01.01.1997 00:00:00;    44
12.02.1997 10:52:05;   140
06.03.1997 09:31:35;   103
05.04.1997 23:51:00;   131
18.05.1997 23:34:50;   209
20.06.1997 02:17:45;   149
05.07.1997 21:20:55;   200
01.08.1997 21:25:30;   110
07.09.1997 04:37:50;    75
01.10.1997 23:08:25;   131
30.11.1997 22:10:10;   105
12.12.1997 07:23:20;   146
07.01.1998 08:32:20;    56
17.02.1998 15:22:25;    60
17.03.1998 04:29:50;   156
14.04.1998 18:45:00;    77
22.05.1998 02:33:15;    63
15.06.1998 21:04:15;   129
08.07.1998 19:41:45;   144
23.08.1998 03:05:35;    62
05.09.1998 19:11:30;   109
29.10.1998 18:27:30;   117
10.11.1998 19:33:35;   122
13.12.1998 13:30:30;   116
08.01.1999 10:15:50;   199
20.02.1999 18:09:00;   151
02.03.1999 11:17:00;   136
04.04.1999 23:57:05;   104
21.05.1999 09:35:45;   122
18.06.1999 10:49:30;    78
22.07.1999 23:01:55;   109
29.08.1999 20:28:55;    89
30.09.1999 18:47:40;    93
01.10.1999 02:29:10;    70
09.11.1999 22:35:20;    93
26.12.1999 17:17:40;   117
30.01.2000 13:09:15;   152
19.02.2000 20:45:10;   100
17.03.2000 14:43:30;   152
06.04.2000 04:51:00;    73
31.05.2000 09:54:10;    85
14.06.2000 22:57:50;    96
12.07.2000 09:04:15;   116
06.08.2000 16:04:15;   137
21.09.2000 05:53:30;   141
03.10.2000 12:17:20;   131
04.11.2000 08:21:55;    63
19.12.2000 06:18:05;   102
26.01.2001 07:06:35;    74
04.02.2001 10:18:20;   125
21.03.2001 07:54:55;    98
08.04.2001 14:33:35;   101
18.05.2001 19:38:10;    51
