Messstelle:                ;Oberlaa
HZB-Nummer:                ;209353
HD-Nummer:                 ;W3
DBMS-Nummer:               ;9001003
Gewässer:                  ;Liesing
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Wien (MA 45)
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;101,7
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1980              ;00171,68
   01.01.2005              ;00171,48
   16.05.2018              ;00171,46
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1979              ;755323,29 - 333042,85
Exportzeitreihe:           ;(9001003,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1980 00:30,01.01.2022 00:00]
Werte:
04.06.1994 00:15:00;   163
20.07.1994 03:00:00;   204
24.08.1994 16:15:00;   162
03.09.1994 09:30:00;    81
24.10.1994 18:30:00;   106
11.11.1994 15:15:00;    94
11.12.1994 07:15:00;    78
30.01.1995 23:00:00;    72
26.02.1995 23:30:00;    77
04.03.1995 22:45:00;    85
11.04.1995 15:45:00;   109
13.05.1995 05:45:00;   177
12.06.1995 20:45:00;   169
15.07.1995 06:00:00;   154
29.08.1995 13:45:00;   105
15.09.1995 10:45:00;   143
01.10.1995 04:45:00;    83
03.11.1995 23:15:00;    87
25.12.1995 06:30:00;    90
09.01.1996 03:45:00;    76
16.02.1996 23:00:00;    88
19.03.1996 23:15:00;    82
28.04.1996 16:30:00;   126
09.05.1996 17:30:00;   131
22.06.1996 15:15:00;   173
08.07.1996 16:30:00;   114
27.08.1996 18:45:00;   205
23.09.1996 18:45:00;   153
21.10.1996 06:15:00;    96
14.11.1996 12:30:00;    75
05.12.1996 22:45:00;    65
21.01.1997 21:42:45;    50
13.02.1997 19:21:30;   110
20.03.1997 12:16:15;   125
11.04.1997 20:29:45;   108
22.05.1997 08:49:10;   137
18.06.1997 23:31:10;   134
08.07.1997 05:15:40;   255
18.08.1997 18:02:30;   153
13.09.1997 18:35:05;   110
02.10.1997 12:38:00;   139
14.11.1997 06:39:20;    93
14.12.1997 01:41:10;    99
23.01.1998 12:33:30;    64
12.02.1998 22:56:10;    73
17.03.1998 22:50:45;   158
12.04.1998 17:59:30;   114
18.05.1998 20:19:45;   119
22.06.1998 14:31:15;   195
27.07.1998 21:04:35;   151
21.08.1998 19:46:30;   146
05.09.1998 21:45:40;   160
29.10.1998 04:05:35;   117
10.11.1998 19:56:00;   105
15.12.1998 06:26:20;   103
08.01.1999 03:00:15;    80
20.02.1999 22:48:45;   147
07.03.1999 14:57:25;   126
17.04.1999 08:30:10;   105
20.05.1999 22:06:15;   203
22.06.1999 09:23:30;    90
09.07.1999 13:16:55;   157
10.08.1999 00:36:30;   174
26.09.1999 18:35:20;   156
23.10.1999 23:21:05;    69
10.11.1999 05:14:40;   112
03.12.1999 00:20:25;    78
30.01.2000 11:10:00;   119
09.02.2000 07:55:00;   103
29.03.2000 23:30:00;   145
01.04.2000 23:35:00;    84
18.05.2000 18:45:00;   271
25.06.2000 10:35:00;    72
28.07.2000 23:30:00;   114
03.08.2000 21:55:00;   167
16.09.2000 19:15:00;   255
