Messstelle:                ;Timelkam
HZB-Nummer:                ;205393
HD-Nummer:                 ;5490
DBMS-Nummer:               ;4001086
Gewässer:                  ;Vöckla
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;331,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1940              ;00441,65
   01.01.1977              ;00441,60
   05.12.1989              ;00441,00
   01.01.2006              ;00441,65
   29.06.2013              ;00442,00
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1962              ;470600,00 - 318500,00
   29.06.2013              ;470204,30 - 318586,40
   01.01.2020              ;470298,62 - 318612,52
Exportzeitreihe:           ;(4001086,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:30,01.01.2022 00:00]
Werte:
21.01.1990 17:30:00;   129
15.02.1990 18:30:00;   380
01.03.1990 02:30:00;   233
25.04.1990 18:45:00;   186
25.05.1990 19:45:00;   158
11.06.1990 06:00:00;   264
04.07.1990 14:45:00;   240
27.08.1990 00:15:00;   137
24.09.1990 13:15:00;   241
30.10.1990 16:00:00;   165
19.11.1990 21:45:00;   247
30.12.1990 16:15:00;   167
03.01.1991 10:15:00;   185
25.02.1991 18:30:00;   151
20.03.1991 10:30:00;   175
06.04.1991 11:15:00;   114
18.05.1991 09:15:00;   148
27.06.1991 18:00:00;   301
17.07.1991 19:45:00;   317
02.08.1991 23:15:00;   491
23.09.1991 15:15:00;   117
04.10.1991 15:00:00;   140
08.11.1991 08:15:00;   162
23.12.1991 08:00:00;   456
05.01.1992 17:30:00;   168
06.02.1992 04:15:00;   190
23.03.1992 05:15:00;   357
09.04.1992 12:15:00;   145
11.05.1992 22:00:00;   126
13.06.1992 21:45:00;   165
06.07.1992 07:00:00;   133
22.08.1992 06:30:00;   141
04.09.1992 09:00:00;   161
26.10.1992 06:45:00;   188
23.11.1992 03:45:00;   326
12.12.1992 13:45:00;   235
07.01.1993 15:00:00;   249
01.02.1993 00:00:00;   123
17.03.1993 17:00:00;   353
19.04.1993 14:00:00;   206
03.05.1993 20:45:00;   142
17.06.1993 17:00:00;   175
29.07.1993 07:00:00;   264
31.08.1993 07:00:00;   201
29.09.1993 19:45:00;   170
24.10.1993 04:30:00;   226
20.11.1993 23:30:00;   133
20.12.1993 10:30:00;   290
25.01.1994 05:45:00;   188
01.02.1994 00:00:00;   133
26.03.1994 12:45:00;   215
13.04.1994 21:00:00;   453
19.05.1994 21:30:00;   209
05.06.1994 18:45:00;   236
19.07.1994 19:30:00;   114
25.08.1994 15:30:00;   187
09.09.1994 11:15:00;   124
04.10.1994 06:30:00;   147
19.11.1994 03:00:00;   199
28.12.1994 17:45:00;   282
26.01.1995 04:30:00;   248
16.02.1995 18:30:00;   156
19.03.1995 20:00:00;   215
02.04.1995 01:30:00;   354
14.05.1995 04:15:00;   283
26.06.1995 06:00:00;   296
03.07.1995 22:15:00;   166
30.08.1995 06:15:00;   244
02.09.1995 06:00:00;   393
05.10.1995 09:30:00;   140
17.11.1995 22:00:00;   188
21.12.1995 00:45:00;   266
01.01.1996 18:30:00;   121
17.02.1996 19:00:00;   124
22.03.1996 18:15:00;   209
09.04.1996 21:30:00;   172
14.05.1996 10:45:00;   318
01.06.1996 23:30:00;   249
09.07.1996 06:00:00;   184
25.08.1996 01:30:00;   337
14.09.1996 14:45:00;   294
21.10.1996 22:00:00;   391
01.11.1996 21:45:00;   187
02.12.1996 20:00:00;   149
15.01.1997 23:15:35;   107
15.02.1997 12:44:30;   230
17.03.1997 19:31:55;   222
06.04.1997 01:49:15;   270
18.05.1997 18:36:25;   190
20.06.1997 06:15:05;   141
06.07.1997 10:13:05;   448
01.08.1997 19:20:35;   193
07.09.1997 03:40:00;   120
02.10.1997 02:26:30;   195
30.11.1997 18:21:40;   195
12.12.1997 08:15:15;   278
07.01.1998 13:21:45;   118
17.02.1998 20:15:30;   130
17.03.1998 17:48:40;   347
15.04.1998 19:46:10;   139
22.05.1998 00:49:40;   113
27.06.1998 01:00:30;   199
09.07.1998 00:37:20;   177
23.08.1998 03:40:30;   129
18.09.1998 14:51:30;   208
29.10.1998 20:28:20;   235
10.11.1998 22:39:25;   280
15.12.1998 00:20:05;   247
08.01.1999 10:26:40;   221
20.02.1999 22:46:35;   401
02.03.1999 13:28:55;   349
05.04.1999 03:52:00;   159
21.05.1999 09:42:05;   250
27.06.1999 20:30:00;   121
22.07.1999 23:00:00;   158
28.08.1999 20:00:00;   131
03.09.1999 06:45:00;   113
30.10.1999 14:15:00;   114
10.11.1999 11:00:00;   130
19.12.1999 11:30:00;   215
31.01.2000 04:01:30;   326
09.02.2000 06:15:00;   214
17.03.2000 17:45:00;   350
01.04.2000 00:00:00;   176
31.05.2000 16:00:00;   135
15.06.2000 17:15:00;   144
12.07.2000 14:00:00;   137
06.08.2000 22:30:00;   276
21.09.2000 08:15:00;   259
03.10.2000 13:30:00;   251
04.11.2000 09:00:00;   113
19.12.2000 19:30:00;   155
12.01.2001 00:45:00;   124
04.02.2001 15:00:00;   214
24.03.2001 02:45:00;   204
08.04.2001 19:51:15;   168
06.05.2001 02:49:45;   154
11.06.2001 12:02:10;   224
20.07.2001 15:13:40;   228
10.08.2001 17:35:20;   163
09.09.2001 05:01:50;   299
24.10.2001 20:00:00;   148
26.11.2001 16:45:00;   191
30.12.2001 04:30:00;   359
28.01.2002 02:15:00;   310
25.02.2002 21:00:00;   295
21.03.2002 05:15:00;   356
27.04.2002 07:15:00;   145
29.05.2002 22:45:00;   133
07.06.2002 17:45:00;   246
17.07.2002 06:15:00;   194
12.08.2002 15:30:00;   527
27.09.2002 19:00:00;   229
31.10.2002 12:15:00;   208
05.11.2002 03:30:00;   243
23.12.2002 08:15:00;   267
02.01.2003 21:45:00;   265
01.02.2003 00:00:00;   133
12.03.2003 20:15:00;   188
02.04.2003 20:15:00;   116
14.05.2003 05:45:00;   131
05.06.2003 22:30:00;   121
17.07.2003 22:00:00;   135
15.08.2003 14:00:00;   114
12.09.2003 13:30:00;   156
10.10.2003 07:00:00;   182
02.11.2003 13:00:00;   105
14.12.2003 20:45:00;   119
14.01.2004 05:30:00;   277
03.02.2004 02:30:00;   207
16.03.2004 19:45:00;   154
11.04.2004 18:00:00;   158
16.05.2004 10:15:00;   160
03.06.2004 20:15:00;   262
21.07.2004 00:00:00;   234
26.08.2004 09:15:00;   148
24.09.2004 06:30:00;   148
09.10.2004 08:45:00;   221
23.11.2004 20:45:00;   190
24.12.2004 04:15:00;   116
21.01.2005 10:45:00;   184
12.02.2005 21:45:00;   299
18.03.2005 17:30:00;   281
26.04.2005 09:45:00;   251
18.05.2005 19:00:00;   210
10.06.2005 22:45:00;   125
10.07.2005 21:15:00;   286
16.08.2005 14:00:00;   373
29.09.2005 08:45:00;   148
02.10.2005 16:30:00;   125
08.11.2005 17:30:00;    96
16.12.2005 19:30:00;   179
01.01.2006 00:00:00;    99
