Messstelle:                ;St. Leonhard im Pitztal
HZB-Nummer:                ;201335
HD-Nummer:                 ;
DBMS-Nummer:               ;7001031
Gewässer:                  ;Pitze
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Tiroler Wasserkraftwerke-AG.
orogr.Einzugsgebiet [km²]: ;165,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1941              ;01337,45
   01.01.1976              ;01337,97
   01.01.1982              ;01338,77
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1941              ;188765,00 - 214655,00
Exportzeitreihe:           ;(7001031,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[08.04.1954 00:00,01.01.2022 00:00]
Werte:
30.06.1968 18:00:00;   115
11.07.1968 18:00:00;   124
03.08.1968 18:00:00;    93
01.09.1968 18:00:00;    86
29.10.1968 18:00:00;    75
03.11.1968 18:00:00;    67
05.12.1968 18:00:00;    56
11.01.1969 18:00:00;    56
02.02.1969 18:00:00;    54
08.03.1969 18:00:00;    56
30.04.1969 18:00:00;    84
16.05.1969 18:00:00;   100
13.06.1969 18:00:00;   100
27.07.1969 18:00:00;   119
15.08.1969 18:00:00;   108
04.09.1969 00:00:00;    87
01.10.1969 18:00:00;    73
01.11.1969 00:00:00;    63
03.12.1969 18:00:00;    63
01.01.1970 00:00:00;    58
19.02.1970 18:00:00;    63
10.03.1970 18:00:00;    65
23.04.1970 18:00:00;    80
15.05.1970 18:00:00;    88
17.06.1970 18:00:00;   120
25.07.1970 18:00:00;   126
07.08.1970 18:00:00;   124
12.09.1970 18:00:00;   137
07.10.1970 18:00:00;    85
01.11.1970 00:00:00;    71
17.12.1970 18:00:00;    74
05.01.1971 18:00:00;    67
03.02.1971 18:00:00;    63
21.03.1971 18:00:00;    64
23.04.1971 18:00:00;    85
20.05.1971 18:00:00;   100
28.06.1971 18:00:00;   101
18.07.1971 18:00:00;   122
27.08.1971 18:00:00;   137
01.09.1971 18:00:00;    93
02.10.1971 00:00:00;    80
25.11.1971 18:00:00;    75
04.12.1971 18:00:00;    73
30.01.1972 18:00:00;    74
16.02.1972 18:00:00;    72
25.03.1972 00:00:00;    71
25.04.1972 18:00:00;    80
31.05.1972 18:00:00;    94
23.06.1972 18:00:00;   111
25.07.1972 18:00:00;   118
12.08.1972 18:00:00;   110
01.09.1972 18:00:00;    83
09.10.1972 18:00:00;    70
17.11.1972 18:00:00;    84
11.12.1972 18:00:00;    69
12.01.1973 18:00:00;    64
04.02.1973 18:00:00;    62
29.03.1973 18:00:00;    71
30.04.1973 18:00:00;    81
06.05.1973 18:00:00;   104
16.06.1973 18:00:00;   114
18.07.1973 18:00:00;   124
08.08.1973 18:00:00;   111
08.09.1973 18:00:00;    93
02.10.1973 18:00:00;    91
16.11.1973 18:00:00;    77
04.12.1973 18:00:00;    81
20.01.1974 18:00:00;    67
27.02.1974 18:00:00;    75
22.03.1974 18:00:00;    77
14.04.1974 18:00:00;    82
31.05.1974 18:00:00;    98
05.06.1974 18:00:00;   108
19.07.1974 18:00:00;   124
03.08.1974 18:00:00;   117
04.09.1974 18:00:00;    95
01.10.1974 18:00:00;    84
01.11.1974 00:00:00;    72
01.12.1974 18:00:00;    80
03.01.1975 18:00:00;    68
05.02.1975 18:00:00;    72
23.03.1975 18:00:00;    69
24.04.1975 18:00:00;    94
22.05.1975 18:00:00;   110
28.06.1975 18:00:00;   116
18.07.1975 18:00:00;   149
07.08.1975 18:00:00;   117
17.09.1975 18:00:00;   108
01.10.1975 18:00:00;    86
01.11.1975 00:00:00;    72
01.12.1975 18:00:00;    68
08.01.1976 16:00:00;    67
29.02.1976 16:00:00;    64
11.03.1976 06:00:00;    72
20.04.1976 18:00:00;    77
20.05.1976 19:00:00;    93
22.06.1976 01:00:00;   102
18.07.1976 18:00:00;   112
01.08.1976 12:00:00;    95
15.09.1976 18:00:00;    96
01.10.1976 00:00:00;    90
01.11.1976 00:00:00;    78
01.12.1976 00:00:00;    68
01.01.1977 00:00:00;    65
04.02.1977 19:00:00;    62
28.03.1977 02:00:00;    79
30.04.1977 21:00:00;   103
05.05.1977 02:00:00;   111
15.06.1977 15:00:00;   127
05.07.1977 02:00:00;   107
30.08.1977 04:00:00;   105
12.09.1977 19:00:00;    99
01.10.1977 01:00:00;    74
03.11.1977 04:00:00;    73
25.12.1977 05:00:00;    72
06.01.1978 08:00:00;    69
05.02.1978 10:00:00;    75
21.03.1978 17:00:00;    71
30.04.1978 23:59:55;    85
22.05.1978 21:00:00;    96
10.06.1978 15:00:00;   125
19.07.1978 02:00:00;   123
08.08.1978 04:00:00;   131
08.09.1978 11:00:00;    85
04.10.1978 06:00:00;    84
01.11.1978 01:00:00;    68
01.12.1978 00:00:00;    62
01.01.1979 04:00:00;    59
01.02.1979 00:00:00;    58
31.03.1979 23:59:55;    59
16.04.1979 22:00:00;    73
31.05.1979 21:00:00;   117
14.06.1979 04:00:00;   121
31.07.1979 18:00:00;   111
02.08.1979 11:00:00;   122
22.09.1979 02:00:00;    93
01.10.1979 00:00:00;    85
08.11.1979 17:00:00;    74
11.12.1979 14:00:00;    73
09.01.1980 15:00:00;    73
02.02.1980 14:00:00;    65
31.03.1980 23:59:55;    68
18.04.1980 21:00:00;    84
13.05.1980 20:00:00;    96
14.06.1980 22:00:00;   133
09.07.1980 16:00:00;   123
04.08.1980 21:00:00;   131
01.09.1980 00:00:00;    97
17.10.1980 16:00:00;   130
01.11.1980 00:00:00;    79
18.12.1980 13:00:00;    73
