Messstelle:                ;Greimpersdorf
HZB-Nummer:                ;207688
HD-Nummer:                 ;no060
DBMS-Nummer:               ;3001008
Gewässer:                  ;Ybbs
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;1116,6
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00261,00
   01.01.1977              ;00261,73
   01.01.2011              ;00261,89
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1963              ;642756,40 - 331328,00
Exportzeitreihe:           ;(3001008,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:00,01.01.2022 00:00]
Werte:
04.06.1990 06:45:00;    80
31.07.1990 17:45:00;    81
05.08.1990 01:15:00;    70
03.09.1990 14:30:00;    72
19.10.1990 15:00:00;    79
09.11.1990 08:45:00;    83
09.12.1990 17:45:00;    90
31.01.1991 23:59:55;    83
16.02.1991 10:45:00;    71
02.03.1991 01:30:00;    87
10.04.1991 13:00:00;    80
10.05.1991 19:45:00;   103
26.06.1991 00:15:00;    79
08.07.1991 04:15:00;    87
27.08.1991 04:00:00;    91
13.09.1991 00:45:00;    67
11.10.1991 01:00:00;    76
03.11.1991 14:45:00;    75
10.12.1991 14:15:00;    71
29.01.1992 10:00:00;    86
03.02.1992 13:00:00;    86
13.03.1992 16:45:00;   108
18.04.1992 12:45:00;    99
29.05.1992 09:45:00;    88
26.06.1992 07:00:00;    85
04.07.1992 17:15:00;    73
28.08.1992 12:30:00;    65
17.09.1992 00:30:00;    70
13.10.1992 04:00:00;    74
01.11.1992 18:15:00;    84
30.12.1992 10:15:00;    81
06.01.1993 09:45:00;    77
17.02.1993 02:00:00;    88
01.03.1993 14:45:00;    82
01.04.1993 13:45:00;   112
25.05.1993 19:00:00;    83
11.06.1993 11:00:00;    72
05.07.1993 08:15:00;    81
22.08.1993 12:30:00;    81
17.09.1993 04:45:00;    79
02.10.1993 11:45:00;    79
07.11.1993 16:45:00;    79
01.12.1993 19:15:00;    81
23.01.1994 09:15:00;    90
20.02.1994 07:45:00;    83
03.03.1994 09:15:00;    94
09.04.1994 08:15:00;   104
17.05.1994 14:00:00;    97
24.06.1994 20:00:00;    87
18.07.1994 13:30:00;    80
10.08.1994 20:15:00;    72
09.09.1994 08:45:00;    65
01.10.1994 16:45:00;    73
07.11.1994 04:00:00;    71
19.12.1994 06:00:00;    85
16.01.1995 11:00:00;    85
05.02.1995 08:45:00;   107
10.03.1995 13:30:00;    87
01.04.1995 05:30:00;   117
24.05.1995 19:15:00;   101
21.06.1995 16:30:00;    89
23.07.1995 01:00:00;    83
07.08.1995 13:45:00;    79
27.09.1995 22:15:00;    89
19.10.1995 14:00:00;    76
01.11.1995 07:15:00;    85
08.12.1995 08:15:00;    83
25.01.1996 03:45:00;    80
02.02.1996 05:00:00;    74
15.03.1996 13:30:00;    78
01.04.1996 14:15:00;   101
12.05.1996 03:45:00;   117
15.06.1996 07:45:00;    88
30.07.1996 04:00:00;    89
30.08.1996 09:30:00;    81
01.09.1996 21:00:00;    83
16.10.1996 07:30:00;    96
28.11.1996 15:30:00;    87
28.12.1996 09:45:00;    80
13.01.1997 16:40:20;    76
05.02.1997 02:52:35;    75
12.03.1997 15:05:05;    94
17.04.1997 19:07:25;    91
28.05.1997 13:02:50;   101
28.06.1997 09:13:00;    82
04.07.1997 13:49:00;    81
27.08.1997 18:06:15;    82
15.09.1997 10:35:05;    75
10.10.1997 15:11:00;    80
03.11.1997 20:46:40;    80
08.12.1997 17:38:15;    99
25.01.1998 18:10:45;    82
11.02.1998 11:48:20;    79
03.03.1998 15:05:50;    89
25.04.1998 01:45:20;   105
16.05.1998 13:39:25;    92
09.06.1998 06:18:05;    83
01.07.1998 00:00:00;    88
31.08.1998 16:05:15;    79
02.09.1998 23:31:50;    82
07.10.1998 17:40:00;    95
29.11.1998 13:16:45;    97
12.12.1998 12:48:55;    86
30.01.1999 18:48:20;    88
01.02.1999 04:01:35;    88
23.03.1999 13:41:20;   103
21.04.1999 17:47:30;   114
31.05.1999 14:37:40;   102
30.06.1999 18:04:00;    86
07.07.1999 15:56:55;    80
12.08.1999 10:29:15;    80
15.09.1999 11:52:05;    75
28.10.1999 16:00:05;    77
02.11.1999 15:29:20;    81
17.12.1999 15:13:30;    84
26.01.2000 03:15:00;    81
23.02.2000 11:45:00;   108
07.03.2000 15:00:00;   116
10.04.2000 17:15:00;   121
24.05.2000 00:15:00;    89
19.06.2000 17:15:00;    79
06.07.2000 19:00:00;    77
31.08.2000 15:30:00;    76
