Messstelle:                ;Au (Mittlere Au)
HZB-Nummer:                ;206292
HD-Nummer:                 ;6260
DBMS-Nummer:               ;4001171
Gewässer:                  ;Laudach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;72,2
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1979              ;00367,00
   24.11.1988              ;00367,71
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1978              ;493445,00 - 322375,00
   26.03.2020              ;493451,00 - 322391,00
   27.03.2020              ;493446,85 - 322393,79
   28.03.2020              ;493446,70 - 322393,45
Exportzeitreihe:           ;(4001171,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1979 00:00,01.01.2022 00:00]
Werte:
09.03.1993 00:00:00;   118
30.04.1993 23:59:55;   123
12.05.1993 18:15:00;   119
02.06.1993 17:00:00;   117
11.07.1993 03:15:00;   120
21.08.1993 06:00:00;   116
22.09.1993 19:45:00;   120
16.10.1993 05:45:00;   118
30.11.1993 13:15:00;   117
01.12.1993 06:45:00;   121
19.01.1994 00:00:05;   122
21.02.1994 18:00:00;   123
01.03.1994 00:00:00;   127
10.04.1994 07:00:00;   127
15.05.1994 15:00:00;   122
29.06.1994 17:15:00;   120
30.07.1994 00:00:00;   112
16.08.1994 22:30:00;   110
30.09.1994 03:00:00;   113
21.10.1994 23:30:00;   111
02.11.1994 23:45:00;   113
09.12.1994 01:30:00;   118
20.01.1995 00:00:05;   119
13.02.1995 23:00:00;   124
14.03.1995 17:45:00;   124
29.04.1995 17:00:00;   123
29.05.1995 19:00:00;   119
21.06.1995 11:45:00;   118
13.07.1995 17:30:00;   117
12.08.1995 19:30:00;   116
14.09.1995 14:15:00;   122
24.10.1995 19:15:00;   117
01.11.1995 19:00:00;   125
18.12.1995 00:30:00;   121
22.01.1996 13:00:00;   123
15.02.1996 13:00:00;   122
10.03.1996 00:01:00;   120
24.04.1996 09:30:00;   128
07.05.1996 20:00:00;   126
19.06.1996 15:00:00;   124
29.07.1996 17:15:00;   122
31.08.1996 10:45:00;   121
01.09.1996 11:15:00;   120
16.10.1996 13:00:00;   118
13.11.1996 10:00:00;   116
28.12.1996 00:01:00;   113
28.01.1997 02:30:15;   111
01.02.1997 23:06:45;   112
03.03.1997 11:45:25;   118
27.04.1997 16:03:10;   122
16.05.1997 08:10:15;   118
08.06.1997 17:27:35;   115
04.07.1997 16:54:35;   116
