Messstelle:                ;Haxenmühle
HZB-Nummer:                ;209445
HD-Nummer:                 ;no220
DBMS-Nummer:               ;3001160
Gewässer:                  ;Halbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;91,8
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1981              ;00396,08
   01.01.2014              ;00396,02
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1981              ;704691,00 - 322090,00
Exportzeitreihe:           ;(3001160,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1981 00:30,01.01.2022 00:00]
Werte:
31.07.1995 23:59:55;   141
12.08.1995 21:45:00;   137
14.09.1995 19:15:00;   142
26.10.1995 15:30:00;   135
02.11.1995 10:30:00;   135
11.12.1995 15:00:00;   145
30.01.1996 12:00:00;   140
10.02.1996 09:45:00;   140
05.03.1996 10:30:00;   138
02.04.1996 22:30:00;   153
08.05.1996 11:45:00;   158
22.06.1996 10:30:00;   145
31.07.1996 23:59:55;   145
31.08.1996 12:15:00;   138
01.09.1996 00:00:00;   140
16.10.1996 12:00:00;   148
30.11.1996 23:59:55;   147
26.12.1996 13:00:00;   140
30.01.1997 11:02:20;   138
05.02.1997 19:14:55;   137
14.03.1997 23:27:40;   143
30.04.1997 23:59:55;   160
20.05.1997 15:58:50;   149
14.06.1997 03:23:00;   145
04.07.1997 00:30:30;   142
29.08.1997 12:30:05;   144
27.09.1997 10:23:55;   139
27.10.1997 09:41:45;   135
03.11.1997 11:17:05;   133
09.12.1997 08:00:35;   140
28.01.1998 13:09:25;   136
05.02.1998 10:36:30;   132
06.03.1998 13:24:50;   140
30.04.1998 23:59:55;   143
13.05.1998 09:27:20;   137
30.06.1998 19:00:30;   136
30.07.1998 22:48:10;   139
24.08.1998 10:46:35;   134
07.09.1998 10:49:20;   135
13.10.1998 12:02:40;   136
08.11.1998 14:57:30;   138
10.12.1998 16:47:00;   141
31.01.1999 23:59:55;   142
03.02.1999 15:39:40;   140
21.03.1999 16:04:05;   152
29.04.1999 14:03:40;   149
07.05.1999 14:49:30;   147
21.06.1999 05:44:05;   142
07.07.1999 21:46:45;   142
16.08.1999 17:13:10;   143
23.09.1999 13:04:15;   143
27.10.1999 13:39:15;   138
02.11.1999 10:55:45;   135
23.12.1999 05:09:10;   139
27.01.2000 14:03:05;   138
24.02.2000 05:20:50;   148
07.03.2000 12:18:50;   154
30.04.2000 23:59:55;   148
22.05.2000 08:46:20;   141
20.06.2000 10:14:35;   133
27.07.2000 20:07:05;   134
21.08.2000 09:54:00;   133
23.09.2000 00:13:35;   133
20.10.2000 14:48:20;   133
15.11.2000 17:16:25;   134
07.12.2000 21:21:30;   132
24.01.2001 10:11:05;   134
03.02.2001 10:20:05;   135
01.03.2001 12:33:10;   140
06.04.2001 10:40:25;   145
30.05.2001 15:02:10;   141
30.06.2001 14:22:15;   138
18.07.2001 16:41:25;   135
20.08.2001 12:08:45;   134
04.09.2001 10:04:05;   134
27.10.2001 14:27:15;   136
06.11.2001 17:09:25;   131
28.12.2001 10:44:30;   141
19.01.2002 13:25:15;   139
22.02.2002 22:52:05;   147
08.03.2002 14:20:15;   143
23.04.2002 04:27:10;   147
21.05.2002 10:17:05;   140
03.06.2002 23:55:25;   141
14.07.2002 22:05:50;   140
04.08.2002 10:54:50;   143
20.09.2002 11:00:40;   138
06.10.2002 14:48:15;   142
29.11.2002 07:47:20;   147
19.12.2002 11:01:00;   143
22.01.2003 07:18:35;   146
22.02.2003 17:00:15;   141
01.03.2003 10:58:55;   143
30.04.2003 16:39:10;   142
31.05.2003 20:51:45;   136
26.06.2003 23:00:45;   131
17.07.2003 18:05:40;   127
27.08.2003 12:01:45;   125
09.09.2003 02:42:25;   125
15.10.2003 09:56:20;   123
28.11.2003 08:29:10;   126
08.12.2003 10:43:05;   124
09.01.2004 06:11:35;   128
01.02.2004 09:26:10;   132
11.03.2004 11:03:50;   139
21.04.2004 11:04:25;   146
15.05.2004 13:44:45;   140
17.06.2004 18:54:05;   142
31.07.2004 17:46:25;   136
24.08.2004 19:12:30;   131
21.09.2004 19:47:55;   128
21.10.2004 11:01:30;   128
01.11.2004 13:49:05;   129
15.12.2004 20:11:25;   126
18.01.2005 10:08:35;   129
06.02.2005 08:22:00;   129
02.03.2005 13:07:40;   131
17.04.2005 22:53:25;   148
31.05.2005 23:32:15;   142
22.06.2005 18:44:00;   133
01.07.2005 13:39:15;   133
14.08.2005 10:26:55;   133
16.09.2005 18:01:05;   137
26.10.2005 11:51:15;   129
29.11.2005 22:17:35;   126
03.12.2005 18:19:25;   127
06.01.2006 10:00:35;   133
14.02.2006 12:46:30;   126
08.03.2006 17:55:20;   138
27.04.2006 15:59:05;   149
26.05.2006 03:23:15;   141
27.06.2006 18:59:20;   142
31.07.2006 23:35:10;   135
01.08.2006 00:39:50;   136
25.09.2006 14:32:05;   134
31.10.2006 08:22:05;   129
02.11.2006 08:11:35;   126
24.12.2006 15:42:25;   123
29.01.2007 13:13:00;   128
02.02.2007 13:26:35;   132
18.03.2007 17:29:15;   139
26.04.2007 18:03:35;   133
08.05.2007 15:23:50;   134
28.06.2007 17:40:20;   131
27.07.2007 18:38:30;   128
24.08.2007 17:35:50;   122
05.09.2007 15:59:15;   128
14.10.2007 09:14:10;   126
21.11.2007 07:24:45;   148
31.12.2007 23:59:55;   142
07.01.2008 09:43:00;   139
25.02.2008 16:19:55;   136
14.03.2008 00:44:20;   138
21.04.2008 09:01:25;   136
31.05.2008 23:59:55;   133
30.06.2008 19:46:05;   131
12.07.2008 19:18:55;   126
29.08.2008 11:15:00;   131
05.09.2008 17:58:30;   130
31.10.2008 08:11:30;   125
05.11.2008 14:16:30;   125
05.12.2008 10:16:20;   133
13.01.2009 06:30:40;   128
03.02.2009 13:18:45;   130
02.03.2009 11:09:35;   149
30.04.2009 12:39:35;   149
26.05.2009 19:03:05;   137
17.06.2009 10:45:45;   134
23.07.2009 17:10:00;   143
27.08.2009 07:55:55;   137
24.09.2009 22:38:45;   131
10.10.2009 11:07:55;   128
30.11.2009 23:59:55;   130
21.12.2009 15:54:35;   128
27.01.2010 10:50:10;   121
16.02.2010 13:13:40;   123
15.03.2010 18:11:45;   133
30.04.2010 07:25:00;   138
13.05.2010 18:50:00;   133
30.06.2010 23:50:00;   145
21.07.2010 16:30:00;   134
26.08.2010 12:35:00;   129
24.09.2010 19:00:00;   129
21.10.2010 07:15:00;   125
23.11.2010 19:15:00;   124
02.12.2010 07:20:00;   124
06.01.2011 11:00:15;   132
28.02.2011 10:43:30;   131
09.03.2011 12:27:55;   131
11.04.2011 13:05:00;   131
27.05.2011 00:55:00;   129
22.06.2011 21:03:45;   127
13.07.2011 01:12:15;   120
26.08.2011 20:20:00;   124
17.09.2011 20:30:00;   121
07.10.2011 03:25:00;   122
28.11.2011 09:05:00;   117
12.12.2011 08:40:00;   119
01.01.2012 01:17:45;   128
14.02.2012 08:45:00;   123
31.03.2012 12:25:00;   143
16.04.2012 07:20:00;   132
21.05.2012 11:05:00;   129
09.06.2012 05:00:00;   128
19.07.2012 13:00:00;   128
30.08.2012 15:35:00;   118
08.09.2012 20:15:00;   121
23.10.2012 08:00:00;   119
30.11.2012 10:35:00;   117
06.12.2012 10:35:00;   115
03.01.2013 16:40:00;   136
25.02.2013 08:50:00;   137
01.03.2013 00:00:00;   140
02.04.2013 13:30:00;   139
04.05.2013 14:45:00;   140
23.06.2013 22:00:00;   144
28.07.2013 14:30:00;   133
24.08.2013 23:05:00;   129
16.09.2013 13:30:00;   124
28.10.2013 08:45:00;   121
03.11.2013 11:25:00;   120
31.12.2013 23:59:55;   136
16.01.2014 00:55:00;   127
28.02.2014 05:55:00;   127
20.03.2014 09:35:00;   124
10.04.2014 07:55:00;   124
11.05.2014 13:40:00;   131
27.06.2014 08:05:00;   125
22.07.2014 12:05:00;   120
23.08.2014 14:25:00;   119
09.09.2014 18:45:00;   129
17.10.2014 07:15:00;   127
29.11.2014 15:30:00;   126
26.12.2014 11:10:00;   124
07.01.2015 08:40:00;   127
10.02.2015 09:35:00;   125
25.03.2015 08:25:00;   136
29.04.2015 19:40:00;   128
01.05.2015 14:45:00;   126
19.06.2015 13:35:00;   123
23.07.2015 00:25:00;   119
28.08.2015 21:50:00;   114
01.09.2015 18:50:00;   111
05.10.2015 21:35:00;   114
20.11.2015 08:45:00;   119
31.12.2015 20:30:00;   120
19.01.2016 12:05:00;   116
17.02.2016 14:55:00;   126
12.03.2016 19:25:00;   126
06.04.2016 19:00:00;   124
01.05.2016 17:40:00;   125
