Messstelle:                ;Urlaken
HZB-Nummer:                ;212597
HD-Nummer:                 ;00322
DBMS-Nummer:               ;2001025
Gewässer:                  ;Seebach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;160,3
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00499,00
   01.01.1979              ;00499,74
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1962              ;492078,00 - 166455,00
   01.01.1976              ;492078,00 - 166455,00
Exportzeitreihe:           ;(2001025,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 02:00,01.01.2022 00:00]
Werte:
02.06.1990 21:45:00;    79
01.07.1990 00:00:00;    85
31.08.1990 05:15:00;    84
16.09.1990 04:45:00;    81
02.10.1990 04:15:00;    83
01.11.1990 00:00:00;    94
31.12.1990 23:59:55;    96
31.01.1991 23:59:55;    88
23.02.1991 14:30:00;    84
01.03.1991 00:00:00;    85
21.04.1991 21:45:00;    93
01.05.1991 00:00:00;    94
26.06.1991 18:45:00;    89
08.07.1991 20:00:00;    85
31.08.1991 23:59:55;    84
20.09.1991 00:45:00;    79
07.10.1991 18:00:00;    82
03.11.1991 15:30:00;    83
31.12.1991 23:59:55;    91
31.01.1992 15:45:00;    86
29.02.1992 23:59:55;    81
03.03.1992 16:15:00;    79
25.04.1992 15:00:00;    89
30.05.1992 01:00:00;    85
30.06.1992 23:59:55;    80
27.07.1992 11:30:00;    73
26.08.1992 23:45:00;    70
01.09.1992 00:00:00;    70
01.10.1992 00:00:00;    72
01.11.1992 00:00:00;    85
02.12.1992 19:30:00;    90
31.01.1993 23:59:55;    83
27.02.1993 19:15:00;    78
14.03.1993 13:45:00;    77
10.04.1993 00:00:00;    80
25.05.1993 12:30:00;    75
10.06.1993 19:30:00;    74
10.07.1993 17:30:00;    72
23.08.1993 05:30:00;    74
07.09.1993 17:30:00;    75
01.10.1993 00:00:00;    80
30.11.1993 23:59:55;   100
20.12.1993 08:00:00;    93
31.01.1994 23:59:55;    92
19.02.1994 08:45:00;    87
28.03.1994 23:30:00;    85
01.04.1994 00:00:00;    85
31.05.1994 23:59:55;    86
28.06.1994 21:30:00;    81
31.07.1994 23:59:55;    78
12.08.1994 01:30:00;    75
07.09.1994 18:00:00;    78
03.10.1994 01:45:00;    83
10.11.1994 12:45:00;    90
31.12.1994 05:00:00;    85
21.01.1995 05:30:00;    81
17.02.1995 21:30:00;    81
01.03.1995 00:00:00;    87
22.04.1995 11:15:00;    87
31.05.1995 23:59:55;    86
04.06.1995 09:45:00;    85
31.07.1995 23:59:55;    87
18.08.1995 08:45:00;    82
02.09.1995 17:45:00;    82
25.10.1995 14:45:00;    81
11.11.1995 22:00:00;    77
07.12.1995 09:15:00;    77
01.01.1996 00:00:00;    78
18.02.1996 15:15:00;    76
21.03.1996 15:15:00;    75
01.04.1996 00:00:00;    85
11.05.1996 00:15:00;    87
19.06.1996 01:30:00;    81
28.07.1996 14:15:00;    88
03.08.1996 14:45:00;    87
22.09.1996 00:15:00;    84
01.10.1996 13:15:00;    85
15.11.1996 15:00:00;    91
31.12.1996 14:45:00;    92
31.01.1997 23:59:55;    86
25.02.1997 12:45:35;    83
17.03.1997 16:43:15;    82
17.04.1997 16:38:50;    79
31.05.1997 23:59:55;    76
10.06.1997 14:02:20;    75
14.07.1997 17:23:05;    76
01.08.1997 01:38:35;    77
13.09.1997 19:18:00;    78
31.10.1997 23:59:55;    73
08.11.1997 00:32:35;    72
01.12.1997 00:00:00;    77
29.01.1998 16:20:15;    78
28.02.1998 23:59:55;    75
31.03.1998 23:59:55;    73
05.04.1998 21:52:25;    73
31.05.1998 23:59:55;    73
07.06.1998 15:10:45;    73
01.07.1998 00:00:00;    75
27.08.1998 22:19:00;    82
04.09.1998 14:36:05;    81
01.10.1998 07:18:40;    94
30.11.1998 23:59:55;    98
30.12.1998 16:11:00;    86
31.01.1999 23:59:55;    81
28.02.1999 23:59:55;    80
02.03.1999 00:04:40;    80
29.04.1999 20:27:45;    85
01.05.1999 00:00:00;    86
30.06.1999 23:59:55;    85
09.07.1999 22:22:55;    83
12.08.1999 21:18:05;    94
30.09.1999 23:59:55;    95
24.10.1999 03:40:35;    90
30.11.1999 23:59:55;    87
27.12.1999 04:36:20;    84
21.01.2000 15:06:30;    81
29.02.2000 23:59:55;    80
17.03.2000 17:47:20;    80
18.04.2000 12:44:55;    81
19.05.2000 08:44:25;    78
23.06.2000 12:28:05;    74
05.07.2000 06:12:05;    74
23.08.2000 18:12:15;    77
23.09.2000 12:13:20;    77
01.10.2000 00:00:00;    81
01.11.2000 00:00:00;    86
31.12.2000 23:59:55;   104
31.01.2001 23:59:55;    99
28.02.2001 23:59:55;    91
13.03.2001 05:23:00;    90
08.04.2001 06:04:15;    91
31.05.2001 10:24:35;    86
30.06.2001 23:59:55;    80
19.07.2001 09:59:35;    78
31.08.2001 23:59:55;    73
02.09.2001 00:15:10;    73
31.10.2001 23:59:55;    77
08.11.2001 22:24:25;    75
31.12.2001 23:59:55;    73
31.01.2002 23:59:55;    72
01.02.2002 12:55:45;    71
31.03.2002 23:59:55;    71
02.04.2002 00:28:05;    71
21.05.2002 12:52:15;    73
22.06.2002 05:48:10;    72
03.07.2002 01:55:40;    75
01.08.2002 00:00:00;    80
17.09.2002 22:38:05;    79
08.10.2002 21:49:20;    84
18.11.2002 03:27:45;    86
31.12.2002 23:59:55;    92
31.01.2003 23:59:55;    86
24.02.2003 20:12:20;    81
31.03.2003 23:59:55;    80
30.04.2003 22:34:55;    79
20.05.2003 04:18:00;    76
21.06.2003 14:31:00;    75
31.07.2003 23:59:55;    74
15.08.2003 09:30:20;    72
30.09.2003 21:57:05;    75
01.10.2003 00:00:00;    75
01.11.2003 00:00:00;    81
