Messstelle:                ;Krenstetten
HZB-Nummer:                ;207696
HD-Nummer:                 ;no055
DBMS-Nummer:               ;3001009
Gewässer:                  ;Urlbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;155,8
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1978              ;00304,36
   04.11.2004              ;00304,25
   01.01.2007              ;00304,27
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1978              ;628480,90 - 325663,10
Exportzeitreihe:           ;(3001009,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1978 00:15,01.01.2022 00:00]
Werte:
01.06.1992 20:30:00;   108
31.07.1992 21:00:00;   106
28.08.1992 19:30:00;   102
03.09.1992 19:30:00;   103
08.10.1992 00:45:00;   103
04.11.1992 01:00:00;   112
29.12.1992 11:45:00;   114
01.01.1993 10:15:00;   112
28.02.1993 15:00:00;   117
08.03.1993 19:30:00;   114
29.04.1993 22:00:00;   116
30.05.1993 00:30:00;   105
02.06.1993 23:00:00;   105
05.07.1993 22:00:00;   107
17.08.1993 16:15:00;   108
26.09.1993 03:30:00;   110
05.10.1993 19:45:00;   109
09.11.1993 22:15:00;   109
02.12.1993 00:15:00;   120
21.01.1994 10:45:00;   124
14.02.1994 08:45:00;   126
01.03.1994 16:30:00;   125
08.04.1994 17:45:00;   122
17.05.1994 09:30:00;   120
30.06.1994 22:00:00;   114
28.07.1994 05:30:00;   107
03.08.1994 19:15:00;   109
01.09.1994 22:30:00;   108
26.10.1994 09:30:00;   105
07.11.1994 13:45:00;   110
08.12.1994 13:45:00;   115
05.01.1995 07:15:00;   121
13.02.1995 12:15:00;   123
16.03.1995 14:45:00;   124
27.04.1995 19:30:00;   126
10.05.1995 16:00:00;   118
02.06.1995 13:15:00;   117
18.07.1995 17:15:00;   111
03.08.1995 06:30:00;   105
11.09.1995 15:15:00;   115
11.10.1995 05:15:00;   111
29.11.1995 13:00:00;   119
16.12.1995 18:45:00;   116
31.01.1996 06:30:00;   120
10.02.1996 04:00:00;   116
05.03.1996 05:00:00;   117
18.04.1996 10:15:00;   126
08.05.1996 02:15:00;   127
19.06.1996 03:00:00;   116
16.07.1996 11:15:00;   118
26.08.1996 20:00:00;   116
01.09.1996 23:30:00;   117
02.10.1996 22:00:00;   120
07.11.1996 02:00:00;   123
26.12.1996 07:15:00;   122
21.01.1997 21:09:10;   117
05.02.1997 02:32:05;   117
03.03.1997 14:02:45;   130
26.04.1997 17:29:35;   138
28.05.1997 16:10:10;   128
30.06.1997 23:47:25;   126
03.07.1997 05:12:45;   124
13.08.1997 20:11:40;   125
18.09.1997 19:41:50;   119
07.10.1997 06:02:45;   126
03.11.1997 12:46:55;   129
06.12.1997 12:56:05;   134
27.01.1998 04:12:00;   132
04.02.1998 07:46:45;   128
31.03.1998 19:25:55;   130
30.04.1998 19:48:45;   133
30.05.1998 12:17:35;   121
05.06.1998 14:34:30;   119
01.07.1998 10:52:30;   120
11.08.1998 03:51:35;   124
03.09.1998 18:03:25;   119
11.10.1998 15:49:55;   132
19.11.1998 16:58:30;   135
01.12.1998 14:43:55;   132
23.01.1999 15:42:05;   134
01.02.1999 23:55:45;   132
24.03.1999 03:03:50;   126
07.04.1999 17:04:20;   126
31.05.1999 14:19:10;   129
27.06.1999 12:32:15;   118
07.07.1999 16:15:45;   116
24.08.1999 00:06:55;   116
26.09.1999 14:21:40;   116
19.10.1999 04:23:00;   115
01.11.1999 09:07:50;   119
17.12.1999 18:56:10;   131
14.01.2000 17:27:55;   128
08.02.2000 16:48:25;   142
27.03.2000 12:44:35;   142
27.04.2000 13:51:20;   124
11.05.2000 22:12:10;   117
30.06.2000 00:33:55;   114
01.07.2000 16:13:55;   114
23.08.2000 23:30:15;   113
02.09.2000 21:42:25;   114
01.10.2000 16:08:45;   115
17.11.2000 18:58:55;   121
08.12.2000 06:40:55;   118
24.01.2001 21:28:15;   131
03.02.2001 02:20:50;   134
09.03.2001 19:58:00;   134
29.04.2001 14:06:50;   129
30.05.2001 11:07:35;   118
26.06.2001 04:27:10;   118
07.07.2001 22:45:00;   116
17.08.2001 17:50:00;   115
01.09.2001 00:00:00;   126
24.10.2001 02:30:00;   118
01.11.2001 03:35:00;   118
24.12.2001 02:00:00;   131
19.01.2002 12:39:15;   131
19.02.2002 20:24:30;   130
12.03.2002 08:59:30;   125
30.04.2002 19:35:50;   128
26.05.2002 22:00:50;   119
27.06.2002 08:10:50;   115
03.07.2002 00:15:50;   115
01.08.2002 23:09:50;   117
13.09.2002 01:39:50;   119
04.10.2002 17:44:50;   132
15.11.2002 15:00:40;   141
20.12.2002 09:30:40;   138
22.01.2003 13:10:40;   136
20.02.2003 10:40:40;   132
23.03.2003 10:50:15;   133
30.04.2003 09:53:45;   130
26.05.2003 22:06:55;   127
27.06.2003 21:09:05;   116
16.07.2003 01:41:00;   117
29.08.2003 07:31:45;   116
23.09.2003 09:00:25;   116
03.10.2003 05:22:50;   116
29.11.2003 07:33:55;   129
05.12.2003 07:41:00;   120
31.01.2004 07:25:55;   129
01.02.2004 14:00:00;   132
04.03.2004 16:12:15;   133
23.04.2004 21:04:20;   128
01.05.2004 20:24:20;   125
17.06.2004 18:28:15;   130
22.07.2004 19:02:10;   123
19.08.2004 07:27:10;   116
22.09.2004 00:47:10;   115
25.10.2004 05:46:45;   123
02.11.2004 05:59:10;   118
13.12.2004 15:05:50;   133
20.01.2005 13:59:30;   140
10.02.2005 20:25:40;   145
10.03.2005 20:58:55;   141
17.04.2005 16:53:35;   136
01.05.2005 20:52:35;   143
24.06.2005 21:27:35;   137
03.07.2005 19:17:35;   137
12.08.2005 18:32:35;   137
06.09.2005 12:32:35;   132
28.10.2005 19:32:55;   131
01.11.2005 03:16:45;   131
02.12.2005 12:23:05;   143
15.01.2006 13:06:50;   146
03.02.2006 02:40:35;   143
01.03.2006 13:27:00;   149
26.04.2006 07:14:55;   148
26.05.2006 04:29:10;   143
24.06.2006 21:39:10;   140
27.07.2006 22:20:30;   129
02.08.2006 06:25:30;   138
16.09.2006 15:36:05;   135
29.10.2006 07:24:50;   128
20.11.2006 17:54:50;   137
19.12.2006 11:59:50;   134
01.01.2007 00:00:00;   139
21.02.2007 14:46:00;   140
15.03.2007 21:48:55;   144
16.04.2007 19:57:20;   133
29.05.2007 05:38:25;   136
21.06.2007 07:43:25;   129
21.07.2007 07:44:55;   125
29.08.2007 06:44:55;   128
03.09.2007 07:59:55;   128
20.10.2007 09:00:15;   135
02.11.2007 19:56:05;   143
30.12.2007 06:45:00;   144
03.01.2008 12:55:00;   141
16.02.2008 20:11:00;   143
25.03.2008 09:50:00;   149
15.04.2008 21:05:00;   141
30.05.2008 21:05:00;   134
24.06.2008 01:35:00;   126
12.07.2008 16:40:00;   135
31.08.2008 06:10:00;   128
06.09.2008 08:01:55;   127
15.10.2008 05:20:00;   132
01.11.2008 13:15:00;   136
29.12.2008 23:35:10;   144
17.01.2009 05:00:00;   139
02.02.2009 05:15:00;   138
19.03.2009 18:35:00;   153
29.04.2009 15:32:15;   142
23.05.2009 20:05:30;   133
15.06.2009 19:11:35;   137
22.07.2009 09:15:00;   139
28.08.2009 14:05:00;   138
08.09.2009 10:45:00;   139
06.10.2009 21:15:00;   133
21.11.2009 23:35:00;   141
01.12.2009 08:32:55;   143
17.01.2010 06:30:00;   141
01.02.2010 19:20:00;   141
06.03.2010 10:40:00;   144
27.04.2010 22:20:00;   141
05.05.2010 11:00:00;   140
11.06.2010 19:45:00;   143
02.07.2010 14:05:00;   135
23.08.2010 22:02:40;   138
22.09.2010 11:55:00;   133
13.10.2010 08:05:00;   130
01.11.2010 10:05:00;   138
05.12.2010 04:30:00;   144
04.01.2011 13:30:00;   143
11.02.2011 11:20:00;   144
09.03.2011 07:25:00;   140
30.04.2011 14:18:20;   138
10.05.2011 15:49:45;   130
30.06.2011 23:15:00;   132
14.07.2011 00:10:00;   130
27.08.2011 01:20:00;   127
12.09.2011 08:35:00;   127
06.10.2011 15:45:00;   128
07.11.2011 22:55:00;   133
03.12.2011 20:00:00;   133
30.01.2012 13:35:00;   143
13.02.2012 07:30:00;   119
29.03.2012 14:50:00;   141
05.04.2012 18:35:00;   137
28.05.2012 01:50:00;   133
01.06.2012 00:50:00;   137
19.07.2012 11:45:00;   130
20.08.2012 08:20:00;   128
05.09.2012 20:15:00;   130
09.10.2012 06:40:00;   132
30.11.2012 07:50:00;   141
06.12.2012 13:20:00;   137
14.01.2013 14:45:00;   146
11.02.2013 09:55:00;   152
28.03.2013 06:20:00;   153
30.04.2013 12:45:00;   141
23.05.2013 20:05:00;   141
10.06.2013 16:25:00;   145
31.07.2013 16:15:00;   138
18.08.2013 22:40:00;   138
09.09.2013 23:10:00;   138
03.10.2013 17:10:00;   138
23.11.2013 06:15:00;   140
20.12.2013 11:05:00;   142
09.01.2014 11:05:00;   140
25.02.2014 23:15:00;   138
19.03.2014 08:10:00;   136
26.04.2014 23:20:00;   138
02.05.2014 16:55:00;   138
29.06.2014 02:25:00;   129
07.07.2014 00:35:00;   129
08.08.2014 15:15:00;   137
20.09.2014 21:40:00;   141
16.10.2014 04:50:00;   134
17.11.2014 04:10:00;   141
06.12.2014 18:00:00;   141
28.01.2015 13:10:00;   143
09.02.2015 02:40:00;   146
29.03.2015 09:25:00;   144
30.04.2015 02:50:00;   142
13.05.2015 16:35:00;   136
13.06.2015 19:00:00;   131
30.07.2015 20:56:45;   129
31.08.2015 06:10:00;   126
01.09.2015 03:05:00;   126
02.10.2015 12:55:00;   127
10.11.2015 06:50:00;   131
30.12.2015 18:45:00;   130
01.01.2016 20:50:00;   133
15.02.2016 17:15:00;   144
30.03.2016 20:25:00;   142
06.04.2016 22:35:00;   141
30.05.2016 12:25:00;   140
25.06.2016 20:50:00;   139
12.07.2016 12:25:00;   133
09.08.2016 07:05:00;   134
03.09.2016 09:40:00;   132
02.10.2016 23:25:00;   136
28.11.2016 15:55:00;   138
14.12.2016 20:55:00;   141
30.01.2017 03:00:00;   142
01.02.2017 11:10:00;   144
31.03.2017 05:40:00;   140
15.04.2017 14:10:00;   138
29.05.2017 21:00:00;   134
23.06.2017 03:35:00;   128
07.07.2017 04:30:00;   128
03.08.2017 00:00:00;   128
19.09.2017 06:20:00;   129
20.10.2017 07:35:00;   129
06.11.2017 02:10:00;   136
27.12.2017 12:25:00;   141
16.01.2018 05:05:00;   146
26.02.2018 01:45:00;   144
04.03.2018 14:10:00;   143
30.04.2018 03:25:00;   138
26.05.2018 17:55:00;   133
23.06.2018 06:50:00;   129
22.07.2018 07:30:00;   129
23.08.2018 05:25:00;   129
18.09.2018 02:25:00;   129
11.10.2018 01:00:00;   125
29.11.2018 23:15:00;   130
01.12.2018 22:25:00;   134
26.01.2019 07:55:00;   144
02.02.2019 12:00:00;   147
31.03.2019 04:30:00;   140
29.04.2019 23:40:00;   132
02.05.2019 19:15:00;   138
13.06.2019 18:30:00;   130
07.07.2019 06:10:00;   129
30.08.2019 15:35:00;   128
20.09.2019 04:20:00;   129
04.10.2019 07:55:00;   129
19.11.2019 17:25:00;   130
20.12.2019 05:35:00;   135
16.01.2020 20:00:00;   128
20.02.2020 18:35:00;   143
31.03.2020 18:25:00;   140
29.04.2020 18:55:00;   131
03.05.2020 18:45:00;   131
06.06.2020 20:50:00;   139
08.07.2020 00:25:00;   134
01.08.2020 07:45:00;   133
25.09.2020 05:05:00;   141
10.10.2020 17:00:00;   140
10.11.2020 05:00:00;   141
08.12.2020 11:50:00;   140
12.01.2021 12:55:00;   142
21.02.2021 23:35:00;   144
29.03.2021 18:10:00;   147
30.04.2021 23:59:55;   144
11.05.2021 21:35:00;   141
25.06.2021 05:05:00;   131
10.07.2021 12:35:00;   133
14.08.2021 09:25:00;   148
06.09.2021 21:35:00;   139
31.10.2021 06:30:00;   139
15.11.2021 12:30:00;   139
04.12.2021 13:45:00;   145
