Messstelle:                ;Woppendorf
HZB-Nummer:                ;210237
HD-Nummer:                 ;
DBMS-Nummer:               ;1001021
Gewässer:                  ;Pinka
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;416,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00242,00
   01.01.1984              ;00242,00
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1939              ;754550,00 - 229400,00
   03.02.2012              ;754510,00 - 229404,00
   05.10.2018              ;754500,17 - 229420,08
Exportzeitreihe:           ;(1001021,Wasserstand,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:00,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
18.06.1976 00:00:00;   265
19.06.1976 00:00:00;   261
20.06.1976 00:00:00;   262
21.06.1976 00:00:00;   263
22.06.1976 00:00:00;   261
23.06.1976 00:00:00;   258
24.06.1976 00:00:00;   257
25.06.1976 00:00:00;   260
26.06.1976 00:00:00;   261
27.06.1976 00:00:00;   257
28.06.1976 00:00:00;   258
29.06.1976 00:00:00;   259
30.06.1976 00:00:00;   256
01.07.1976 00:00:00;   257
02.07.1976 00:00:00;   255
03.07.1976 00:00:00;   255
04.07.1976 00:00:00;   253
05.07.1976 00:00:00;   252
06.07.1976 00:00:00;   255
07.07.1976 00:00:00;   253
08.07.1976 00:00:00;   253
09.07.1976 00:00:00;   253
10.07.1976 00:00:00;   254
11.07.1976 00:00:00;   251
12.07.1976 00:00:00;   255
13.07.1976 00:00:00;   257
14.07.1976 00:00:00;   257
15.07.1976 00:00:00;   258
16.07.1976 00:00:00;   259
17.07.1976 00:00:00;   256
18.07.1976 00:00:00;   255
19.07.1976 00:00:00;   257
20.07.1976 00:00:00;   260
21.07.1976 00:00:00;   261
22.07.1976 00:00:00;   259
23.07.1976 00:00:00;   256
24.07.1976 00:00:00;   255
25.07.1976 00:00:00;   256
26.07.1976 00:00:00;   259
27.07.1976 00:00:00;   261
28.07.1976 00:00:00;   261
29.07.1976 00:00:00;   265
30.07.1976 00:00:00;   263
31.07.1976 00:00:00;   258
01.08.1976 00:00:00;   267
02.08.1976 00:00:00;   263
03.08.1976 00:00:00;   259
04.08.1976 00:00:00;   259
05.08.1976 00:00:00;   256
06.08.1976 00:00:00;   253
07.08.1976 00:00:00;   250
08.08.1976 00:00:00;   249
09.08.1976 00:00:00;   251
10.08.1976 00:00:00;   252
11.08.1976 00:00:00;   258
12.08.1976 00:00:00;   261
13.08.1976 00:00:00;   261
14.08.1976 00:00:00;   263
15.08.1976 00:00:00;   268
16.08.1976 00:00:00;   269
17.08.1976 00:00:00;   264
18.08.1976 00:00:00;   263
19.08.1976 00:00:00;   263
20.08.1976 00:00:00;   259
21.08.1976 00:00:00;   261
22.08.1976 00:00:00;   266
23.08.1976 00:00:00;   267
24.08.1976 00:00:00;   264
25.08.1976 00:00:00;   263
26.08.1976 00:00:00;   265
27.08.1976 00:00:00;   263
28.08.1976 00:00:00;   261
29.08.1976 00:00:00;   261
30.08.1976 00:00:00;   260
31.08.1976 00:00:00;   266
01.09.1976 00:00:00;   272
02.09.1976 00:00:00;   266
03.09.1976 00:00:00;   262
04.09.1976 00:00:00;   260
05.09.1976 00:00:00;   259
06.09.1976 00:00:00;   263
07.09.1976 00:00:00;   261
08.09.1976 00:00:00;   256
09.09.1976 00:00:00;   255
10.09.1976 00:00:00;   264
11.09.1976 00:00:00;   276
12.09.1976 00:00:00;   273
13.09.1976 00:00:00;   272
14.09.1976 00:00:00;   266
15.09.1976 00:00:00;   265
16.09.1976 00:00:00;   266
17.09.1976 00:00:00;   260
18.09.1976 00:00:00;   259
19.09.1976 00:00:00;   259
20.09.1976 00:00:00;   258
21.09.1976 00:00:00;   261
22.09.1976 00:00:00;   259
23.09.1976 00:00:00;   255
24.09.1976 00:00:00;   256
25.09.1976 00:00:00;   257
26.09.1976 00:00:00;   257
27.09.1976 00:00:00;   260
28.09.1976 00:00:00;   261
29.09.1976 00:00:00;   257
30.09.1976 00:00:00;   258
01.10.1976 00:00:00;   261
02.10.1976 00:00:00;   263
03.10.1976 00:00:00;   261
04.10.1976 00:00:00;   260
05.10.1976 00:00:00;   264
06.10.1976 00:00:00;   267
07.10.1976 00:00:00;   269
08.10.1976 00:00:00;   267
09.10.1976 00:00:00;   263
10.10.1976 00:00:00;   263
11.10.1976 00:00:00;   260
12.10.1976 00:00:00;   259
13.10.1976 00:00:00;   261
14.10.1976 00:00:00;   261
15.10.1976 00:00:00;   263
16.10.1976 00:00:00;   268
17.10.1976 00:00:00;   272
18.10.1976 00:00:00;   269
19.10.1976 00:00:00;   268
20.10.1976 00:00:00;   263
21.10.1976 00:00:00;   265
22.10.1976 00:00:00;   266
23.10.1976 00:00:00;   260
24.10.1976 00:00:00;   258
25.10.1976 00:00:00;   257
26.10.1976 00:00:00;   261
27.10.1976 00:00:00;   263
28.10.1976 00:00:00;   263
29.10.1976 00:00:00;   266
30.10.1976 00:00:00;   264
31.10.1976 00:00:00;   273
01.11.1976 00:00:00;   265
02.11.1976 00:00:00;   265
03.11.1976 00:00:00;   260
04.11.1976 00:00:00;   259
05.11.1976 00:00:00;   261
06.11.1976 00:00:00;   261
07.11.1976 00:00:00;   265
08.11.1976 00:00:00;   262
09.11.1976 00:00:00;   261
10.11.1976 00:00:00;   258
11.11.1976 00:00:00;   257
12.11.1976 00:00:00;   259
13.11.1976 00:00:00;   265
