Messstelle:                ;Dobersberg (B30)
HZB-Nummer:                ;214460
HD-Nummer:                 ;no609
DBMS-Nummer:               ;3003163
Gewässer:                  ;Deutsche Thaya
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;597,6
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   26.03.2015              ;00445,91
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   26.03.2015              ;676429,40 - 420009,30
Exportzeitreihe:           ;(3003163,Wasserstand,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[30.03.2015 08:45,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
18.09.2015 00:00:00;   171
19.09.2015 00:00:00;   171
20.09.2015 00:00:00;   170
21.09.2015 00:00:00;   163
22.09.2015 00:00:00;   165
23.09.2015 00:00:00;   172
24.09.2015 00:00:00;   170
25.09.2015 00:00:00;   163
26.09.2015 00:00:00;   171
27.09.2015 00:00:00;   172
28.09.2015 00:00:00;   174
29.09.2015 00:00:00;   172
30.09.2015 00:00:00;   167
01.10.2015 00:00:00;   180
02.10.2015 00:00:00;   181
03.10.2015 00:00:00;   183
04.10.2015 00:00:00;   183
05.10.2015 00:00:00;   183
06.10.2015 00:00:00;   183
07.10.2015 00:00:00;   188
08.10.2015 00:00:00;   194
09.10.2015 00:00:00;   196
10.10.2015 00:00:00;   187
11.10.2015 00:00:00;   179
12.10.2015 00:00:00;   180
13.10.2015 00:00:00;   178
14.10.2015 00:00:00;   190
15.10.2015 00:00:00;   193
16.10.2015 00:00:00;   197
17.10.2015 00:00:00;   211
18.10.2015 00:00:00;   193
19.10.2015 00:00:00;   186
20.10.2015 00:00:00;   203
21.10.2015 00:00:00;   199
22.10.2015 00:00:00;   189
23.10.2015 00:00:00;   186
24.10.2015 00:00:00;   185
25.10.2015 00:00:00;   184
26.10.2015 00:00:00;   181
27.10.2015 00:00:00;   183
28.10.2015 00:00:00;   184
29.10.2015 00:00:00;   182
30.10.2015 00:00:00;   183
31.10.2015 00:00:00;   181
01.11.2015 00:00:00;   178
02.11.2015 00:00:00;   176
03.11.2015 00:00:00;   177
04.11.2015 00:00:00;   176
05.11.2015 00:00:00;   177
06.11.2015 00:00:00;   175
07.11.2015 00:00:00;   176
08.11.2015 00:00:00;   176
09.11.2015 00:00:00;   176
10.11.2015 00:00:00;   176
11.11.2015 00:00:00;   175
12.11.2015 00:00:00;   174
13.11.2015 00:00:00;   175
14.11.2015 00:00:00;   174
15.11.2015 00:00:00;   181
16.11.2015 00:00:00;   195
17.11.2015 00:00:00;   188
18.11.2015 00:00:00;   182
19.11.2015 00:00:00;   180
20.11.2015 00:00:00;   203
21.11.2015 00:00:00;   271
22.11.2015 00:00:00;   230
23.11.2015 00:00:00;   208
24.11.2015 00:00:00;   200
25.11.2015 00:00:00;   196
26.11.2015 00:00:00;   194
27.11.2015 00:00:00;   193
28.11.2015 00:00:00;   192
29.11.2015 00:00:00;   192
30.11.2015 00:00:00;   200
01.12.2015 00:00:00;   259
02.12.2015 00:00:00;   298
03.12.2015 00:00:00;   257
04.12.2015 00:00:00;   236
05.12.2015 00:00:00;   227
06.12.2015 00:00:00;   220
07.12.2015 00:00:00;   215
08.12.2015 00:00:00;   212
09.12.2015 00:00:00;   210
10.12.2015 00:00:00;   210
11.12.2015 00:00:00;   208
12.12.2015 00:00:00;   206
13.12.2015 00:00:00;   204
14.12.2015 00:00:00;   201
15.12.2015 00:00:00;   199
16.12.2015 00:00:00;   198
17.12.2015 00:00:00;   197
18.12.2015 00:00:00;   197
19.12.2015 00:00:00;   197
20.12.2015 00:00:00;   196
21.12.2015 00:00:00;   195
22.12.2015 00:00:00;   194
23.12.2015 00:00:00;   193
24.12.2015 00:00:00;   192
25.12.2015 00:00:00;   191
26.12.2015 00:00:00;   191
27.12.2015 00:00:00;   190
28.12.2015 00:00:00;   189
29.12.2015 00:00:00;   188
30.12.2015 00:00:00;   188
31.12.2015 00:00:00;   187
01.01.2016 00:00:00;   186
02.01.2016 00:00:00;   186
03.01.2016 00:00:00;   185
04.01.2016 00:00:00;   183
05.01.2016 00:00:00;   185
06.01.2016 00:00:00;   186
07.01.2016 00:00:00;   185
08.01.2016 00:00:00;   185
09.01.2016 00:00:00;   185
10.01.2016 00:00:00;   185
11.01.2016 00:00:00;   186
12.01.2016 00:00:00;   186
13.01.2016 00:00:00;   189
14.01.2016 00:00:00;   190
15.01.2016 00:00:00;   189
16.01.2016 00:00:00;   187
17.01.2016 00:00:00;   186
18.01.2016 00:00:00;   182
19.01.2016 00:00:00;   181
20.01.2016 00:00:00;   181
21.01.2016 00:00:00;   181
22.01.2016 00:00:00;   180
23.01.2016 00:00:00;   183
24.01.2016 00:00:00;   185
25.01.2016 00:00:00;   188
26.01.2016 00:00:00;   215
27.01.2016 00:00:00;   221
28.01.2016 00:00:00;   229
29.01.2016 00:00:00;   236
30.01.2016 00:00:00;   233
31.01.2016 00:00:00;   222
01.02.2016 00:00:00;   247
02.02.2016 00:00:00;   258
03.02.2016 00:00:00;   235
04.02.2016 00:00:00;   227
05.02.2016 00:00:00;   223
06.02.2016 00:00:00;   218
07.02.2016 00:00:00;   217
08.02.2016 00:00:00;   214
09.02.2016 00:00:00;   215
10.02.2016 00:00:00;   220
11.02.2016 00:00:00;   223
12.02.2016 00:00:00;   218
13.02.2016 00:00:00;   214
14.02.2016 00:00:00;   212
15.02.2016 00:00:00;   211
16.02.2016 00:00:00;   207
17.02.2016 00:00:00;   206
18.02.2016 00:00:00;   208
19.02.2016 00:00:00;   208
20.02.2016 00:00:00;   207
21.02.2016 00:00:00;   220
22.02.2016 00:00:00;   218
23.02.2016 00:00:00;   213
24.02.2016 00:00:00;   217
25.02.2016 00:00:00;   213
26.02.2016 00:00:00;   211
27.02.2016 00:00:00;   209
28.02.2016 00:00:00;   208
29.02.2016 00:00:00;   213
01.03.2016 00:00:00;   236
02.03.2016 00:00:00;   228
03.03.2016 00:00:00;   238
04.03.2016 00:00:00;   235
05.03.2016 00:00:00;   231
06.03.2016 00:00:00;   226
07.03.2016 00:00:00;   221
08.03.2016 00:00:00;   221
09.03.2016 00:00:00;   219
10.03.2016 00:00:00;   216
11.03.2016 00:00:00;   214
12.03.2016 00:00:00;   212
13.03.2016 00:00:00;   211
14.03.2016 00:00:00;   209
15.03.2016 00:00:00;   208
16.03.2016 00:00:00;   210
17.03.2016 00:00:00;   211
18.03.2016 00:00:00;   211
19.03.2016 00:00:00;   208
20.03.2016 00:00:00;   205
21.03.2016 00:00:00;   203
22.03.2016 00:00:00;   202
23.03.2016 00:00:00;   202
24.03.2016 00:00:00;   200
25.03.2016 00:00:00;   199
26.03.2016 00:00:00;   199
27.03.2016 00:00:00;   199
28.03.2016 00:00:00;   198
29.03.2016 00:00:00;   197
30.03.2016 00:00:00;   195
31.03.2016 00:00:00;   195
01.04.2016 00:00:00;   194
02.04.2016 00:00:00;   192
03.04.2016 00:00:00;   190
04.04.2016 00:00:00;   189
05.04.2016 00:00:00;   188
06.04.2016 00:00:00;   188
07.04.2016 00:00:00;   187
08.04.2016 00:00:00;   194
09.04.2016 00:00:00;   220
10.04.2016 00:00:00;   210
11.04.2016 00:00:00;   199
12.04.2016 00:00:00;   196
13.04.2016 00:00:00;   193
14.04.2016 00:00:00;   192
15.04.2016 00:00:00;   191
16.04.2016 00:00:00;   190
17.04.2016 00:00:00;   189
18.04.2016 00:00:00;   193
19.04.2016 00:00:00;   192
20.04.2016 00:00:00;   189
21.04.2016 00:00:00;   188
22.04.2016 00:00:00;   186
23.04.2016 00:00:00;   185
24.04.2016 00:00:00;   187
25.04.2016 00:00:00;   186
26.04.2016 00:00:00;   184
27.04.2016 00:00:00;   185
28.04.2016 00:00:00;   184
29.04.2016 00:00:00;   184
30.04.2016 00:00:00;   182
01.05.2016 00:00:00;   181
02.05.2016 00:00:00;   180
03.05.2016 00:00:00;   180
04.05.2016 00:00:00;   193
05.05.2016 00:00:00;   205
06.05.2016 00:00:00;   194
07.05.2016 00:00:00;   189
08.05.2016 00:00:00;   185
09.05.2016 00:00:00;   183
10.05.2016 00:00:00;   181
11.05.2016 00:00:00;   180
12.05.2016 00:00:00;   180
13.05.2016 00:00:00;   202
14.05.2016 00:00:00;   235
15.05.2016 00:00:00;   209
16.05.2016 00:00:00;   195
17.05.2016 00:00:00;   191
18.05.2016 00:00:00;   188
19.05.2016 00:00:00;   186
20.05.2016 00:00:00;   184
21.05.2016 00:00:00;   183
22.05.2016 00:00:00;   182
23.05.2016 00:00:00;   181
24.05.2016 00:00:00;   190
25.05.2016 00:00:00;   194
26.05.2016 00:00:00;   188
27.05.2016 00:00:00;   184
28.05.2016 00:00:00;   182
29.05.2016 00:00:00;   182
30.05.2016 00:00:00;   181
31.05.2016 00:00:00;   189
01.06.2016 00:00:00;   193
02.06.2016 00:00:00;   184
03.06.2016 00:00:00;   200
04.06.2016 00:00:00;   206
05.06.2016 00:00:00;   192
06.06.2016 00:00:00;   190
07.06.2016 00:00:00;   196
08.06.2016 00:00:00;   188
09.06.2016 00:00:00;   185
10.06.2016 00:00:00;   183
11.06.2016 00:00:00;   181
12.06.2016 00:00:00;   184
13.06.2016 00:00:00;   194
14.06.2016 00:00:00;   190
15.06.2016 00:00:00;   190
16.06.2016 00:00:00;   191
17.06.2016 00:00:00;   185
18.06.2016 00:00:00;   181
19.06.2016 00:00:00;   179
20.06.2016 00:00:00;   184
21.06.2016 00:00:00;   190
22.06.2016 00:00:00;   184
23.06.2016 00:00:00;   180
24.06.2016 00:00:00;   177
25.06.2016 00:00:00;   175
26.06.2016 00:00:00;   173
27.06.2016 00:00:00;   185
28.06.2016 00:00:00;   198
29.06.2016 00:00:00;   183
30.06.2016 00:00:00;   185
01.07.2016 00:00:00;   201
02.07.2016 00:00:00;   184
03.07.2016 00:00:00;   238
04.07.2016 00:00:00;   203
05.07.2016 00:00:00;   188
06.07.2016 00:00:00;   184
07.07.2016 00:00:00;   179
08.07.2016 00:00:00;   177
09.07.2016 00:00:00;   176
10.07.2016 00:00:00;   174
11.07.2016 00:00:00;   174
12.07.2016 00:00:00;   185
13.07.2016 00:00:00;   222
14.07.2016 00:00:00;   237
15.07.2016 00:00:00;   253
16.07.2016 00:00:00;   220
17.07.2016 00:00:00;   203
18.07.2016 00:00:00;   197
19.07.2016 00:00:00;   195
20.07.2016 00:00:00;   186
21.07.2016 00:00:00;   189
22.07.2016 00:00:00;   212
23.07.2016 00:00:00;   189
24.07.2016 00:00:00;   186
25.07.2016 00:00:00;   186
26.07.2016 00:00:00;   184
27.07.2016 00:00:00;   209
28.07.2016 00:00:00;   222
29.07.2016 00:00:00;   197
30.07.2016 00:00:00;   194
31.07.2016 00:00:00;   187
01.08.2016 00:00:00;   246
02.08.2016 00:00:00;   204
03.08.2016 00:00:00;   192
04.08.2016 00:00:00;   187
05.08.2016 00:00:00;   184
06.08.2016 00:00:00;   185
07.08.2016 00:00:00;   184
08.08.2016 00:00:00;   180
09.08.2016 00:00:00;   178
10.08.2016 00:00:00;   183
11.08.2016 00:00:00;   190
12.08.2016 00:00:00;   184
13.08.2016 00:00:00;   181
14.08.2016 00:00:00;   180
15.08.2016 00:00:00;   179
16.08.2016 00:00:00;   177
17.08.2016 00:00:00;   175
18.08.2016 00:00:00;   174
19.08.2016 00:00:00;   174
20.08.2016 00:00:00;   173
21.08.2016 00:00:00;   176
22.08.2016 00:00:00;   177
23.08.2016 00:00:00;   174
24.08.2016 00:00:00;   173
25.08.2016 00:00:00;   172
26.08.2016 00:00:00;   171
27.08.2016 00:00:00;   170
28.08.2016 00:00:00;   170
29.08.2016 00:00:00;   170
30.08.2016 00:00:00;   171
31.08.2016 00:00:00;   173
01.09.2016 00:00:00;   171
02.09.2016 00:00:00;   170
03.09.2016 00:00:00;   170
04.09.2016 00:00:00;   169
05.09.2016 00:00:00;   172
06.09.2016 00:00:00;   176
07.09.2016 00:00:00;   176
08.09.2016 00:00:00;   173
09.09.2016 00:00:00;   172
10.09.2016 00:00:00;   170
11.09.2016 00:00:00;   170
12.09.2016 00:00:00;   169
13.09.2016 00:00:00;   169
14.09.2016 00:00:00;   168
15.09.2016 00:00:00;   168
16.09.2016 00:00:00;   164
17.09.2016 00:00:00;   167
18.09.2016 00:00:00;   168
19.09.2016 00:00:00;   168
20.09.2016 00:00:00;   166
21.09.2016 00:00:00;   172
22.09.2016 00:00:00;   170
23.09.2016 00:00:00;   171
24.09.2016 00:00:00;   170
25.09.2016 00:00:00;   165
26.09.2016 00:00:00;   169
27.09.2016 00:00:00;   168
28.09.2016 00:00:00;   169
29.09.2016 00:00:00;   169
30.09.2016 00:00:00;   175
01.10.2016 00:00:00;   182
02.10.2016 00:00:00;   184
03.10.2016 00:00:00;   196
04.10.2016 00:00:00;   203
05.10.2016 00:00:00;   208
06.10.2016 00:00:00;   198
07.10.2016 00:00:00;   198
08.10.2016 00:00:00;   196
09.10.2016 00:00:00;   189
10.10.2016 00:00:00;   187
11.10.2016 00:00:00;   191
12.10.2016 00:00:00;   200
13.10.2016 00:00:00;   206
14.10.2016 00:00:00;   195
15.10.2016 00:00:00;   189
16.10.2016 00:00:00;   186
17.10.2016 00:00:00;   184
18.10.2016 00:00:00;   184
19.10.2016 00:00:00;   185
20.10.2016 00:00:00;   183
21.10.2016 00:00:00;   185
22.10.2016 00:00:00;   183
23.10.2016 00:00:00;   182
24.10.2016 00:00:00;   181
25.10.2016 00:00:00;   180
26.10.2016 00:00:00;   179
27.10.2016 00:00:00;   179
28.10.2016 00:00:00;   179
29.10.2016 00:00:00;   180
30.10.2016 00:00:00;   180
31.10.2016 00:00:00;   181
01.11.2016 00:00:00;   179
02.11.2016 00:00:00;   181
03.11.2016 00:00:00;   183
04.11.2016 00:00:00;   181
05.11.2016 00:00:00;   180
06.11.2016 00:00:00;   182
07.11.2016 00:00:00;   188
08.11.2016 00:00:00;   185
09.11.2016 00:00:00;   181
10.11.2016 00:00:00;   180
11.11.2016 00:00:00;   179
12.11.2016 00:00:00;   180
13.11.2016 00:00:00;   180
14.11.2016 00:00:00;   180
15.11.2016 00:00:00;   178
16.11.2016 00:00:00;   179
17.11.2016 00:00:00;   194
18.11.2016 00:00:00;   202
19.11.2016 00:00:00;   197
20.11.2016 00:00:00;   196
21.11.2016 00:00:00;   194
22.11.2016 00:00:00;   187
23.11.2016 00:00:00;   185
24.11.2016 00:00:00;   184
25.11.2016 00:00:00;   184
26.11.2016 00:00:00;   185
27.11.2016 00:00:00;   185
28.11.2016 00:00:00;   186
29.11.2016 00:00:00;   185
30.11.2016 00:00:00;   182
01.12.2016 00:00:00;   183
02.12.2016 00:00:00;   188
03.12.2016 00:00:00;   191
04.12.2016 00:00:00;   186
05.12.2016 00:00:00;   181
06.12.2016 00:00:00;   179
07.12.2016 00:00:00;   179
08.12.2016 00:00:00;   180
09.12.2016 00:00:00;   180
10.12.2016 00:00:00;   181
11.12.2016 00:00:00;   182
12.12.2016 00:00:00;   186
13.12.2016 00:00:00;   201
