Messstelle:                ;Purkersdorf
HZB-Nummer:                ;209627
HD-Nummer:                 ;no395
DBMS-Nummer:               ;3001178
Gewässer:                  ;Gablitzbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;23
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1989              ;00240,00
   01.01.2005              ;00245,05
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1989              ;738253,00 - 341549,00
Exportzeitreihe:           ;(3001178,Wasserstand,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1989 00:15,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
21.06.1989 00:00:00;   139
22.06.1989 00:00:00;   133
23.06.1989 00:00:00;   131
24.06.1989 00:00:00;   130
25.06.1989 00:00:00;   130
26.06.1989 00:00:00;   128
27.06.1989 00:00:00;   127
28.06.1989 00:00:00;   128
29.06.1989 00:00:00;   128
30.06.1989 00:00:00;   127
01.07.1989 00:00:00;   125
02.07.1989 00:00:00;   125
03.07.1989 00:00:00;   125
04.07.1989 00:00:00;   127
05.07.1989 00:00:00;   129
06.07.1989 00:00:00;   126
07.07.1989 00:00:00;   126
08.07.1989 00:00:00;   126
09.07.1989 00:00:00;   126
10.07.1989 00:00:00;   128
11.07.1989 00:00:00;   128
12.07.1989 00:00:00;   132
13.07.1989 00:00:00;   127
14.07.1989 00:00:00;   128
15.07.1989 00:00:00;   128
16.07.1989 00:00:00;   127
17.07.1989 00:00:00;   126
18.07.1989 00:00:00;   126
19.07.1989 00:00:00;   125
20.07.1989 00:00:00;   124
21.07.1989 00:00:00;   124
22.07.1989 00:00:00;   123
23.07.1989 00:00:00;   123
24.07.1989 00:00:00;   124
25.07.1989 00:00:00;   124
26.07.1989 00:00:00;   129
27.07.1989 00:00:00;   125
28.07.1989 00:00:00;   123
29.07.1989 00:00:00;   123
30.07.1989 00:00:00;   123
31.07.1989 00:00:00;   130
01.08.1989 00:00:00;   126
02.08.1989 00:00:00;   130
03.08.1989 00:00:00;   128
04.08.1989 00:00:00;   128
05.08.1989 00:00:00;   127
06.08.1989 00:00:00;   126
07.08.1989 00:00:00;   125
08.08.1989 00:00:00;   124
09.08.1989 00:00:00;   132
10.08.1989 00:00:00;   128
11.08.1989 00:00:00;   126
12.08.1989 00:00:00;   124
13.08.1989 00:00:00;   125
14.08.1989 00:00:00;   124
15.08.1989 00:00:00;   124
16.08.1989 00:00:00;   124
17.08.1989 00:00:00;   122
18.08.1989 00:00:00;   125
19.08.1989 00:00:00;   127
20.08.1989 00:00:00;   126
21.08.1989 00:00:00;   125
22.08.1989 00:00:00;   124
23.08.1989 00:00:00;   123
24.08.1989 00:00:00;   123
25.08.1989 00:00:00;   123
26.08.1989 00:00:00;   123
27.08.1989 00:00:00;   127
28.08.1989 00:00:00;   126
29.08.1989 00:00:00;   124
30.08.1989 00:00:00;   139
31.08.1989 00:00:00;   134
01.09.1989 00:00:00;   128
02.09.1989 00:00:00;   126
03.09.1989 00:00:00;   132
04.09.1989 00:00:00;   138
05.09.1989 00:00:00;   158
06.09.1989 00:00:00;   136
07.09.1989 00:00:00;   132
08.09.1989 00:00:00;   130
09.09.1989 00:00:00;   129
10.09.1989 00:00:00;   128
11.09.1989 00:00:00;   127
12.09.1989 00:00:00;   125
13.09.1989 00:00:00;   126
14.09.1989 00:00:00;   126
15.09.1989 00:00:00;   126
16.09.1989 00:00:00;   127
17.09.1989 00:00:00;   126
18.09.1989 00:00:00;   126
19.09.1989 00:00:00;   125
20.09.1989 00:00:00;   125
21.09.1989 00:00:00;   125
22.09.1989 00:00:00;   125
23.09.1989 00:00:00;   125
24.09.1989 00:00:00;   124
25.09.1989 00:00:00;   124
26.09.1989 00:00:00;   125
27.09.1989 00:00:00;   129
28.09.1989 00:00:00;   130
29.09.1989 00:00:00;   127
30.09.1989 00:00:00;   127
01.10.1989 00:00:00;   125
02.10.1989 00:00:00;   125
03.10.1989 00:00:00;   125
04.10.1989 00:00:00;   125
05.10.1989 00:00:00;   125
06.10.1989 00:00:00;   125
07.10.1989 00:00:00;   125
08.10.1989 00:00:00;   125
09.10.1989 00:00:00;   125
10.10.1989 00:00:00;   125
11.10.1989 00:00:00;   126
12.10.1989 00:00:00;   126
13.10.1989 00:00:00;   126
14.10.1989 00:00:00;   125
15.10.1989 00:00:00;   126
16.10.1989 00:00:00;   126
17.10.1989 00:00:00;   125
18.10.1989 00:00:00;   125
19.10.1989 00:00:00;   125
20.10.1989 00:00:00;   125
21.10.1989 00:00:00;   125
22.10.1989 00:00:00;   125
23.10.1989 00:00:00;   125
24.10.1989 00:00:00;   124
25.10.1989 00:00:00;   124
26.10.1989 00:00:00;   124
27.10.1989 00:00:00;   122
28.10.1989 00:00:00;   123
29.10.1989 00:00:00;   123
30.10.1989 00:00:00;   124
31.10.1989 00:00:00;   124
01.11.1989 00:00:00;   126
02.11.1989 00:00:00;   125
03.11.1989 00:00:00;   125
04.11.1989 00:00:00;   125
05.11.1989 00:00:00;   125
06.11.1989 00:00:00;   128
07.11.1989 00:00:00;   132
08.11.1989 00:00:00;   127
09.11.1989 00:00:00;   127
10.11.1989 00:00:00;   126
11.11.1989 00:00:00;   126
12.11.1989 00:00:00;   126
13.11.1989 00:00:00;   125
14.11.1989 00:00:00;   124
15.11.1989 00:00:00;   124
16.11.1989 00:00:00;   124
17.11.1989 00:00:00;   124
18.11.1989 00:00:00;   124
19.11.1989 00:00:00;   124
20.11.1989 00:00:00;   124
21.11.1989 00:00:00;   123
22.11.1989 00:00:00;   123
23.11.1989 00:00:00;   123
24.11.1989 00:00:00;   123
25.11.1989 00:00:00;   122
26.11.1989 00:00:00;   123
27.11.1989 00:00:00;   122
28.11.1989 00:00:00;   124
29.11.1989 00:00:00;   123
30.11.1989 00:00:00;   127
01.12.1989 00:00:00;   125
02.12.1989 00:00:00;   124
03.12.1989 00:00:00;   123
04.12.1989 00:00:00;   122
05.12.1989 00:00:00;   122
06.12.1989 00:00:00;   123
07.12.1989 00:00:00;   123
08.12.1989 00:00:00;   123
09.12.1989 00:00:00;   124
10.12.1989 00:00:00;   123
11.12.1989 00:00:00;   124
12.12.1989 00:00:00;   123
13.12.1989 00:00:00;   125
14.12.1989 00:00:00;   125
15.12.1989 00:00:00;   125
16.12.1989 00:00:00;   126
17.12.1989 00:00:00;   125
18.12.1989 00:00:00;   125
19.12.1989 00:00:00;   125
20.12.1989 00:00:00;   125
21.12.1989 00:00:00;   125
22.12.1989 00:00:00;   125
23.12.1989 00:00:00;   125
24.12.1989 00:00:00;   125
25.12.1989 00:00:00;   124
26.12.1989 00:00:00;   124
27.12.1989 00:00:00;   123
28.12.1989 00:00:00;   123
29.12.1989 00:00:00;   123
30.12.1989 00:00:00;   121
31.12.1989 00:00:00;   122
