Messstelle:                ;EW-Gmünd
HZB-Nummer:                ;201970
HD-Nummer:                 ;
DBMS-Nummer:               ;7001090
Gewässer:                  ;Gerlosbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Verbund Hydro Power AG
orogr.Einzugsgebiet [km²]: ;141
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1953              ;01192,91
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1953              ;349226,51 - 231090,01
Exportzeitreihe:           ;(7001090,Wasserstand,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1965 00:00,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.1965 00:00:00;   131
02.01.1965 00:00:00;   131
03.01.1965 00:00:00;   131
04.01.1965 00:00:00;   131
05.01.1965 00:00:00;   130
06.01.1965 00:00:00;   130
07.01.1965 00:00:00;   130
08.01.1965 00:00:00;   130
09.01.1965 00:00:00;   130
10.01.1965 00:00:00;   130
11.01.1965 00:00:00;   130
12.01.1965 00:00:00;   129
13.01.1965 00:00:00;   128
14.01.1965 00:00:00;   128
15.01.1965 00:00:00;   126
16.01.1965 00:00:00;   128
17.01.1965 00:00:00;   129
18.01.1965 00:00:00;   130
19.01.1965 00:00:00;   130
20.01.1965 00:00:00;   130
21.01.1965 00:00:00;   131
22.01.1965 00:00:00;   130
23.01.1965 00:00:00;   130
24.01.1965 00:00:00;   129
25.01.1965 00:00:00;   129
26.01.1965 00:00:00;   129
27.01.1965 00:00:00;   129
28.01.1965 00:00:00;   129
29.01.1965 00:00:00;   128
30.01.1965 00:00:00;   128
31.01.1965 00:00:00; Lücke
01.02.1965 00:00:00; Lücke
02.02.1965 00:00:00; Lücke
03.02.1965 00:00:00; Lücke
04.02.1965 00:00:00; Lücke
05.02.1965 00:00:00; Lücke
06.02.1965 00:00:00; Lücke
07.02.1965 00:00:00; Lücke
08.02.1965 00:00:00; Lücke
09.02.1965 00:00:00; Lücke
10.02.1965 00:00:00; Lücke
11.02.1965 00:00:00; Lücke
12.02.1965 00:00:00; Lücke
13.02.1965 00:00:00; Lücke
14.02.1965 00:00:00; Lücke
15.02.1965 00:00:00; Lücke
16.02.1965 00:00:00; Lücke
17.02.1965 00:00:00; Lücke
18.02.1965 00:00:00; Lücke
19.02.1965 00:00:00; Lücke
20.02.1965 00:00:00; Lücke
21.02.1965 00:00:00; Lücke
22.02.1965 00:00:00; Lücke
23.02.1965 00:00:00; Lücke
24.02.1965 00:00:00; Lücke
25.02.1965 00:00:00; Lücke
26.02.1965 00:00:00; Lücke
27.02.1965 00:00:00; Lücke
28.02.1965 00:00:00; Lücke
01.03.1965 00:00:00; Lücke
02.03.1965 00:00:00; Lücke
03.03.1965 00:00:00; Lücke
04.03.1965 00:00:00; Lücke
05.03.1965 00:00:00; Lücke
06.03.1965 00:00:00; Lücke
07.03.1965 00:00:00; Lücke
08.03.1965 00:00:00; Lücke
09.03.1965 00:00:00; Lücke
10.03.1965 00:00:00; Lücke
11.03.1965 00:00:00; Lücke
12.03.1965 00:00:00; Lücke
13.03.1965 00:00:00; Lücke
14.03.1965 00:00:00; Lücke
15.03.1965 00:00:00; Lücke
16.03.1965 00:00:00; Lücke
17.03.1965 00:00:00; Lücke
18.03.1965 00:00:00; Lücke
19.03.1965 00:00:00; Lücke
20.03.1965 00:00:00; Lücke
21.03.1965 00:00:00; Lücke
22.03.1965 00:00:00; Lücke
23.03.1965 00:00:00; Lücke
24.03.1965 00:00:00; Lücke
25.03.1965 00:00:00; Lücke
26.03.1965 00:00:00; Lücke
27.03.1965 00:00:00; Lücke
28.03.1965 00:00:00; Lücke
29.03.1965 00:00:00; Lücke
30.03.1965 00:00:00; Lücke
31.03.1965 00:00:00; Lücke
01.04.1965 00:00:00; Lücke
02.04.1965 00:00:00; Lücke
03.04.1965 00:00:00; Lücke
04.04.1965 00:00:00; Lücke
05.04.1965 00:00:00; Lücke
06.04.1965 00:00:00; Lücke
07.04.1965 00:00:00; Lücke
08.04.1965 00:00:00; Lücke
09.04.1965 00:00:00; Lücke
10.04.1965 00:00:00; Lücke
11.04.1965 00:00:00; Lücke
12.04.1965 00:00:00; Lücke
13.04.1965 00:00:00; Lücke
14.04.1965 00:00:00; Lücke
15.04.1965 00:00:00; Lücke
16.04.1965 00:00:00; Lücke
17.04.1965 00:00:00; Lücke
18.04.1965 00:00:00; Lücke
19.04.1965 00:00:00; Lücke
20.04.1965 00:00:00; Lücke
21.04.1965 00:00:00; Lücke
22.04.1965 00:00:00; Lücke
23.04.1965 00:00:00; Lücke
24.04.1965 00:00:00; Lücke
25.04.1965 00:00:00; Lücke
26.04.1965 00:00:00; Lücke
27.04.1965 00:00:00; Lücke
28.04.1965 00:00:00; Lücke
29.04.1965 00:00:00; Lücke
30.04.1965 00:00:00; Lücke
01.05.1965 00:00:00; Lücke
02.05.1965 00:00:00; Lücke
03.05.1965 00:00:00; Lücke
04.05.1965 00:00:00; Lücke
05.05.1965 00:00:00; Lücke
06.05.1965 00:00:00; Lücke
07.05.1965 00:00:00; Lücke
08.05.1965 00:00:00; Lücke
09.05.1965 00:00:00; Lücke
10.05.1965 00:00:00; Lücke
11.05.1965 00:00:00; Lücke
12.05.1965 00:00:00; Lücke
13.05.1965 00:00:00; Lücke
14.05.1965 00:00:00; Lücke
15.05.1965 00:00:00; Lücke
16.05.1965 00:00:00; Lücke
17.05.1965 00:00:00; Lücke
18.05.1965 00:00:00; Lücke
