Messstelle:                ;Hörmsdorf
HZB-Nummer:                ;211961
HD-Nummer:                 ;ow3800
DBMS-Nummer:               ;6001141
Gewässer:                  ;Saggaubach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;56
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1994              ;00349,42
   20.10.1998              ;00345,14
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1994              ;668346,60 - 173544,50
   01.01.2018              ;668324,70 - 173550,00
Exportzeitreihe:           ;(6001141,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1994 00:15,01.01.2022 00:00]
Werte:
04.10.2006 10:06:00;  1,76
22.11.2006 18:51:00;  2,65
09.12.2006 20:51:00; 0,769
02.01.2007 01:21:00; 0,558
13.02.2007 02:36:00;  6,27
24.03.2007 15:06:00;  7,40
02.04.2007 00:51:00;  1,58
04.05.2007 21:21:00;  9,35
05.06.2007 08:39:00;  6,20
10.07.2007 01:54:00;  16,4
17.08.2007 19:24:00;  15,2
18.09.2007 22:39:00;  10,7
24.10.2007 13:09:00;  6,26
25.11.2007 23:09:00;  2,24
08.12.2007 04:54:00;  3,67
12.01.2008 15:24:00; 0,832
02.02.2008 20:24:00; 0,639
24.03.2008 18:21:00;  1,35
21.04.2008 19:36:00;  2,71
19.05.2008 17:21:00;  5,58
06.06.2008 16:06:00;  6,44
14.07.2008 04:51:00;  12,4
16.08.2008 03:06:00;  8,81
12.09.2008 20:51:00;  10,9
03.10.2008 21:36:05;  7,09
30.11.2008 10:36:00;  3,51
19.12.2008 02:36:00;  5,47
21.01.2009 23:06:00;  6,04
08.02.2009 10:51:00;  18,0
05.03.2009 20:06:00;  5,63
30.04.2009 10:21:00;  2,79
22.05.2009 18:45:00;  10,3
24.06.2009 15:30:00;  36,1
31.07.2009 00:15:00;  7,12
04.08.2009 00:00:00;  21,0
04.09.2009 18:45:00;  18,5
23.10.2009 23:30:00;  1,81
04.11.2009 23:15:00;  6,34
25.12.2009 19:00:00;  6,46
01.01.2010 00:00:00; 0,819
26.02.2010 20:00:00;  7,74
01.03.2010 00:00:00;  3,14
14.04.2010 15:18:00;  1,95
15.05.2010 14:03:00;  3,50
16.06.2010 07:48:00;  12,7
13.07.2010 17:33:00;  4,47
28.08.2010 06:48:00;  14,0
18.09.2010 23:48:05;  19,4
25.10.2010 19:03:00;  4,99
22.11.2010 03:18:00;  6,52
25.12.2010 04:18:00;  8,12
19.01.2011 19:48:00;  1,30
03.02.2011 12:33:00; 0,952
17.03.2011 02:03:00;  5,66
12.04.2011 21:18:00;  1,11
28.05.2011 06:48:00;  6,53
19.06.2011 04:15:00;  8,40
05.07.2011 13:45:00;  12,8
04.08.2011 01:15:00;  5,66
19.09.2011 17:30:00;  9,10
07.10.2011 13:15:00;  6,88
01.11.2011 01:00:00; 0,476
17.12.2011 05:00:00;  1,46
03.01.2012 08:45:00; 0,564
24.02.2012 20:45:00;  1,82
01.03.2012 00:00:00; 0,658
22.04.2012 18:42:00;  2,96
13.05.2012 03:12:00;  9,08
13.06.2012 17:27:00;  3,63
15.07.2012 00:57:00;  15,6
31.08.2012 23:59:55;  6,13
13.09.2012 02:57:00;  18,4
27.10.2012 22:42:00;  19,1
05.11.2012 11:42:00;  24,6
15.12.2012 20:42:00;  2,82
31.01.2013 17:12:00;  1,57
27.02.2013 02:12:00;  6,75
10.03.2013 13:27:00;  10,1
12.04.2013 20:27:00;  4,25
07.05.2013 22:42:00;  6,00
07.06.2013 16:27:20;  3,05
11.07.2013 16:27:20; 0,551
13.08.2013 16:57:20;  1,15
11.09.2013 02:57:20;  11,2
11.10.2013 12:12:20;  3,47
24.11.2013 00:57:20;  48,3
29.12.2013 23:27:20;  2,25
05.01.2014 20:57:20;  5,54
20.02.2014 02:27:20;  11,8
23.03.2014 21:12:20;  2,61
28.04.2014 01:12:20;  9,23
11.05.2014 22:57:20;  16,7
30.06.2014 07:15:35;  13,5
23.07.2014 00:15:35;  10,9
09.08.2014 18:30:30;  20,6
13.09.2014 04:45:35;  65,5
22.10.2014 05:00:35;  12,5
08.11.2014 11:15:35;  10,6
07.12.2014 03:15:35;  4,71
11.01.2015 17:00:35;  1,66
24.02.2015 15:30:35;  4,82
27.03.2015 11:47:55;  3,01
28.04.2015 19:17:55;  1,40
23.05.2015 01:32:55;  20,4
23.06.2015 14:28:55;  13,6
08.07.2015 20:13:55;  28,9
17.08.2015 10:13:55;  2,48
05.09.2015 03:43:55;  6,86
11.10.2015 07:58:55;  32,1
21.11.2015 13:13:55;  3,53
01.12.2015 00:28:55; 0,675
11.01.2016 21:15:00;  8,57
19.02.2016 03:00:00;  10,8
07.03.2016 00:02:55;  5,33
29.04.2016 16:32:55;  1,47
02.05.2016 12:02:55;  29,3
27.06.2016 05:32:55;  12,9
14.07.2016 03:32:55;  11,9
10.08.2016 15:32:55;  6,30
19.09.2016 04:02:55;  4,37
20.10.2016 06:47:55;  4,26
07.11.2016 00:32:55;  15,2
01.12.2016 12:17:55; 0,689
02.01.2017 12:02:55; 0,454
06.02.2017 17:32:55;  4,30
01.03.2017 07:32:55;  1,26
28.04.2017 11:32:55;  9,41
23.05.2017 14:32:55;  1,11
01.06.2017 16:17:55;  10,2
24.07.2017 11:47:00;  5,95
28.08.2017 15:17:00;  8,64
19.09.2017 15:47:00;  14,8
22.10.2017 22:47:00;  1,43
13.11.2017 04:02:00;  8,69
11.12.2017 23:17:00;  6,88
02.01.2018 01:17:00;  2,79
02.02.2018 03:32:00; 0,931
11.03.2018 16:32:00;  9,65
17.04.2018 02:32:00;  4,79
15.05.2018 09:32:00;  44,7
22.06.2018 06:47:00;  8,69
05.07.2018 20:17:00;  2,21
30.08.2018 20:02:00;  12,2
01.09.2018 05:17:00;  20,3
08.10.2018 00:02:00;  4,73
26.11.2018 09:32:00;  4,54
08.12.2018 06:02:00; 0,590
18.01.2019 03:17:00; 0,438
03.02.2019 19:26:00;  4,71
25.03.2019 20:41:00;  1,65
11.04.2019 08:56:00;  10,0
30.05.2019 05:11:00;  8,96
23.06.2019 11:56:00;  12,2
03.07.2019 18:26:00;  12,6
24.08.2019 17:26:00;  4,21
02.09.2019 20:26:00;  4,25
