Messstelle:                ;Urschwirtbrücke
HZB-Nummer:                ;212878
HD-Nummer:                 ;00506
DBMS-Nummer:               ;2001049
Gewässer:                  ;Gurk
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;230,3
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   26.02.1957              ;00935,40
   01.01.1976              ;00935,48
   01.01.2002              ;00934,97
   03.06.2004              ;00934,95
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1977              ;501572,00 - 181937,00
Exportzeitreihe:           ;(2001049,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[22.01.1965 12:00,01.01.2022 00:00]
Werte:
10.10.1977 18:00:00;  2,19
30.11.1977 08:00:00;  1,86
12.12.1977 19:00:00;  1,16
21.01.1978 18:00:00;  1,23
28.02.1978 23:59:55;  1,36
31.03.1978 23:59:55;  3,60
30.04.1978 20:00:00;  9,81
23.05.1978 02:00:00;  32,5
24.06.1978 23:00:00;  13,7
19.07.1978 11:00:00;  24,1
17.08.1978 20:00:00;  8,45
27.09.1978 19:00:00;  5,29
03.10.1978 16:00:00;  9,29
01.11.1978 00:00:00;  2,10
27.12.1978 10:00:00;  1,50
29.01.1979 00:01:00;  2,12
01.02.1979 00:00:05;  1,52
16.03.1979 21:00:00;  11,2
17.04.1979 21:00:00;  8,35
20.05.1979 20:00:00;  27,2
15.06.1979 06:00:00;  28,0
03.07.1979 13:00:00;  35,3
10.08.1979 12:00:00;  10,0
24.09.1979 14:00:00;  20,3
18.10.1979 02:00:00;  4,79
10.11.1979 06:00:00;  10,2
11.12.1979 20:00:00;  4,60
01.01.1980 00:00:00;  1,91
27.02.1980 20:00:00;  1,72
30.03.1980 03:00:00;  2,86
18.04.1980 23:00:00;  5,96
14.05.1980 02:00:00;  12,2
24.06.1980 04:00:00;  16,5
30.07.1980 03:00:00;  23,6
12.08.1980 22:00:00;  10,3
10.09.1980 10:00:00;  12,7
18.10.1980 06:00:00;  23,2
18.11.1980 23:00:00;  6,44
01.12.1980 22:00:00;  4,14
04.01.1981 06:00:00;  1,77
01.02.1981 00:00:00;  1,42
26.03.1981 23:00:00;  5,38
05.04.1981 22:00:00;  7,09
27.05.1981 08:00:00;  17,0
01.06.1981 01:00:00;  8,36
19.07.1981 09:00:00;  23,4
21.08.1981 11:00:00;  20,7
28.09.1981 23:00:00;  6,14
27.10.1981 13:00:00;  14,5
11.11.1981 15:00:00;  5,14
02.12.1981 19:00:00;  2,49
01.01.1982 15:30:00;  2,25
15.02.1982 10:00:00;  1,31
29.03.1982 19:30:00;  2,70
08.04.1982 22:30:00;  5,55
24.05.1982 08:30:00;  19,0
27.06.1982 17:00:00;  15,4
31.07.1982 19:00:00;  12,7
16.08.1982 22:00:00;  21,8
08.09.1982 05:00:00;  12,9
06.10.1982 21:00:00;  28,9
14.11.1982 05:30:00;  9,49
18.12.1982 10:00:00;  6,02
09.01.1983 10:00:00;  2,86
01.02.1983 19:00:00;  2,20
25.03.1983 20:00:00;  2,79
25.04.1983 10:30:00;  8,22
24.05.1983 17:30:00;  10,2
09.06.1983 22:00:00;  13,0
06.07.1983 02:30:00;  8,18
03.08.1983 15:00:00;  5,63
04.09.1983 00:00:00;  18,6
17.10.1983 11:30:00;  8,91
27.11.1983 21:00:00;  2,13
30.12.1983 00:30:00;  1,48
03.01.1984 19:00:00;  1,32
01.02.1984 00:01:00;  1,04
30.03.1984 03:00:00;  2,15
24.04.1984 21:30:00;  7,78
21.05.1984 10:30:00;  29,2
05.06.1984 23:30:00;  8,63
26.07.1984 02:30:00;  8,05
06.08.1984 04:00:00;  13,0
24.09.1984 05:30:00;  13,5
02.10.1984 19:00:00;  15,7
01.11.1984 16:00:00;  2,91
04.12.1984 08:30:00;  1,92
01.01.1985 00:00:00;  1,31
03.02.1985 01:00:00;  1,88
31.03.1985 19:30:00;  2,49
05.04.1985 21:30:00;  5,40
14.05.1985 23:00:00;  17,2
09.06.1985 01:00:00;  18,9
21.07.1985 09:00:00;  9,38
06.08.1985 20:30:00;  13,5
04.09.1985 08:00:00;  5,42
09.10.1985 07:00:00;  2,21
06.11.1985 10:30:00;  2,77
29.12.1985 18:30:00;  2,43
01.01.1986 09:30:00;  1,68
08.02.1986 00:01:00;  1,19
31.03.1986 21:30:00;  1,86
30.04.1986 21:30:00;  20,2
01.05.1986 19:30:00;  20,3
16.06.1986 02:00:00;  18,3
31.07.1986 22:00:00;  11,1
28.08.1986 17:45:00;  14,9
10.09.1986 14:30:00;  13,4
23.10.1986 17:45:00;  5,56
23.11.1986 21:15:00;  2,00
03.12.1986 10:15:00;  1,44
01.01.1987 00:00:00;  1,01
23.02.1987 11:45:00;  1,35
13.03.1987 14:15:00;  7,01
21.04.1987 03:00:00;  13,2
05.05.1987 06:00:00;  24,2
09.06.1987 17:00:00;  16,3
02.07.1987 23:30:00;  16,8
25.08.1987 18:30:00;  8,41
06.09.1987 12:00:00;  15,0
12.10.1987 05:15:00;  12,6
02.11.1987 09:45:00;  3,46
12.12.1987 14:00:00;  3,92
29.01.1988 16:30:00;  3,09
07.02.1988 21:45:00;  2,96
15.03.1988 17:00:00;  1,92
24.04.1988 05:30:00;  10,5
03.05.1988 18:45:00;  14,0
06.06.1988 07:15:00;  12,1
15.07.1988 15:15:00;  12,5
22.08.1988 09:00:00;  8,21
14.09.1988 00:45:00;  13,3
06.10.1988 07:15:00;  6,54
23.11.1988 14:15:00;  5,78
02.12.1988 16:15:00;  2,83
02.01.1989 00:01:00;  1,92
12.02.1989 12:45:00;  1,82
21.03.1989 17:45:00;  2,66
13.04.1989 22:45:00;  9,27
14.05.1989 16:15:00;  7,17
24.06.1989 08:00:00;  7,17
05.07.1989 04:15:00;  21,3
08.08.1989 20:30:00;  7,79
03.09.1989 06:15:00;  10,6
01.10.1989 00:00:00;  4,66
04.11.1989 11:45:00;  4,67
19.12.1989 15:30:00;  4,89
29.01.1990 15:45:00;  1,82
15.02.1990 17:00:00;  2,47
25.03.1990 16:00:00;  2,24
08.04.1990 00:00:00;  4,73
10.05.1990 21:45:00;  6,54
23.06.1990 15:45:00;  6,15
06.07.1990 13:15:00;  13,1
01.08.1990 00:45:00;  5,49
24.09.1990 15:30:00;  6,35
27.10.1990 19:15:00;  5,24
26.11.1990 04:45:00;  15,0
01.12.1990 00:00:00;  6,04
07.01.1991 16:00:00;  3,09
01.02.1991 00:00:00; 0,841
01.03.1991 00:00:05;  11,2
03.04.1991 21:15:00;  5,42
11.05.1991 04:45:00;  17,2
04.06.1991 20:00:00;  12,7
17.07.1991 23:45:00;  14,7
18.08.1991 22:00:00;  8,63
30.09.1991 23:59:55;  10,6
01.10.1991 00:00:00;  10,6
05.11.1991 03:15:00;  7,23
10.12.1991 18:00:00;  3,46
01.01.1992 00:00:00;  2,01
02.02.1992 23:45:00;  1,56
24.03.1992 15:45:00;  3,50
29.04.1992 18:00:00;  14,5
04.05.1992 05:45:00;  19,4
03.06.1992 21:15:00;  10,7
16.07.1992 19:30:00;  9,34
04.08.1992 19:30:00;  5,84
01.09.1992 17:15:00;  4,89
05.10.1992 19:15:00;  20,1
04.11.1992 00:00:00;  11,9
04.12.1992 02:00:00;  9,13
27.01.1993 07:00:00;  2,24
04.02.1993 11:00:00;  2,24
24.03.1993 07:30:00;  2,47
30.04.1993 01:00:00;  3,13
08.05.1993 01:30:00;  4,99
04.06.1993 19:45:00;  3,79
20.07.1993 23:30:00;  17,2
08.08.1993 23:15:00;  9,80
26.09.1993 06:30:00;  7,37
24.10.1993 01:45:00;  37,2
06.11.1993 05:30:00;  11,2
01.12.1993 00:00:00;  3,86
24.01.1994 00:00:05;  2,55
10.02.1994 18:00:00;  1,77
14.03.1994 21:15:00;  3,39
18.04.1994 03:00:00;  6,63
19.05.1994 18:45:00;  7,37
05.06.1994 04:45:00;  6,57
07.07.1994 07:15:00;  18,6
30.08.1994 01:15:00;  8,44
14.09.1994 23:45:00;  15,0
04.10.1994 22:00:00;  7,17
11.11.1994 07:30:00;  10,0
03.12.1994 10:45:00;  3,39
27.01.1995 01:30:00;  2,12
28.02.1995 11:15:00;  1,48
27.03.1995 22:15:00;  2,25
25.04.1995 12:15:00;  12,5
13.05.1995 12:15:00;  11,3
21.06.1995 19:00:00;  12,2
27.07.1995 21:30:00;  17,4
09.08.1995 21:30:00;  17,4
20.09.1995 02:45:00;  20,4
01.10.1995 00:00:00;  5,16
01.11.1995 00:00:00;  2,06
24.12.1995 01:00:00;  1,77
06.01.1996 00:01:00;  1,48
06.02.1996 19:30:00;  1,16
26.03.1996 22:30:00;  2,25
25.04.1996 22:15:00;  9,35
13.05.1996 13:30:00;  17,1
22.06.1996 19:30:00;  14,3
03.07.1996 00:30:00;  16,8
08.08.1996 00:00:00;  11,9
23.09.1996 15:30:00;  7,56
02.10.1996 21:00:00;  15,2
18.11.1996 14:00:00;  26,8
01.12.1996 00:00:00;  5,93
01.01.1997 00:00:05;  5,55
26.02.1997 16:37:35;  4,57
06.03.1997 08:43:40;  2,45
29.04.1997 02:00:35;  1,79
07.05.1997 05:19:10;  4,26
23.06.1997 10:01:10;  10,6
24.07.1997 21:12:10;  8,23
27.08.1997 19:39:50;  11,5
07.09.1997 21:14:35;  6,96
01.10.1997 16:40:30;  2,50
08.11.1997 11:58:50;  3,30
07.12.1997 12:10:55;  2,71
01.01.1998 00:00:00;  1,56
16.02.1998 23:32:50;  1,50
31.03.1998 23:59:55;  1,98
29.04.1998 16:47:15;  9,55
01.05.1998 00:00:00;  7,46
11.06.1998 20:02:55;  5,60
03.07.1998 10:32:00;  12,3
05.08.1998 07:44:20;  12,5
05.09.1998 21:53:35;  33,9
07.10.1998 21:57:30;  39,7
04.11.1998 22:55:30;  8,10
01.12.1998 00:00:00;  3,00
01.01.1999 00:00:00;  1,81
28.02.1999 01:42:45;  1,28
15.03.1999 23:33:15;  2,39
17.04.1999 00:15:10;  9,03
05.05.1999 05:58:40;  16,0
08.06.1999 21:07:15;  7,81
23.07.1999 04:49:05;  19,1
13.08.1999 05:00:05;  25,4
01.09.1999 00:00:00;  17,4
04.10.1999 07:44:00;  15,0
04.11.1999 12:17:45;  3,59
01.12.1999 00:00:00;  2,35
01.01.2000 11:46:00;  1,55
26.02.2000 12:46:30;  1,45
29.03.2000 16:44:40;  2,46
25.04.2000 00:10:20;  20,4
12.05.2000 18:46:05;  16,1
25.06.2000 06:49:55;  9,11
12.07.2000 02:29:35;  13,8
06.08.2000 04:53:55;  15,8
21.09.2000 10:51:25;  5,91
09.10.2000 17:55:00;  12,9
07.11.2000 05:11:20;  31,4
01.12.2000 00:00:00;  12,2
08.01.2001 12:43:30;  10,5
09.02.2001 06:03:20;  2,38
30.03.2001 21:58:00;  6,15
24.04.2001 23:24:10;  6,15
08.05.2001 16:08:30;  13,9
17.06.2001 14:05:30;  13,0
20.07.2001 12:10:05;  19,4
19.08.2001 23:21:35;  4,62
26.09.2001 07:08:55;  10,9
04.10.2001 20:35:50;  4,54
11.11.2001 22:38:25;  1,73
01.12.2001 00:00:00;  1,11
01.01.2002 00:00:00;  11,9
22.02.2002 11:37:00; 0,979
21.03.2002 22:31:55;  1,97
27.04.2002 13:08:45;  5,08
26.05.2002 14:52:45;  8,44
23.06.2002 21:30:20;  10,4
15.07.2002 04:53:25;  13,7
12.08.2002 13:10:55;  36,7
24.09.2002 18:36:55;  11,1
18.10.2002 01:21:00;  11,5
19.11.2002 04:58:05;  15,8
01.12.2002 00:00:00;  9,62
13.01.2003 14:30:00;  3,07
02.02.2003 18:45:00;  2,26
12.03.2003 23:34:10;  1,86
30.04.2003 22:01:30;  3,01
20.05.2003 15:02:05;  8,68
24.06.2003 14:45:00;  24,3
04.07.2003 12:45:00;  8,62
30.08.2003 01:17:25;  25,0
01.09.2003 00:00:00;  12,3
05.10.2003 19:05:35;  10,8
01.11.2003 18:20:55;  17,3
01.12.2003 03:21:20;  7,38
01.01.2004 20:30:00;  2,45
05.02.2004 23:22:50;  1,72
21.03.2004 12:18:50;  4,43
24.04.2004 19:52:10;  7,87
22.05.2004 17:11:40;  10,4
20.06.2004 17:14:25;  24,1
02.07.2004 19:43:00;  18,3
26.08.2004 12:25:10;  11,5
16.09.2004 00:43:50;  9,40
31.10.2004 15:28:45;  17,2
01.11.2004 00:00:00;  9,04
01.12.2004 02:38:20;  2,97
01.01.2005 00:00:00;  1,58
01.02.2005 00:00:00;  1,23
25.03.2005 20:29:00;  4,04
19.04.2005 14:49:35;  5,17
18.05.2005 18:10:20;  7,92
05.06.2005 02:13:20;  4,19
08.07.2005 14:35:45;  18,2
22.08.2005 13:36:25;  19,2
17.09.2005 18:43:40;  10,1
06.10.2005 12:03:10;  53,4
01.11.2005 00:00:00;  4,28
04.12.2005 13:37:45;  1,90
06.01.2006 10:52:30;  1,81
04.02.2006 20:37:30;  1,70
29.03.2006 01:30:35;  6,21
28.04.2006 03:05:00;  14,5
20.05.2006 09:15:05;  24,6
01.06.2006 01:11:20;  7,87
12.07.2006 18:05:55;  4,35
03.08.2006 21:10:35;  10,7
17.09.2006 01:31:05;  6,38
05.10.2006 02:30:45;  9,00
01.11.2006 18:46:40;  2,23
09.12.2006 19:16:55;  2,68
19.01.2007 16:45:50;  4,19
01.02.2007 09:32:05;  1,55
31.03.2007 23:59:55;  2,34
15.04.2007 21:47:50;  7,18
29.05.2007 03:18:50;  14,4
26.06.2007 22:13:45;  11,3
10.07.2007 11:46:55;  14,5
30.08.2007 16:31:15;  9,89
28.09.2007 09:30:00;  15,4
06.10.2007 13:00:00;  7,59
25.11.2007 05:30:00;  3,68
01.12.2007 01:15:00;  2,53
13.01.2008 09:22:45;  3,44
04.02.2008 10:16:40;  1,54
12.03.2008 21:48:10;  2,54
12.04.2008 03:30:00;  5,58
20.05.2008 19:00:00;  10,8
23.06.2008 19:45:00;  13,2
31.07.2008 20:45:00;  10,3
16.08.2008 00:30:00;  22,6
12.09.2008 21:30:00;  8,29
30.10.2008 04:30:00;  12,0
13.11.2008 18:30:00;  6,14
30.12.2008 23:59:55;  5,91
01.01.2009 02:39:25;  2,26
09.02.2009 12:48:40;  2,01
29.03.2009 23:07:30;  4,01
29.04.2009 22:15:00;  19,3
01.05.2009 00:30:00;  17,5
20.06.2009 13:00:00;  26,3
18.07.2009 12:30:00;  22,9
22.08.2009 19:15:00;  12,4
17.09.2009 02:00:00;  13,8
12.10.2009 10:30:00;  5,28
30.11.2009 23:59:55;  3,70
25.12.2009 18:00:00;  9,50
01.01.2010 00:00:00;  3,05
01.02.2010 00:00:00;  1,57
27.03.2010 04:00:00;  4,21
27.04.2010 02:00:00;  7,27
06.05.2010 07:30:00;  28,6
20.06.2010 06:30:00;  11,4
30.07.2010 01:30:00;  5,28
11.08.2010 19:30:00;  18,9
18.09.2010 09:00:00;  12,6
01.10.2010 00:00:00;  5,34
17.11.2010 06:00:00;  19,3
24.12.2010 12:59:10;  11,8
11.01.2011 06:36:00;  6,22
03.02.2011 13:06:00;  3,00
17.03.2011 01:21:00;  8,11
29.04.2011 18:45:00;  5,38
28.05.2011 06:30:00;  6,64
19.06.2011 09:00:00;  25,2
24.07.2011 12:00:00;  14,4
09.08.2011 04:30:00;  11,5
19.09.2011 13:15:00;  27,5
07.10.2011 11:30:00;  8,75
01.11.2011 00:00:00;  3,70
17.12.2011 10:15:00;  2,04
30.01.2012 19:30:00;  1,68
29.02.2012 22:30:05;  3,81
01.03.2012 00:00:00;  3,39
07.04.2012 18:15:00;  5,13
12.05.2012 23:30:00;  8,57
25.06.2012 16:45:00;  8,73
21.07.2012 19:30:00;  38,4
31.08.2012 19:00:00;  16,5
13.09.2012 01:15:00;  17,6
16.10.2012 05:30:00;  18,2
05.11.2012 10:30:00;  36,6
01.12.2012 00:45:00;  9,50
05.01.2013 08:15:00;  3,20
02.02.2013 12:00:00;  1,99
10.03.2013 16:15:00;  2,89
22.04.2013 19:45:00;  20,4
07.05.2013 21:15:00;  16,5
02.06.2013 04:00:00;  11,0
28.07.2013 00:30:00;  6,80
25.08.2013 11:45:00;  7,93
11.09.2013 05:15:00;  4,03
11.10.2013 12:45:00;  8,51
23.11.2013 21:45:00;  8,75
01.12.2013 00:00:00;  4,54
05.01.2014 18:15:00;  6,16
19.02.2014 23:58:35;  4,20
23.03.2014 17:15:00;  15,4
09.04.2014 00:45:00;  14,3
11.05.2014 20:00:00;  13,7
30.06.2014 06:00:00;  12,2
01.07.2014 00:00:00;  6,69
31.08.2014 23:59:55;  25,1
13.09.2014 11:45:00;  34,5
01.10.2014 16:30:00;  6,16
07.11.2014 02:45:00;  18,7
01.12.2014 14:15:00;  9,76
10.01.2015 09:51:10;  6,92
03.02.2015 11:06:25;  3,01
25.03.2015 22:45:00;  3,62
15.04.2015 19:36:10;  4,24
23.05.2015 06:00:00;  9,79
16.06.2015 21:00:00;  16,9
16.07.2015 21:30:00;  20,1
02.08.2015 10:15:00;  12,5
23.09.2015 23:15:00;  13,5
16.10.2015 13:30:00;  18,6
01.11.2015 00:00:00;  5,06
01.12.2015 18:15:00;  2,47
11.01.2016 21:45:00;  4,20
29.02.2016 11:45:00;  3,21
31.03.2016 20:15:00;  4,31
08.04.2016 18:30:00;  7,98
12.05.2016 15:15:00;  7,45
27.06.2016 07:00:00;  19,0
25.07.2016 05:30:00;  19,4
10.08.2016 13:15:00;  28,8
17.09.2016 12:15:00;  10,0
20.10.2016 00:00:00;  6,05
19.11.2016 14:15:00;  20,9
01.12.2016 14:15:00;  5,72
02.01.2017 12:15:00;  2,69
28.02.2017 23:45:00;  2,29
04.03.2017 23:00:00;  3,24
28.04.2017 05:00:00;  14,8
01.05.2017 11:00:00;  5,60
06.06.2017 22:15:00;  6,97
24.07.2017 23:45:00;  30,0
20.08.2017 06:15:00;  33,9
19.09.2017 19:45:00;  26,7
01.10.2017 00:00:00;  7,72
06.11.2017 05:15:00;  4,98
12.12.2017 08:15:00;  15,5
09.01.2018 18:15:00;  5,18
05.02.2018 12:15:00;  2,53
31.03.2018 12:30:00;  3,73
26.04.2018 21:00:00;  26,8
15.05.2018 15:45:00;  26,4
07.06.2018 20:00:00;  24,4
20.07.2018 17:45:00;  9,71
26.08.2018 06:30:00;  15,8
01.09.2018 13:30:00;  21,3
30.10.2018 01:00:00;  34,1
03.11.2018 01:00:00;  13,3
08.12.2018 13:15:00;  3,93
01.01.2019 00:00:00;  1,96
02.02.2019 12:47:45;  3,76
31.03.2019 23:59:55;  3,60
11.04.2019 14:15:00;  12,8
29.05.2019 19:45:00;  15,7
19.06.2019 20:15:00;  12,2
02.07.2019 15:30:00;  5,53
08.08.2019 22:45:00;  8,73
08.09.2019 21:45:00;  32,0
02.10.2019 16:15:00;  5,53
18.11.2019 04:15:00;  68,8
21.12.2019 17:15:00;  12,2
01.01.2020 00:00:00;  4,40
06.02.2020 10:15:00;  2,49
22.03.2020 02:45:00;  3,45
29.04.2020 18:30:00;  7,52
19.05.2020 23:45:00;  12,6
29.06.2020 18:00:00;  10,1
29.07.2020 23:30:00;  24,6
04.08.2020 01:45:00;  33,0
25.09.2020 23:00:00;  20,6
05.10.2020 07:15:00;  15,4
01.11.2020 11:45:00;  8,26
06.12.2020 21:15:00;  19,8
02.01.2021 21:30:00;  3,60
27.02.2021 19:45:00;  4,13
31.03.2021 22:00:00;  5,76
03.04.2021 01:00:00;  8,26
25.05.2021 02:00:00;  16,5
02.06.2021 21:30:00;  13,0
14.07.2021 08:00:00;  6,82
23.08.2021 05:15:00;  10,3
20.09.2021 04:00:00;  9,01
06.10.2021 19:15:00;  5,53
04.11.2021 09:30:00;  7,29
04.12.2021 04:15:00;  1,84
