Messstelle:                ;Klösterle (ÖBB)
HZB-Nummer:                ;200592
HD-Nummer:                 ;
DBMS-Nummer:               ;8002380
Gewässer:                  ;Alfenz
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Vorarlberger Kraftwerke-AG.
orogr.Einzugsgebiet [km²]: ;66,47
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1998              ;01014,35
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1998              ;129424,00 - 221155,00
Exportzeitreihe:           ;(8002380,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1998 00:15,01.01.2022 00:00]
Werte:
09.12.2010 04:15:05;  3,11
13.01.2011 14:30:00;  5,10
01.02.2011 01:00:00;  2,10
31.03.2011 23:59:55;  2,45
12.04.2011 16:45:00;  5,75
27.05.2011 14:15:00;  10,9
18.06.2011 16:45:00;  14,1
20.07.2011 22:15:00;  9,32
07.08.2011 19:30:00;  10,2
18.09.2011 12:00:00;  6,26
10.10.2011 13:45:00;  13,6
04.11.2011 07:45:00;  2,26
31.12.2011 21:15:00;  2,08
01.01.2012 12:30:00;  2,21
15.02.2012 17:15:00;  2,64
29.03.2012 06:45:00;  4,55
29.04.2012 19:15:00;  10,8
24.05.2012 03:15:00;  14,8
04.06.2012 05:15:00;  25,2
14.07.2012 13:30:00;  10,6
26.08.2012 00:15:00;  19,8
24.09.2012 16:15:00;  14,1
09.10.2012 23:05:00;  20,5
04.11.2012 23:50:00;  4,73
10.12.2012 05:45:00;  2,91
30.01.2013 23:45:00;  2,66
02.02.2013 06:15:00;  2,57
10.03.2013 00:05:00;  2,66
18.04.2013 19:15:00;  9,20
03.05.2013 00:00:00;  11,3
17.06.2013 20:00:00;  15,6
07.07.2013 18:35:00;  20,3
03.08.2013 20:50:00;  9,12
19.09.2013 04:45:00;  12,5
23.10.2013 22:15:00;  7,58
06.11.2013 16:25:00;  7,49
01.12.2013 15:30:00;  2,59
11.01.2014 19:55:00;  2,60
02.02.2014 04:30:00;  2,27
21.03.2014 01:45:00;  2,36
26.04.2014 19:30:00;  7,38
23.05.2014 19:15:00;  10,4
29.06.2014 19:05:00;  16,0
31.07.2014 04:15:00;  20,6
13.08.2014 12:30:00;  15,1
01.09.2014 09:45:00;  11,4
21.10.2014 07:45:00;  6,95
05.11.2014 15:20:00;  4,73
18.12.2014 23:55:00;  4,33
04.01.2015 02:15:00;  6,62
21.02.2015 14:35:00;  2,26
30.03.2015 14:30:00;  5,16
17.04.2015 18:15:00;  9,10
06.05.2015 11:25:00;  17,4
04.06.2015 19:10:00;  18,9
08.07.2015 13:20:00;  7,69
01.08.2015 21:35:00;  9,69
14.09.2015 10:20:00;  11,1
20.10.2015 08:35:00;  4,57
20.11.2015 23:45:00;  7,18
17.12.2015 05:25:00;  3,83
31.01.2016 23:50:00;  3,25
01.02.2016 05:25:00;  4,59
31.03.2016 22:05:00;  3,13
07.04.2016 02:20:00;  7,41
29.05.2016 23:00:00;  19,0
16.06.2016 20:45:00;  23,0
26.07.2016 20:25:00;  19,2
05.08.2016 04:55:00;  24,5
12.09.2016 20:15:00;  13,8
25.10.2016 18:55:00;  5,88
17.11.2016 00:20:00;  4,02
01.12.2016 09:10:00;  2,41
27.01.2017 00:45:00;  2,64
01.02.2017 06:45:00;  2,91
19.03.2017 10:00:00;  5,52
14.04.2017 18:45:00;  5,78
30.05.2017 21:25:00;  19,4
01.06.2017 17:25:00;  41,7
26.07.2017 16:45:00;  20,0
19.08.2017 08:05:00;  11,9
05.09.2017 05:45:00;  12,5
03.10.2017 12:45:00;  16,5
10.11.2017 09:30:00;  4,59
08.12.2017 10:30:00;  3,60
04.01.2018 21:00:00;  4,77
16.02.2018 13:30:00;  2,44
19.03.2018 08:30:00;  2,87
24.04.2018 08:30:00;  14,6
06.05.2018 19:15:00;  15,8
13.06.2018 09:00:00;  14,7
08.07.2018 02:25:00;  7,16
29.08.2018 20:00:00;  18,2
24.09.2018 00:15:00;  16,3
29.10.2018 21:05:00;  13,1
01.11.2018 18:55:00;  2,44
24.12.2018 08:20:00;  12,5
02.01.2019 14:10:00;  2,35
20.02.2019 06:10:00;  2,05
31.03.2019 21:30:00;  2,66
24.04.2019 21:25:00;  10,4
21.05.2019 14:30:00;  15,2
12.06.2019 03:25:00;  24,2
28.07.2019 20:20:00;  15,5
12.08.2019 21:55:00;  24,5
01.09.2019 20:25:00;  11,0
09.10.2019 17:00:00;  10,6
05.11.2019 14:20:00;  7,64
20.12.2019 23:40:00;  2,40
19.01.2020 03:35:00;  2,06
03.02.2020 19:40:00;  12,2
19.03.2020 19:35:00;  4,73
20.04.2020 20:35:00;  12,3
05.05.2020 15:45:00;  15,0
11.06.2020 03:00:00;  11,7
02.07.2020 17:55:00;  13,6
30.08.2020 15:10:00;  20,5
01.09.2020 04:05:00;  8,99
03.10.2020 12:55:00;  11,7
04.11.2020 19:55:00;  6,17
22.12.2020 01:45:00;  2,69
29.01.2021 01:05:00;  2,29
24.02.2021 21:40:00;  2,80
31.03.2021 23:05:00;  2,86
29.04.2021 18:30:00;  6,65
11.05.2021 12:15:00;  11,4
09.06.2021 20:35:00;  16,9
18.07.2021 14:15:00;  27,3
16.08.2021 17:50:00;  23,2
01.09.2021 00:20:00;  8,15
06.10.2021 02:05:00;  4,17
13.11.2021 19:30:00;  2,66
30.12.2021 06:10:00;  4,73
