Messstelle:                ;Böckstein (Summenpegel)
HZB-Nummer:                ;203851
HD-Nummer:                 ;
DBMS-Nummer:               ;5001080
Gewässer:                  ;Nassfelder Ache m.Werksk.
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Salzburg AG für Energie, Verkehr und Telekommunikation
orogr.Einzugsgebiet [km²]: ;57,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1982              ;01115,02
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1982              ;433400,00 - 216520,00
Exportzeitreihe:           ;(5001080,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1982 02:00,01.01.2022 00:00]
Werte:
07.11.1994 02:00:00; 0,216
04.12.1994 23:30:00; 0,284
22.01.1995 02:00:00; 0,593
19.02.1995 19:45:00; 0,158
11.03.1995 09:30:00; 0,110
01.04.1995 23:00:00; 0,158
18.05.1995 11:15:00; 0,980
18.06.1995 02:00:00;  6,54
30.07.1995 05:45:00;  7,08
06.08.1995 14:15:00;  5,23
28.09.1995 00:00:00;  2,57
26.10.1995 12:00:00; 0,334
07.11.1995 00:00:00; 0,659
17.12.1995 02:00:00; 0,593
20.01.1996 02:00:00; 0,373
03.02.1996 02:00:00; 0,363
31.03.1996 23:59:55; 0,155
01.04.1996 00:00:00; 0,155
06.05.1996 11:45:00;  1,67
17.06.1996 00:00:00; 0,264
01.07.1996 00:00:00;  1,12
27.08.1996 03:45:00;  3,42
29.09.1996 18:00:00; 0,265
01.10.1996 00:00:00; 0,265
06.11.1996 21:15:00; 0,206
26.12.1996 12:45:00; 0,595
11.01.1997 00:00:00; 0,849
01.02.1997 14:19:10; 0,789
31.03.1997 15:24:50; 0,265
07.04.1997 16:30:00; 0,298
01.05.1997 16:22:35;  1,11
08.06.1997 05:26:00;  2,06
13.07.1997 22:35:20;  6,29
01.08.1997 05:28:15;  1,68
28.09.1997 11:25:55; 0,294
29.10.1997 03:12:50;  1,12
05.11.1997 13:26:20;  1,33
04.12.1997 09:17:05;  1,00
19.01.1998 00:00:00; 0,478
21.02.1998 11:15:00; 0,436
21.03.1998 21:30:00; 0,531
15.04.1998 10:15:00; 0,305
31.05.1998 11:15:00; 0,945
01.06.1998 03:00:00;  1,06
18.07.1998 09:30:00;  5,89
31.08.1998 03:45:00;  3,07
30.09.1998 23:30:00;  2,10
31.10.1998 19:45:00;  2,57
26.11.1998 08:15:00; 0,337
06.12.1998 00:15:00; 0,349
23.01.1999 23:59:55; 0,583
14.02.1999 00:00:00; 0,527
12.03.1999 00:00:00; 0,608
01.04.1999 00:30:00; 0,889
30.05.1999 09:30:00;  3,99
27.06.1999 00:00:00;  1,04
04.07.1999 00:00:00;  1,61
14.08.1999 23:59:55;  5,38
18.09.1999 10:15:00;  3,44
20.10.1999 23:59:55;  1,97
26.11.1999 00:00:00;  1,02
31.12.1999 00:00:00; 0,400
29.01.2000 00:00:00; 0,110
04.02.2000 08:00:00; 0,360
04.03.2000 09:45:00; 0,142
06.04.2000 23:00:00; 0,216
24.05.2000 02:30:00;  6,39
01.06.2000 05:30:00;  2,53
22.07.2000 00:00:00;  4,46
30.08.2000 04:00:00;  3,72
25.09.2000 10:00:00;  2,64
30.10.2000 00:30:00;  3,24
30.11.2000 21:00:00;  2,77
23.12.2000 00:00:00;  1,48
20.01.2001 00:00:00; 0,698
18.02.2001 00:15:00; 0,284
03.03.2001 10:45:00; 0,235
03.04.2001 08:20:30; 0,629
20.05.2001 09:45:00;  2,91
15.06.2001 01:00:00;  6,38
19.07.2001 01:15:00;  1,39
12.08.2001 21:00:00;  4,20
19.09.2001 07:45:00;  3,64
27.10.2001 01:15:00; 0,322
01.11.2001 00:30:00; 0,392
02.12.2001 02:45:00; 0,284
29.01.2002 07:30:00; 0,284
23.02.2002 00:00:00; 0,216
29.03.2002 09:30:00; 0,428
01.04.2002 09:00:00; 0,426
01.05.2002 06:45:00;  4,54
30.06.2002 21:30:00; 0,819
07.07.2002 21:15:00;  3,11
31.08.2002 00:00:00;  3,71
22.09.2002 00:30:00; 0,593
06.10.2002 10:00:00;  1,14
13.11.2002 02:30:00; 0,299
25.12.2002 00:00:00; 0,607
26.01.2003 00:00:00; 0,199
09.02.2003 12:30:00; 0,160
10.03.2003 07:15:00; 0,160
13.04.2003 03:30:00; 0,199
29.05.2003 03:45:00;  1,65
22.06.2003 21:15:00;  1,61
20.07.2003 00:30:00; 0,960
30.08.2003 05:00:00; 0,970
01.09.2003 20:00:00; 0,779
04.10.2003 00:00:00; 0,499
16.11.2003 00:45:00; 0,424
14.12.2003 00:00:00; 0,878
25.01.2004 00:00:00; 0,160
03.02.2004 00:00:00; 0,199
26.03.2004 16:00:00; 0,335
12.04.2004 00:15:00; 0,286
01.05.2004 06:00:00; 0,901
06.06.2004 23:15:00;  5,82
31.07.2004 00:00:00;  8,04
29.08.2004 00:00:00;  3,00
23.09.2004 00:00:00;  1,17
03.10.2004 02:00:00;  1,42
14.11.2004 00:00:00;  1,00
25.12.2004 00:00:00; 0,241
23.01.2005 00:00:00; 0,160
26.02.2005 00:00:00; 0,125
02.03.2005 00:00:00; 0,125
02.04.2005 05:45:00; 0,975
16.05.2005 11:15:00; 0,687
08.06.2005 19:45:00;  5,75
03.07.2005 23:15:00;  1,15
06.08.2005 03:45:00;  3,28
27.09.2005 00:15:00;  2,19
30.10.2005 00:00:00; 0,444
27.11.2005 00:00:00; 0,260
21.12.2005 16:45:00; 0,161
03.01.2006 13:45:00; 0,086
11.02.2006 00:00:00; 0,224
11.03.2006 00:00:00; 0,191
13.04.2006 23:59:55; 0,414
07.05.2006 04:00:00;  1,98
11.06.2006 00:00:00;  1,19
19.07.2006 21:15:00;  5,41
27.08.2006 08:45:00;  3,62
30.09.2006 19:15:00; 0,414
01.10.2006 00:00:00; 0,439
12.11.2006 23:59:55; 0,500
13.12.2006 00:00:00; 0,161
27.01.2007 15:15:00; 0,339
28.02.2007 01:00:00; 0,317
16.03.2007 07:15:00; 0,544
01.04.2007 00:00:00; 0,453
01.05.2007 16:30:00; 0,706
02.06.2007 00:00:00;  1,96
30.07.2007 00:00:00;  3,23
18.08.2007 20:00:00;  2,31
16.09.2007 18:00:00;  1,03
16.10.2007 02:15:00; 0,441
17.11.2007 23:59:55; 0,398
30.12.2007 23:59:55; 0,228
05.01.2008 00:00:00; 0,213
03.02.2008 23:59:55; 0,433
31.03.2008 09:15:00; 0,286
07.04.2008 09:45:00; 0,286
03.05.2008 14:45:00; 0,977
17.06.2008 08:45:00;  8,49
20.07.2008 00:00:00;  4,95
17.08.2008 23:30:00;  1,16
07.09.2008 03:00:00; 0,440
25.10.2008 00:00:00; 0,252
30.11.2008 23:59:55; 0,375
31.12.2008 23:30:00; 0,202
17.01.2009 00:00:00; 0,160
07.02.2009 00:00:00; 0,230
28.03.2009 00:00:00; 0,140
05.04.2009 09:15:00;  1,30
02.05.2009 03:45:00;  3,33
05.06.2009 00:00:00;  5,09
26.07.2009 22:30:00;  1,05
23.08.2009 21:15:00; 0,980
27.09.2009 21:00:00; 0,498
31.10.2009 23:59:55; 0,321
25.11.2009 17:15:00; 0,199
06.12.2009 23:59:55; 0,310
03.01.2010 23:59:55; 0,310
28.02.2010 00:00:00; 0,161
14.03.2010 00:00:00; 0,555
04.04.2010 14:00:00; 0,335
01.05.2010 16:45:00; 0,901
05.06.2010 08:45:00;  2,04
25.07.2010 23:59:55;  1,38
29.08.2010 20:00:00; 0,940
15.09.2010 09:15:00;  3,15
28.10.2010 00:00:00; 0,867
28.11.2010 00:00:00;  1,01
31.12.2010 23:59:55; 0,338
08.01.2011 00:00:00; 0,257
06.02.2011 10:15:00; 0,258
08.03.2011 10:15:00; 0,197
01.04.2011 01:30:00; 0,451
05.05.2011 21:00:00; 0,451
19.06.2011 23:59:55;  5,44
17.07.2011 00:00:00;  3,19
28.08.2011 08:15:00; 0,905
17.09.2011 00:00:00; 0,790
04.10.2011 00:00:00; 0,547
01.11.2011 23:59:55; 0,478
03.12.2011 00:00:00; 0,258
22.01.2012 23:59:55; 0,209
