Messstelle:                ;Obermühl
HZB-Nummer:                ;204883
HD-Nummer:                 ;3170
DBMS-Nummer:               ;4001037
Gewässer:                  ;Kleine Mühl
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;200,2
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1958              ;00284,08
   17.06.2013              ;00283,50
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1928              ;493630,00 - 368955,00
   27.03.2020              ;493631,54 - 368960,62
Exportzeitreihe:           ;(4001037,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1976 08:00,01.01.2022 00:00]
Werte:
28.09.1988 09:45:00; 0,637
03.10.1988 13:15:00; 0,397
12.11.1988 00:15:00; 0,448
02.12.1988 23:15:00;  2,53
29.01.1989 20:15:00;  2,85
11.02.1989 16:45:00;  1,88
31.03.1989 21:30:00;  2,12
07.04.1989 22:30:00;  1,95
25.05.1989 05:15:00;  1,22
16.06.1989 23:30:00; 0,800
14.07.1989 22:45:00; 0,523
25.08.1989 11:00:00; 0,958
11.09.1989 04:15:00; 0,709
26.10.1989 05:00:00; 0,800
30.11.1989 12:15:00; 0,850
08.12.1989 01:45:00;  1,08
12.01.1990 10:00:00;  1,21
09.02.1990 22:45:00;  1,44
26.03.1990 15:30:00;  2,96
18.04.1990 09:45:00;  1,14
24.05.1990 05:00:00; 0,854
25.06.1990 07:00:00; 0,676
23.07.1990 12:00:00; 0,567
31.08.1990 23:59:55; 0,397
01.09.1990 00:00:00; 0,397
19.10.1990 23:15:00; 0,657
09.11.1990 22:00:00;  1,44
19.12.1990 15:45:00;  1,28
31.01.1991 05:45:00;  1,14
06.02.1991 08:00:00; 0,854
18.03.1991 05:00:00; 0,905
26.04.1991 21:30:00; 0,601
30.05.1991 03:00:00; 0,567
27.06.1991 10:15:00; 0,448
10.07.1991 14:15:00; 0,534
28.08.1991 12:30:00; 0,760
01.09.1991 23:30:00; 0,374
02.10.1991 12:30:00; 0,504
24.11.1991 12:00:00; 0,534
09.12.1991 21:15:00; 0,474
18.01.1992 06:45:00; 0,960
04.02.1992 09:15:00; 0,534
10.03.1992 07:30:00;  2,40
27.04.1992 18:45:00;  1,21
25.05.1992 08:45:00; 0,960
13.06.1992 17:45:00; 0,637
26.07.1992 08:45:00; 0,374
18.08.1992 17:15:00; 0,294
16.09.1992 04:15:00; 0,402
01.10.1992 17:30:00; 0,486
09.11.1992 12:30:00;  1,28
29.12.1992 13:00:00;  1,81
20.01.1993 03:45:00;  1,28
23.02.1993 02:00:00; 0,854
05.03.1993 05:30:00; 0,601
29.04.1993 11:45:00;  1,28
14.05.1993 15:45:00; 0,806
04.06.1993 18:00:00; 0,534
14.07.1993 09:00:00; 0,504
16.08.1993 14:15:00; 0,567
22.09.1993 13:00:00;  1,08
12.10.1993 23:30:00; 0,807
24.11.1993 03:15:00; 0,605
01.12.1993 05:15:00; 0,751
17.01.1994 14:30:00;  1,77
22.02.1994 15:00:00;  1,90
01.03.1994 15:30:00;  2,30
12.04.1994 12:00:00;  1,91
31.05.1994 19:45:00; 0,806
18.06.1994 12:30:00; 0,760
26.07.1994 16:15:00; 0,448
05.08.1994 07:30:00; 0,421
09.09.1994 06:00:00; 0,421
03.10.1994 13:15:00; 0,534
29.11.1994 11:45:00; 0,534
02.12.1994 12:45:00; 0,567
12.01.1995 06:30:00; 0,760
23.02.1995 16:45:00;  5,29
14.03.1995 06:15:00;  3,11
29.04.1995 17:15:00;  3,59
30.05.1995 15:45:00; 0,567
