Messstelle:                ;Löbenau
HZB-Nummer:                ;203737
HD-Nummer:                 ;
DBMS-Nummer:               ;5001068
Gewässer:                  ;Taurach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;86,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00835,80
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1908              ;461290,00 - 247850,00
Exportzeitreihe:           ;(5001068,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[31.01.1951 12:00,01.01.2022 00:00]
Werte:
31.01.1964 12:00:00;  2,50
23.02.1964 12:00:00;  2,36
09.03.1964 12:00:00;  2,36
11.04.1964 12:00:00;  3,16
31.05.1964 12:00:00;  3,70
27.06.1964 12:00:00;  3,12
28.07.1964 12:00:00;  2,96
01.08.1964 12:00:00;  2,96
17.09.1964 12:00:00;  2,96
08.10.1964 12:00:00;  2,80
15.11.1964 12:00:00;  3,73
31.12.1964 12:00:00;  2,80
31.01.1965 12:00:00;  2,80
28.02.1965 12:00:00;  2,50
14.03.1965 12:00:00;  2,50
30.04.1965 12:00:00;  3,46
02.05.1965 12:00:00;  3,82
11.06.1965 12:00:00;  10,0
30.07.1965 12:00:00;  6,41
24.08.1965 12:00:00;  4,72
28.09.1965 12:00:00;  4,30
31.10.1965 12:00:00;  3,02
30.11.1965 12:00:00;  2,60
31.12.1965 12:00:00;  2,40
31.01.1966 12:00:00;  2,40
18.02.1966 12:00:00;  2,30
09.03.1966 12:00:00;  2,50
01.04.1966 12:00:00;  2,70
12.05.1966 12:00:00;  5,38
23.06.1966 12:00:00;  5,38
11.07.1966 12:00:00;  5,81
15.08.1966 12:00:00;  5,81
30.09.1966 12:00:00;  4,92
31.10.1966 12:00:00;  4,10
30.11.1966 12:00:00;  3,74
18.12.1966 12:00:00;  3,56
26.01.1967 12:00:00;  3,05
27.02.1967 12:00:00;  3,05
07.03.1967 12:00:00;  3,20
08.04.1967 12:00:00;  3,38
01.05.1967 12:00:00;  5,81
17.06.1967 12:00:00;  8,14
31.07.1967 12:00:00;  5,12
31.08.1967 12:00:00;  4,51
30.09.1967 12:00:00;  4,30
31.10.1967 12:00:00;  3,92
30.11.1967 12:00:00;  3,74
31.12.1967 12:00:00;  3,38
31.01.1968 12:00:00;  3,05
29.02.1968 12:00:00;  2,60
23.03.1968 12:00:00;  2,40
12.04.1968 12:00:00;  3,50
26.05.1968 12:00:00;  4,10
30.06.1968 12:00:00;  3,90
14.07.1968 12:00:00;  3,34
06.08.1968 12:00:00;  4,51
18.09.1968 12:00:00;  4,51
31.10.1968 12:00:00;  3,70
30.11.1968 12:00:00;  3,34
23.12.1968 12:00:00;  2,86
31.01.1969 12:00:00;  2,70
20.02.1969 12:00:00;  2,50
13.03.1969 12:00:00;  2,50
26.04.1969 12:00:00;  2,60
31.05.1969 12:00:00;  4,71
25.06.1969 12:00:00;  4,30
04.07.1969 12:00:00;  4,30
12.08.1969 12:00:00;  4,10
30.09.1969 12:00:00;  3,34
31.10.1969 12:00:00;  2,86
05.11.1969 12:00:00;  2,50
31.12.1969 12:00:00;  2,40
31.01.1970 12:00:00;  2,30
28.02.1970 12:00:00;  2,30
21.03.1970 12:00:00;  2,30
12.04.1970 12:00:00;  2,40
03.05.1970 12:00:00;  3,50
28.06.1970 12:00:00;  5,38
14.07.1970 12:00:00;  4,10
08.08.1970 12:00:00;  4,71
30.09.1970 12:00:00;  4,51
29.10.1970 12:00:00;  4,10
30.11.1970 12:00:00;  3,92
31.12.1970 12:00:00;  3,05
31.01.1971 12:00:00;  2,74
28.02.1971 12:00:00;  2,58
04.03.1971 12:00:00;  2,32
01.04.1971 12:00:00;  2,58
28.05.1971 12:00:00;  4,30
24.06.1971 12:00:00;  3,92
31.07.1971 12:00:00;  3,38
26.08.1971 12:00:00;  2,89
24.09.1971 12:00:00;  2,89
31.10.1971 12:00:00;  2,58
30.11.1971 12:00:00;  2,43
31.12.1971 12:00:00;  2,43
31.01.1972 12:00:00;  2,32
26.02.1972 12:00:00;  2,22
30.03.1972 12:00:00;  2,12
01.04.1972 12:00:00;  2,12
01.05.1972 12:00:00;  2,58
30.06.1972 12:00:00;  4,57
25.07.1972 12:00:00;  4,10
18.08.1972 12:00:00;  3,38
24.09.1972 12:00:00;  2,58
24.10.1972 12:00:00;  2,58
02.11.1972 12:00:00;  2,58
31.12.1972 12:00:00;  2,32
31.01.1973 12:00:00;  2,22
28.02.1973 12:00:00;  2,12
25.03.1973 12:00:00;  2,12
22.04.1973 12:00:00;  2,32
13.05.1973 12:00:00;  5,86
17.06.1973 12:00:00;  5,86
21.07.1973 12:00:00;  3,98
28.08.1973 12:00:00;  3,47
29.09.1973 12:00:00;  2,74
31.10.1973 12:00:00;  2,58
24.11.1973 12:00:00;  2,58
31.12.1973 12:00:00;  2,43
31.01.1974 12:00:00;  2,32
14.02.1974 12:00:00;  2,22
18.03.1974 12:00:00;  2,22
23.04.1974 12:00:00;  3,05
14.05.1974 12:00:00;  3,74
14.06.1974 12:00:00;  7,02
31.07.1974 12:00:00;  5,64
22.08.1974 12:00:00;  4,36
18.09.1974 12:00:00;  3,81
31.10.1974 12:00:00;  4,15
05.11.1974 12:00:00;  3,64
28.12.1974 12:00:00;  3,81
30.01.1975 12:00:00;  3,47
28.02.1975 12:00:00;  3,30
05.03.1975 12:00:00;  3,30
05.04.1975 12:00:00;  3,30
02.05.1975 12:00:00;  7,02
09.06.1975 12:00:00;  7,02
24.07.1975 12:00:00;  6,08
11.08.1975 12:00:00;  4,78
30.09.1975 12:00:00;  3,64
31.10.1975 12:00:00;  3,47
30.11.1975 12:00:00;  3,02
31.12.1975 12:00:00;  2,74
29.01.1976 12:00:00;  2,60
10.02.1976 12:00:00;  2,46
01.03.1976 00:00:00;  2,46
01.04.1976 00:00:00;  2,74
01.05.1976 10:00:00;  3,68
30.06.1976 10:00:00;  3,86
