Messstelle:                ;Spering
HZB-Nummer:                ;206524
HD-Nummer:                 ;8530
DBMS-Nummer:               ;4001193
Gewässer:                  ;Vorderer Rettenbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;15
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1980              ;00513,95
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1980              ;514775,00 - 294130,00
   01.01.2018              ;514751,10 - 294100,17
Exportzeitreihe:           ;(4001193,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1980 01:00,01.01.2022 00:00]
Werte:
15.11.1992 16:00:00; 0,205
31.12.1992 23:59:55; 0,107
04.01.1993 07:15:00; 0,067
28.02.1993 23:59:55; 0,077
06.03.1993 06:15:00; 0,044
01.04.1993 01:00:00; 0,232
30.05.1993 10:30:00; 0,353
14.06.1993 05:15:00; 0,259
04.07.1993 11:15:00; 0,185
23.08.1993 09:30:00; 0,114
22.09.1993 18:30:00; 0,131
20.10.1993 09:15:00; 0,043
11.11.1993 02:30:00; 0,032
03.12.1993 02:45:00; 0,051
23.01.1994 16:45:00; 0,077
21.02.1994 14:00:00; 0,077
05.03.1994 06:15:00; 0,259
11.04.1994 09:15:00; 0,232
31.05.1994 19:15:00; 0,672
29.06.1994 06:30:00; 0,207
26.07.1994 09:45:00; 0,038
08.08.1994 13:00:00; 0,021
29.09.1994 17:15:00; 0,017
01.10.1994 22:30:00; 0,015
10.11.1994 16:00:00; 0,026
27.12.1994 14:45:00; 0,095
14.01.1995 03:15:00; 0,088
27.02.1995 20:45:00; 0,232
18.03.1995 00:15:00; 0,165
01.04.1995 03:30:00; 0,232
15.05.1995 15:30:00; 0,862
21.06.1995 18:45:00; 0,353
31.07.1995 17:30:00; 0,065
13.08.1995 14:00:00; 0,028
27.09.1995 16:15:00; 0,181
30.10.1995 14:45:00; 0,038
01.11.1995 21:00:00; 0,185
13.12.1995 04:45:00; 0,101
31.01.1996 21:30:00; 0,070
25.02.1996 18:45:00; 0,025
07.03.1996 16:00:00; 0,037
04.04.1996 01:00:00; 0,146
31.05.1996 23:59:55; 0,445
21.06.1996 11:00:00; 0,084
24.07.1996 12:45:00; 0,114
12.08.1996 02:00:00; 0,094
01.09.1996 06:30:00; 0,195
17.10.1996 12:00:00; 0,200
14.11.1996 03:15:00; 0,139
31.12.1996 21:45:00; 0,055
31.01.1997 19:50:00; 0,021
07.02.1997 20:05:00; 0,013
01.03.1997 16:15:00; 0,353
24.04.1997 09:35:00; 0,314
28.05.1997 23:45:00; 0,454
30.06.1997 23:40:00; 0,133
04.07.1997 19:35:00; 0,114
28.08.1997 04:10:00; 0,054
30.09.1997 06:10:00; 0,026
01.10.1997 00:40:00; 0,028
01.11.1997 00:05:00; 0,127
07.12.1997 22:10:00; 0,217
31.01.1998 22:50:00; 0,067
04.02.1998 16:35:00; 0,056
03.03.1998 14:05:00; 0,159
20.04.1998 16:25:00; 0,462
31.05.1998 15:00:00; 0,388
30.06.1998 12:40:00; 0,134
23.07.1998 21:45:00; 0,179
13.08.1998 14:50:00; 0,094
03.09.1998 15:10:00; 0,094
11.10.1998 06:25:00; 0,179
28.11.1998 05:45:00; 0,234
12.12.1998 21:55:00; 0,148
31.01.1999 23:59:55; 0,109
19.02.1999 01:40:00; 0,084
23.03.1999 23:05:00; 0,283
20.04.1999 12:40:00; 0,339
31.05.1999 12:00:00; 0,704
30.06.1999 21:25:00; 0,175
08.07.1999 00:05:00; 0,106
09.08.1999 23:35:00; 0,097
26.09.1999 05:20:00; 0,076
28.10.1999 22:45:00; 0,047
03.11.1999 02:30:00; 0,045
31.12.1999 23:59:55; 0,155
27.01.2000 07:50:00; 0,102
24.02.2000 18:25:00; 0,205
21.03.2000 03:40:00; 0,327
09.04.2000 13:05:00; 0,542
31.05.2000 06:50:00; 0,515
30.06.2000 23:59:55; 0,106
28.07.2000 07:50:00; 0,077
31.08.2000 05:55:00; 0,050
03.09.2000 00:10:00; 0,082
31.10.2000 05:15:00; 0,057
25.11.2000 06:00:00; 0,055
10.12.2000 19:50:00; 0,033
24.01.2001 07:20:00; 0,066
03.02.2001 04:00:00; 0,074
02.03.2001 09:40:00; 0,112
23.04.2001 07:10:00; 0,344
31.05.2001 08:15:00; 0,144
28.06.2001 20:40:00; 0,191
17.07.2001 01:05:00; 0,076
27.08.2001 03:05:00; 0,074
30.09.2001 14:00:00; 0,245
20.10.2001 05:30:00; 0,055
06.11.2001 21:00:00; 0,072
28.12.2001 03:55:00; 0,141
20.01.2002 05:10:00; 0,134
25.02.2002 04:40:00; 0,267
04.03.2002 11:05:00; 0,331
18.04.2002 20:00:00; 0,324
27.05.2002 11:40:00; 0,304
28.06.2002 10:05:00; 0,133
13.07.2002 03:50:00; 0,079
06.08.2002 02:50:00; 0,161
20.09.2002 00:35:00; 0,093
30.10.2002 14:20:00; 0,340
30.11.2002 23:59:55; 0,194
20.12.2002 09:35:00; 0,054
17.01.2003 13:40:00; 0,105
18.02.2003 02:05:00; 0,073
05.03.2003 11:10:00; 0,233
09.04.2003 16:40:00; 0,208
31.05.2003 22:05:00; 0,181
30.06.2003 23:00:00; 0,057
17.07.2003 02:30:00; 0,009
28.08.2003 23:50:00; 0,008
09.09.2003 15:50:00; 0,044
29.10.2003 03:30:00; 0,059
30.11.2003 18:20:00; 0,014
07.12.2003 22:05:00; 0,006
08.01.2004 14:25:00; 0,035
01.02.2004 06:35:00; 0,102
10.03.2004 01:05:00; 0,105
14.04.2004 17:00:00; 0,254
10.05.2004 23:05:00; 0,408
19.06.2004 13:35:00; 0,270
24.07.2004 20:55:00; 0,137
13.08.2004 03:20:00; 0,070
15.09.2004 04:25:00; 0,086
31.10.2004 18:05:00; 0,093
05.11.2004 22:00:00; 0,073
22.12.2004 17:55:00; 0,103
31.01.2005 00:05:00; 0,119
06.02.2005 19:20:00; 0,083
14.03.2005 03:15:00; 0,074
12.04.2005 14:25:00; 0,564
12.05.2005 11:20:00; 0,757
30.06.2005 19:50:00; 0,150
31.07.2005 22:45:00; 0,185
03.08.2005 18:05:00; 0,146
15.09.2005 23:45:00; 0,057
31.10.2005 17:05:00; 0,011
14.11.2005 12:25:00; 0,002
01.12.2005 08:25:00; 0,033
28.01.2006 01:50:00; 0,070
14.02.2006 06:50:00; 0,114
08.03.2006 04:05:00; 0,126
14.04.2006 05:20:00; 0,601
25.05.2006 13:00:00; 0,687
27.06.2006 17:05:00; 0,363
28.07.2006 18:50:00; 0,114
01.08.2006 03:20:00; 0,123
18.09.2006 18:45:00; 0,048
28.10.2006 02:30:00; 0,014
30.11.2006 23:55:00; 0,118
31.12.2006 00:05:00; 0,018
01.01.2007 00:35:00; 0,020
05.02.2007 14:50:00; 0,224
25.03.2007 11:35:00; 0,307
30.04.2007 18:55:00; 0,408
29.05.2007 05:15:00; 0,186
11.06.2007 20:55:00; 0,183
29.07.2007 21:15:00; 0,112
11.08.2007 10:05:00; 0,116
30.09.2007 22:40:00; 0,180
12.10.2007 23:00:00; 0,119
19.11.2007 12:45:00; 0,488
31.12.2007 22:40:00; 0,361
07.01.2008 14:55:00; 0,272
18.02.2008 13:35:00; 0,172
27.03.2008 09:05:00; 0,198
08.04.2008 12:50:00; 0,327
24.05.2008 11:45:00; 0,782
25.06.2008 13:30:00; 0,185
12.07.2008 13:30:00; 0,123
31.08.2008 21:25:00; 0,090
12.09.2008 06:25:00; 0,054
31.10.2008 15:55:00; 0,046
13.11.2008 14:35:00; 0,025
13.12.2008 03:35:00; 0,142
31.01.2009 22:15:00; 0,060
01.02.2009 00:15:00; 0,060
01.03.2009 11:05:00; 0,203
01.04.2009 00:00:00; 0,554
28.05.2009 19:45:00; 0,437
19.06.2009 14:35:00; 0,217
31.07.2009 20:35:00; 0,203
02.08.2009 05:30:00; 0,181
30.09.2009 17:50:00; 0,106
08.10.2009 06:35:00; 0,069
12.11.2009 11:30:00; 0,142
07.12.2009 05:05:00; 0,090
31.01.2010 17:05:00; 0,050
02.02.2010 16:55:00; 0,045
15.03.2010 22:40:00; 0,103
13.04.2010 12:25:00; 0,375
13.05.2010 14:25:00; 0,535
30.06.2010 10:00:00; 0,232
23.07.2010 10:30:00; 0,142
24.08.2010 00:15:00; 0,085
24.09.2010 21:05:00; 0,076
17.10.2010 15:35:00; 0,054
30.11.2010 21:20:00; 0,061
04.12.2010 23:35:00; 0,050
07.01.2011 08:05:00; 0,105
28.02.2011 06:30:00; 0,106
04.03.2011 16:35:00; 0,090
30.04.2011 14:05:00; 0,185
09.05.2011 14:00:00; 0,093
18.06.2011 09:45:00; 0,095
20.07.2011 00:15:00; 0,064
31.08.2011 23:45:00; 0,083
05.09.2011 20:05:00; 0,060
06.10.2011 22:00:00; 0,051
30.11.2011 03:20:00; 0,014
05.12.2011 01:40:00; 0,019
01.01.2012 03:45:00; 0,146
21.02.2012 05:25:00; 0,088
10.03.2012 14:05:00; 0,497
10.04.2012 15:35:00; 0,643
18.05.2012 10:40:00; 0,438
30.06.2012 14:00:00; 0,482
12.07.2012 02:00:00; 0,377
22.08.2012 03:55:00; 0,228
30.09.2012 22:55:00; 0,181
28.10.2012 08:15:00; 0,103
30.11.2012 21:50:00; 0,083
09.12.2012 05:35:00; 0,065
29.01.2013 10:25:00; 0,246
27.02.2013 17:00:00; 0,179
28.03.2013 06:55:00; 0,273
04.04.2013 12:35:00; 0,329
20.05.2013 16:10:00; 0,765
22.06.2013 12:25:00; 0,194
31.07.2013 19:45:00; 0,046
19.08.2013 06:20:00; 0,032
10.09.2013 05:50:00; 0,085
