Messstelle:                ;Aigen im Ennstal-Ketten
HZB-Nummer:                ;210773
HD-Nummer:                 ;ow1185
DBMS-Nummer:               ;6001028
Gewässer:                  ;Gulling
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;155,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00640,74
   01.01.1994              ;00640,42
   19.11.2003              ;00637,78
   20.01.2014              ;00643,84
   26.05.2021              ;00644,59
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1857              ;00000,00 - 00000,00
   01.01.1994              ;585442,30 - 267950,50
   19.11.2003              ;585469,40 - 268350,20
   20.01.2014              ;585535,50 - 267500,20
   01.01.2018              ;585538,90 - 267487,50
Exportzeitreihe:           ;(6001028,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1976 00:30,01.01.2022 00:00]
Werte:
01.04.1988 14:30:00;  2,45
24.05.1988 07:45:00;  7,33
28.06.1988 14:45:00;  2,96
27.07.1988 16:15:00;  2,81
16.08.1988 15:30:00;  2,39
01.09.1988 21:00:00;  3,25
23.10.1988 08:15:00;  1,99
23.11.1988 13:45:00;  1,00
01.12.1988 14:00:00;  1,67
31.01.1989 06:45:00;  1,24
01.02.1989 09:00:00;  1,44
10.03.1989 12:15:00;  2,26
25.04.1989 08:30:00;  4,77
01.05.1989 06:00:00;  4,77
15.06.1989 12:00:00;  6,14
24.07.1989 19:15:00;  5,15
17.08.1989 15:30:00;  4,59
24.09.1989 12:00:00;  3,10
28.10.1989 22:00:00;  2,53
29.11.1989 17:30:00;  1,66
31.12.1989 23:59:55; 0,519
01.01.1990 22:30:00; 0,449
06.02.1990 02:30:00; 0,696
06.03.1990 08:45:00;  2,32
18.04.1990 10:30:00;  2,26
01.05.1990 01:00:00;  3,90
02.06.1990 12:00:00;  3,90
31.07.1990 08:00:00;  3,53
29.08.1990 10:00:00;  1,88
07.09.1990 09:45:00;  1,88
21.10.1990 15:30:00;  1,58
09.11.1990 07:45:00;  1,88
19.12.1990 09:30:00;  1,48
17.01.1991 00:01:00;  1,31
28.02.1991 23:59:55;  1,05
01.03.1991 00:00:00;  1,05
09.04.1991 23:45:00;  2,53
09.05.1991 15:45:00;  3,10
26.06.1991 13:00:00;  5,94
12.07.1991 17:45:00;  3,57
30.08.1991 22:15:00;  3,41
19.09.1991 17:45:00;  1,89
31.10.1991 13:00:00;  1,34
01.11.1991 14:30:00;  1,24
04.12.1991 04:30:00;  1,15
27.01.1992 12:00:00;  1,66
20.02.1992 07:15:00;  1,66
01.03.1992 00:00:00;  1,89
01.04.1992 07:30:00;  2,67
31.05.1992 14:30:00;  10,6
30.06.1992 20:15:00;  4,06
31.07.1992 18:30:00;  2,14
27.08.1992 11:00:00;  1,34
01.09.1992 00:00:00;  1,34
03.10.1992 12:45:00;  2,39
01.11.1992 14:45:00;  2,67
21.12.1992 12:15:00;  2,59
30.01.1993 09:30:00;  1,87
16.02.1993 09:00:00;  1,76
03.03.1993 11:45:00;  1,66
14.04.1993 15:45:00;  2,81
30.05.1993 13:00:00;  4,00
19.06.1993 22:00:00;  2,44
09.07.1993 17:00:00;  3,41
16.08.1993 09:15:00;  2,81
23.09.1993 19:15:00;  2,53
20.10.1993 08:15:00;  2,39
20.11.1993 08:30:00;  2,88
29.12.1993 08:45:00;  2,32
19.01.1994 14:15:00;  1,81
18.02.1994 14:00:00;  1,81
01.03.1994 12:30:00;  2,45
10.04.1994 14:00:00;  3,89
31.05.1994 15:00:00;  7,99
28.06.1994 21:15:00;  4,78
29.07.1994 00:00:00;  3,61
22.08.1994 16:30:00;  2,00
23.09.1994 12:45:00;  2,11
19.10.1994 17:30:00;  1,90
08.11.1994 14:00:00;  2,00
16.12.1994 12:45:00;  2,11
07.01.1995 00:00:05;  2,07
02.02.1995 21:00:00;  2,22
08.03.1995 09:00:00;  2,11
01.04.1995 08:45:00;  2,84
23.05.1995 10:30:00;  7,05
18.06.1995 11:30:00;  6,39
26.07.1995 22:45:00;  2,97
24.08.1995 11:30:00;  2,45
28.09.1995 06:30:00;  3,11
27.10.1995 08:30:00;  2,33
14.11.1995 16:30:00;  1,80
15.12.1995 04:15:00;  1,52
17.01.1996 14:30:00; 0,982
27.02.1996 22:00:00;  1,43
01.03.1996 02:30:00;  1,27
01.04.1996 06:15:00;  1,43
06.05.1996 12:15:00;  5,76
18.06.1996 20:00:00;  2,71
30.07.1996 01:45:00;  3,72
28.08.1996 01:15:00;  2,71
01.09.1996 00:00:00;  3,26
16.10.1996 06:00:00;  6,06
13.11.1996 07:30:00;  4,89
30.12.1996 08:45:00;  2,29
19.01.1997 09:00:30;  1,53
08.02.1997 12:31:25;  1,45
01.03.1997 01:20:35;  1,99
23.04.1997 16:19:50;  2,15
02.05.1997 11:16:05;  4,68
30.06.1997 20:00:15;  5,87
04.07.1997 17:41:20;  4,71
27.08.1997 13:15:50;  3,27
30.09.1997 03:23:15;  1,92
28.10.1997 08:56:55;  2,08
20.11.1997 08:31:10;  1,86
07.12.1997 05:10:10;  1,68
18.01.1998 11:58:10;  1,62
02.02.1998 12:00:00;  1,70
25.03.1998 07:45:20;  2,03
21.04.1998 06:51:20;  4,21
