Messstelle:                ;Loipersbach
HZB-Nummer:                ;208785
HD-Nummer:                 ;no705
DBMS-Nummer:               ;3001103
Gewässer:                  ;Schwarza
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;716,6
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00345,50
   01.01.1977              ;00346,76
   01.01.1984              ;00347,00
   01.01.2002              ;00344,46
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1968              ;734242,60 - 286864,50
Exportzeitreihe:           ;(3001103,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[31.12.1977 23:59:55,01.01.2022 00:00]
Werte:
01.09.1990 00:00:00; 0,000
01.10.1990 22:15:00; 0,000
01.11.1990 00:00:00; 0,000
01.12.1990 00:00:00; 0,000
01.01.1991 00:00:00; 0,000
01.02.1991 11:45:00; 0,000
01.03.1991 00:00:00; 0,000
01.04.1991 00:00:00; 0,000
01.05.1991 00:00:00; 0,000
30.06.1991 23:59:55; 0,102
02.07.1991 18:51:00; 0,000
31.08.1991 23:59:55;  1,73
01.09.1991 00:00:00; Lücke
01.10.1991 00:00:00; Lücke
01.11.1991 00:00:00; Lücke
01.12.1991 00:00:00; Lücke
01.01.1992 00:00:00; Lücke
01.02.1992 00:00:00; Lücke
01.03.1992 00:00:00; Lücke
01.04.1992 00:00:00; Lücke
01.05.1992 00:00:00; Lücke
01.06.1992 00:00:00; Lücke
01.07.1992 00:00:00; Lücke
01.08.1992 00:00:00; Lücke
01.09.1992 00:00:00; Lücke
01.10.1992 00:00:00; Lücke
01.11.1992 00:00:00; Lücke
01.12.1992 00:00:00; Lücke
01.01.1993 00:00:00; Lücke
01.02.1993 00:00:00; Lücke
01.03.1993 00:00:00; Lücke
01.04.1993 00:00:00; Lücke
01.05.1993 00:00:00; Lücke
01.06.1993 00:00:00; Lücke
01.07.1993 00:00:00; Lücke
01.08.1993 00:00:00; Lücke
01.09.1993 00:00:00; Lücke
01.10.1993 00:00:00; Lücke
01.11.1993 00:00:00; Lücke
31.12.1993 23:59:55; 0,000
01.01.1994 00:00:00; 0,000
01.02.1994 00:00:00; 0,000
01.03.1994 00:00:00; 0,000
09.04.1994 23:45:00; 0,176
10.05.1994 01:30:00; 0,362
15.06.1994 19:15:00; 0,000
01.07.1994 16:30:00; 0,000
01.08.1994 00:00:00; 0,000
