Messstelle:                ;Ischgl, Bl 4
HZB-Nummer:                ;359000
HD-Nummer:                 ;
DBMS-Nummer:               ;7004700
Fremdnummer:               ;GW70608033
PorenGW-Gebiet:            ;046 Paznauntal
Grundwasserkörper:         ;Gruppe Zentralzone [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.09.2018
 Geländehöhe:              ;1360,22
 Messpunkthöhe:            ;1361,37
 Sohllage:                 ;1350,57
 T-Messtiefe u.GOK:        ;8,85
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  08.11.2011               ;10 16 57                 ;47 00 28
Exportzeitreihe:           ;GWTEP,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (0)
Werteinformation:          ;GWT-Messhöhe(n) unter GOK: 8.11.11: 8.85 - ~~
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;1 Nachkommastelle
Einheit:                   ;°C
Werte:
01.01.2012 00:00:00   ;     1,9 ;     
01.02.2012 00:00:00   ;     1,4 ;     
01.03.2012 00:00:00   ;     2,1 ;     
01.04.2012 00:00:00   ;     3,3 ;     
01.05.2012 00:00:00   ;     4,9 ;     
01.06.2012 00:00:00   ;     6,3 ;     
01.07.2012 00:00:00   ;     7,0 ;     
01.08.2012 00:00:00   ;     9,7 ;     
01.09.2012 00:00:00   ;     9,6 ;     
01.10.2012 00:00:00   ;     8,0 ;     
01.11.2012 00:00:00   ;     5,2 ;     
01.12.2012 00:00:00   ;     3,0 ;     
01.01.2013 00:00:00   ;     2,3 ;     
01.02.2013 00:00:00   ;     1,7 ;     
01.03.2013 00:00:00   ;     2,0 ;     
01.04.2013 00:00:00   ;     3,1 ;     
01.05.2013 00:00:00   ;     5,0 ;     
01.06.2013 00:00:00   ;     6,5 ;     
01.07.2013 00:00:00   ;     8,5 ;     
01.08.2013 00:00:00   ;    10,4 ;     
01.09.2013 00:00:00   ;     9,4 ;     
01.10.2013 00:00:00   ;     8,0 ;     
01.11.2013 00:00:00   ;     6,0 ;     
01.12.2013 00:00:00   ;     3,1 ;     
01.01.2014 00:00:00   ;     2,2 ;     
01.02.2014 00:00:00   ;     2,0 ;     
01.03.2014 00:00:00   ;     2,5 ;     
01.04.2014 00:00:00   ;     4,2 ;     
01.05.2014 00:00:00   ;     5,8 ;     
01.06.2014 00:00:00   ;     7,7 ;     
01.07.2014 00:00:00   ;     8,9 ;     
01.08.2014 00:00:00   ;     9,6 ;     
01.09.2014 00:00:00   ;     8,9 ;     
01.10.2014 00:00:00   ;     8,1 ;     
01.11.2014 00:00:00   ;     5,9 ;     
01.12.2014 00:00:00   ;     4,3 ;     
01.01.2015 00:00:00   ;     2,4 ;     
01.02.2015 00:00:00   ;     1,6 ;     
01.03.2015 00:00:00   ;     2,1 ;     
01.04.2015 00:00:00   ;     3,3 ;     
01.05.2015 00:00:00   ;     5,3 ;     
01.06.2015 00:00:00   ;     7,4 ;     
01.07.2015 00:00:00   ;     9,6 ;     
01.08.2015 00:00:00   ;    10,9 ;     
01.09.2015 00:00:00   ;     9,9 ;     
01.10.2015 00:00:00   ;     7,9 ;     
01.11.2015 00:00:00   ;     6,0 ;     
01.12.2015 00:00:00   ;     3,7 ;     
01.01.2016 00:00:00   ;     2,3 ;     
01.02.2016 00:00:00   ;     2,1 ;     
01.03.2016 00:00:00   ;     2,4 ;     
01.04.2016 00:00:00   ;     3,8 ;     
01.05.2016 00:00:00   ;     5,2 ;     
01.06.2016 00:00:00   ;     7,2 ;     
01.07.2016 00:00:00   ;     8,9 ;     
01.08.2016 00:00:00   ;     9,9 ;     
01.09.2016 00:00:00   ;    10,0 ;     
01.10.2016 00:00:00   ;     7,5 ;     
01.11.2016 00:00:00   ;     5,0 ;     
01.12.2016 00:00:00   ;     2,8 ;     
01.01.2017 00:00:00   ;     1,4 ;     
01.02.2017 00:00:00   ;     1,5 ;     
01.03.2017 00:00:00   ;     2,1 ;     
01.04.2017 00:00:00   ;     3,9 ;     
01.05.2017 00:00:00   ;     5,3 ;     
01.06.2017 00:00:00   ;     7,8 ;     
